Site,Trap No,Time,Mo,Day,Year,Julian,Sex,Age,Total,Bag,Mass,Frequency,Band ID,Wing,Tail,Tars,Culmen,Molt,Color,Recap,Feather,Blood,Par
SM,SM14-21,1845,8,8,2014,220,F,A,525,40,485,150.372,1,19.1,12.5,4.98,2.54,Unknown,Gray,N,Y,N,N
SM,SM14-19,1850,8,12,2014,224,F,A,,,,150.372,1,,,,,,Split,Y,,,
SM,SM14-20,1710,8,21,2014,233,F,A,535,40,479,150.372,1,18.9,12.3,4.96,2.54,,,Y,,,
SM,SM14-25,1950,8,14,2014,226,F,A,505,40,465,150.332,2,18.7,13.2,4.96,2.07,7,Inter,N,Y,N,N
SM,SM14-14,1840,8,15,2014,227,F,A,536,40,496,150.342,3,18.2,12.6,5.36,2.03,8,Inter,N,Y,N,N
SM,SM14-16,1800,9,2,2014,245,U,U,656,40,616,150.342,3,18.1,1.99,5.25,1.99,9,,Y,N,N,N
SM,SM14-16,1656,9,20,2014,263,F,A,545,40,505,150.342,3,18.3,11.3,5.18,1.94,9&10,,Y,N,N,N
SM,SM14-1,1830,8,19,2014,231,F,A,505,40,465,150.552,4,17.4,11,4.87,2.36,8,Red,N,Y,N,N
SM,SM14-24,1930,8,20,2014,232,M,J,440,40,400,150.452,5,17.1,9.1,5.3,2.12,7,Brown,N,Y,N,N
SM,SM14-23,1846,9,24,2014,267,M,J,535,40,495,150.452,5,18.1,12.7,5.27,1.72,8,,Y,,,
SM,SM14-20,1710,8,21,2014,233,M,J,420,40,380,150.362,6,17.9,8.6,5.41,1.96,7,Brown,N,Y,N,N
SM,SM14-1,1900,8,21,2014,233,M,J,460,40,420,150.461,7,17.5,9.1,5.14,2.9,7,Red,N,Y,N,N
SM,SM14-54,1650,8,22,2014,234,M,A,650,40,610,150.402,8,18.5,7.5,5.34,2.46,9,Unknown,N,Y,N,N
SM,SM14-54,1700,8,27,2014,239,M,A,595,40,555,150.402,8,,,,,,Gray,Y,N,N,N
SM,SM14-54,1630,8,31,2014,243,M,A,600,40,560,150.402,8,,,,,,,Y,,Y,N
SM,SM14-56,1725,8,22,2014,234,M,A,660,40,620,150.542,9,18.6,7,5.06,2.4,8 and 9,Unknown,N,Y,N,N
SM,SM14-56,1630,8,31,2014,243,M,A,660,40,620,150.542,9,,,,,,,Y,,,
SM,SM14-16,1720,8,23,2014,235,M,A,630,40,590,150.432,10,18.6,10.6,5.34,2.22,10,Gray,N,Y,N,N
SM,SM14-17,1800,9,2,2014,245,M,A,620,40,580,150.432,10,19.1,13.9,5.44,2.36,,,Y,N,N,N
SM,SM14-17,1045,9,10,2014,253,M,A,585,40,545,150.432,10,,,,,,,Y,,,
SM,SM14-51,1903,8,24,2014,236,F,J,435,40,395,150.362,11,17.5,8.9,5.17,1.9,8,Inter-Gray,N,Y,N,N
SM,SM14-20,1710,8,26,2014,238,M,A,590,40,550,150.481,12,18.1,11.2,5.26,2.09,9 and 10,Gray-Brown,N,Y,N,Y
SM,SM14-43,1833,8,26,2014,238,F,J,450,40,410,150.291,13,17.6,8.7,5.15,1.94,7,Unknown,N,Y,N,N
SM,SM14-55,1700,8,27,2014,239,M,J,445,40,405,150.562,14,16.5,,5.24,2.49,7 and 8,Gray,N,Y,N,N
SM,SM14-55,1700,8,27,2014,239,F,A,490,40,450,150.352,15,16.5,11.4,5.28,2.22,5 and 6,Brown,N,Y,N,N
SM,SM14-55,1700,8,27,2014,239,M,J,450,40,410,150.491,16,16.1,,5.6,2.38,7 and 8,Brown,N,Y,N,N
SM,SM14-1,1758,8,28,2014,240,F,J,455,40,405,150.531,17,17.6,9.8,5.47,1.81,6 and 7,Unknown,N,Y,N,N
SM,SM14-42,1820,8,29,2014,241,M,J,480,40,440,150.291,18,17,10.4,5.51,2.25,7 and 8,Unknown,N,Y,N,N
SM,SM14-51,2000,8,29,2014,241,F,A,555,40,505,150.572,19,18.4,,5.04,2.03,9 and 10,Unknown,N,Y,N,N
SM,SM14-51,2000,8,29,2014,241,M,J,530,40,490,150.502,20,18.2,7.9,5.34,2.03,7 and 8,Gray,N,Y,N,N
SM,SM14-51,2000,8,29,2014,241,M,J,540,40,500,150.412,21,18.8,7.4,5.39,1.97,7 and 8,Unknown,N,Y,N,N
SM,SM14-6,1806,9,27,2014,270,M,J,555,40,515,150.031,21,19.6,13.2,5.4,2.18,8,Gray,N,,,
SM,SM14-56,1630,8,31,2014,243,M,J,495,40,455,150.552,22,18,molt,5.23,2.4,7 and 8,Unknown,N,,,
SM,SM14-56,1630,8,31,2014,243,F,J,500,40,460,150.313,23,17.5,molt,4.85,2.31,7 and 8,Unknown,N,,,
SM,SM14-41,1830,8,31,2014,243,F,A,555,40,505,150.512,24,17.8,,5.34,2.21,6 and 7,Red,N,Y,N,N
SM,SM14-51,,9,1,2014,244,M,J,390,40,350,,25,17,9.5,5.06,2.15,6 and 7,Unknown,N,N,N,N
SM,SM14-30,1800,9,3,2014,246,M,A,630,40,590,150.542,26,18.8,12.9,5.16,2.11,"10, 9",Split,N,Y,N,N
SM,SM14-14,1700,9,4,2014,247,M,A,680,40,640,150.392,27,18.8,14.4,5.13,1.93,"9, 10",Split,N,Y,N,N
SM,SM14-24,1914,9,4,2014,247,M,J,425,40,385,150.422,28,,,,,,,N,,,
SM,SM14-1,1720,9,6,2014,249,M,A,645,40,605,150.304,29,19.4,14.7,5.31,1.6,"10, 9",,N,Y,N,N
SM,SM14-40,1803,9,6,2014,249,M,J,510,40,470,150.502,30,17.8,,5.67,1.79,8,,N,Y,N,N
SM,SM14-7,1753,9,27,2014,270,F,J,470,40,430,150.162,32,17,9.2,4.81,2.07,8,Gray,N,Y,N,N
SM,SM14-13,1734,9,27,2014,270,F,J,480,40,440,150.273,33,18.8,12.1,4.97,2.12,8,Split,N,Y,N,N
SM,SM14-30,1630,9,27,2014,270,M,J,610,40,570,150.471,34,19.3,14,5.46,2.22,N,Red,N,Y,N,N
SM,SM14-14,1103,9,26,2014,269,M,A,670,40,630,150.173,35,19.6,14.1,5.2,2.23,10,,N,Y,N,Y
SM,SM14-12,1754,9,25,2014,268,F,J,580,40,540,150.063,36,17.6,13.1,5.1,1.68,8,Split,N,Y,N,N
SM,SM14-59,955,9,25,2014,268,M,A,690,40,650,150.321,37,19.8,16.5,5.39,1.88,10,Brown,N,Y,N,N
SM,SM14-59,955,9,25,2014,268,M,A,670,40,630,NR,38,,,,,,,N,,,
SM,SM14-30,1744,9,24,2014,267,F,J,510,40,470,150.392,39,18.1,11.9,5.02,1.96,8,,N,Y,,Y
