ID	FirstFound	LastPresent	LastChecked	Fate	Freq	Year	HenAge	Date	Dlek	Sage	NonSage	RoadD500	All1000	NMG_Ht	AvgGrsHt100
159.099-1-2004	11	41	41	0	1	2004	Adult	-1.270082308	-0.531292416	-0.153947286	-0.330198578	-0.853394109	0.679042949	0.086978484	0.219311573
159.501-1-2004	10	40	40	0	1	2004	Adult	-1.353125872	-0.40226618	-0.362568513	0.745846126	-0.853394109	0.320983966	-0.259531972	-0.245528189
159.580-1-2004	17	39	39	0	1	2004	Adult	-1.353125872	-0.003710228	-0.710270558	-0.02802164	-0.314300058	0.577296862	0.157947635	0.414244377
159.603-1-2004	9	44	44	0	1	2004	Adult	-1.270082308	-1.040179851	-0.384695007	-0.061187402	1.372585521	0.459902661	-0.409929831	-0.401408417
160.710-1-2004	25	37	37	0	1	2004	Adult	-0.107472414	-0.070174617	0.405536914	-0.496027385	0.83349147	0.73187034	-0.232564815	-0.216015837
159.299-1-2004	13	24	28	1	1	2004	Adult	-1.519212999	-0.239969646	-0.356246658	-0.050132148	-0.853394109	0.113583097	0.090947675	-0.591580283
159.380-1-2004	9	9	16	1	1	2004	Adult	-1.10399518	1.58898916	0.702664117	-0.484972131	0.920419021	0.70252179	-0.070995355	-0.295452017
159.460-1-2004	11	26	32	1	1	2004	Adult	-1.436169436	-0.130598357	-0.593316234	-0.62869043	-0.853394109	0.786658747	-0.486014063	0.342319485
159.482-1-2004	7	25	35	1	1	2004	Adult	-1.10399518	-0.857782474	0.911285344	-0.62869043	0.868242029	-0.479277629	0.193670363	-0.180099261
160.513-2-2004	8	33	36	1	1	2004	Adult	0.058614714	-0.932250468	0.418180625	-0.62869043	0.276970985	-0.453837772	0.908204293	0.648899337
160.592-1-2004	8	17	23	1	1	2004	Juvenile	-0.190515978	-0.886156397	1.552953664	-0.62869043	-0.853394109	-0.24839125	-0.188324668	-0.429974042
160.048-1-2004	11	37	37	0	1	2004	Unknown	0.224701841	-0.549200993	-0.122338009	0.204138689	-0.853394109	0.148801357	0.599004242	0.32529471
160.130-1-2004	5	9	18	1	1	2004	Unknown	0.390788969	1.155945952	0.241168675	-0.352309085	0.88563436	0.733831357	-1.26334061	-1.541213622
160.353-1-2004	22	37	37	0	1	2004	Unknown	0.058614714	-1.040785019	-1.623778659	1.346514916	0.6247835	0.559687731	-0.292989925	-0.315519649
160.392-1-2004	7	23	26	1	1	2004	Unknown	1.553398863	-0.88710238	2.242035899	-0.62869043	-0.488189264	-0.352098354	-0.202454992	-0.368648608
159.099-1-2005	16	37	37	0	1	2005	Adult	-1.685300127	-0.619722762	-0.255096972	-0.62869043	-0.853394109	0.614476139	-0.290094749	0.285164884
