"id","receiver line","sex","arrive","depart"
30,"TTB","F",2011-04-16 08:10:09,2011-04-16 08:51:50
30,"SGR","F",2011-05-08 04:48:31,2011-05-08 06:21:44
30,"SBI","F",2011-05-20 18:05:53,2011-05-21 00:47:05
30,"SBO","F",2011-05-21 05:09:07,2011-05-21 10:37:56
30,"OSC","F",2011-05-22 05:32:49,2011-05-22 09:42:56
30,"STG","F",2011-06-26 09:43:42,2011-07-04 09:51:42
32,"TTB","F",2011-04-14 14:07:50,2011-04-14 15:20:18
32,"SGR","F",2011-04-20 15:11:59,2011-04-20 17:28:05
32,"SBO","F",2011-05-04 02:58:44,2011-05-04 09:49:17
32,"OSC","F",2011-05-05 10:46:00,2011-05-05 15:42:20
32,"STG","F",2011-05-14 18:48:52,2011-05-14 19:29:32
32,"STG","F",2011-07-18 02:07:46,2011-09-04 04:36:58
32,"OSC","F",2011-09-08 03:55:57,2011-09-10 00:11:03
32,"STG","F",2011-09-13 11:50:44,2011-09-20 18:45:52
32,"SBO","F",2011-10-05 09:21:12,2011-10-05 13:38:02
32,"OSC","F",2011-10-10 21:31:28,2011-10-13 07:25:59
32,"SBO","F",2011-11-11 18:50:01,2011-11-11 20:11:37
32,"SBI","F",2011-11-12 09:05:02,2011-11-16 20:50:07
32,"SGR","F",2012-03-14 05:21:12,2012-03-14 19:05:32
32,"TTB","F",2012-03-17 14:09:05,2012-04-04 05:47:36
32,"SGR","F",2012-04-05 02:24:31,2012-04-05 09:32:44
32,"SBI","F",2012-04-08 02:47:43,2012-04-08 07:42:33
32,"SBO","F",2012-04-08 08:58:05,2012-04-08 08:58:05
32,"SBI","F",2012-04-08 09:01:22,2012-04-08 09:01:22
32,"SBO","F",2012-04-08 09:02:51,2012-04-08 16:58:15
32,"OSC","F",2012-04-09 09:59:53,2012-04-09 11:08:16
32,"STG","F",2012-04-11 08:44:52,2012-04-11 10:35:01
36,"TTB","F",2011-04-12 09:32:48,2011-04-12 10:00:09
36,"SGR","F",2011-04-16 06:35:26,2011-04-16 16:18:28
36,"SGR","F",2012-02-26 16:01:15,2012-03-01 05:13:30
36,"TTB","F",2012-03-24 23:52:41,2012-03-25 01:26:10
36,"SGR","F",2012-03-25 23:47:24,2012-03-26 02:44:02
38,"TTB","F",2011-04-12 01:32:29,2011-04-12 02:07:54
38,"SGR","F",2011-04-13 00:46:17,2011-04-13 14:43:16
38,"SBI","F",2011-04-28 00:28:41,2011-04-28 13:40:20
38,"SBO","F",2011-04-29 00:50:25,2011-04-30 08:50:47
38,"WHT","F",2011-05-12 22:33:39,2011-05-13 23:14:16
38,"WHT","F",2011-11-07 04:54:02,2011-11-07 06:20:14
38,"SBO","F",2011-11-13 22:26:49,2011-11-14 01:43:27
38,"SBI","F",2011-11-14 13:22:59,2011-11-16 08:42:33
38,"SGR","F",2012-03-19 15:34:16,2012-03-19 20:24:06
38,"TTB","F",2012-03-22 07:24:41,2012-04-08 00:20:39
38,"SGR","F",2012-04-09 08:59:32,2012-04-09 13:58:44
38,"SBI","F",2012-04-13 04:51:33,2012-04-13 17:50:58
38,"SBO","F",2012-04-13 22:57:32,2012-04-14 01:19:02
38,"WHT","F",2012-04-18 06:28:55,2012-04-18 16:27:00
41,"TTB","F",2011-04-11 04:52:17,2011-04-11 05:32:17
41,"SGR","F",2011-04-19 06:57:22,2011-04-20 01:19:19
41,"SBI","F",2011-09-27 14:56:54,2011-09-27 16:17:53
44,"TTB","M",2011-04-24 22:48:19,2011-04-24 23:24:05
44,"SGR","M",2011-04-25 13:05:50,2011-04-25 14:53:24
44,"SBI","M",2011-05-05 16:50:27,2011-05-06 23:15:01
44,"SBO","M",2011-05-07 00:57:54,2011-05-07 07:14:41
44,"SBO","M",2011-11-19 08:48:40,2011-11-19 10:54:13
44,"SBI","M",2011-11-20 07:11:44,2011-11-20 11:05:20
44,"SGR","M",2012-02-28 15:31:06,2012-03-07 21:05:09
44,"TTB","M",2012-04-10 11:54:11,2012-04-10 23:45:10
44,"SGR","M",2012-04-12 02:50:15,2012-04-12 08:09:02
44,"SBI","M",2012-04-15 21:27:50,2012-04-15 21:55:33
44,"SBO","M",2012-04-16 10:44:30,2012-04-16 11:42:04
46,"TTB","F",2011-04-18 05:48:49,2011-04-18 06:33:15
46,"SGR","F",2011-04-20 18:29:17,2011-04-20 19:59:56
46,"SBO","F",2011-05-03 23:31:51,2011-05-04 07:54:13
46,"WHT","F",2011-06-29 17:11:28,2011-10-29 16:59:59
