"detection history","sex","frequency"
"A00000000000","F",3
"A00000000000","M",2
"AA0000000000","F",1
"AA0000000000","M",4
"AAA000000000","F",12
"AAA000000000","M",25
"AAA0000000A0","F",1
"AAA0000000A0","M",4
"AAA0000000AA","F",24
"AAA0000000AA","M",11
"AAA0C0000000","F",1
"AAA0C0000000","M",0
"AAAB00000000","F",6
"AAAB00000000","M",5
"AAAB000000A0","F",1
"AAAB000000A0","M",1
"AAAB000000AA","F",8
"AAAB000000AA","M",10
"AAAB00B000AA","F",1
"AAAB00B000AA","M",0
"AAAB0BB00000","F",0
"AAAB0BB00000","M",1
"AAAB0BB000AA","F",1
"AAAB0BB000AA","M",0
"AAAB0BBBBB00","F",1
"AAAB0BBBBB00","M",0
"AAAB0BBBBBAA","F",1
"AAAB0BBBBBAA","M",1
"AAABB00000A0","F",0
"AAABB00000A0","M",1
"AAABB00000AA","F",2
"AAABB00000AA","M",2
"AAABBB000000","F",1
"AAABBB000000","M",1
"AAABBB0000AA","F",2
"AAABBB0000AA","M",1
"AAABBBB00000","F",3
"AAABBBB00000","M",1
"AAABBBB000A0","F",0
"AAABBBB000A0","M",1
"AAABBBB000AA","F",3
"AAABBBB000AA","M",7
"AAABBBBB0000","F",0
"AAABBBBB0000","M",1
"AAABBBBB00A0","F",1
"AAABBBBB00A0","M",0
"AAABBBBB00AA","F",1
"AAABBBBB00AA","M",0
"AAABBBBBBB00","F",3
"AAABBBBBBB00","M",0
"AAABBBBBBBAA","F",2
"AAABBBBBBBAA","M",1
"AAABC0000000","F",3
"AAABC0000000","M",4
"AAABC00000A0","F",2
"AAABC00000A0","M",1
"AAABC00000AA","F",15
"AAABC00000AA","M",13
"AAABCC000000","F",2
"AAABCC000000","M",0
