"","c.hist1","c.hist"
"1","A4","AB"
"2","A47","AB7"
"3","A","A"
"4","AS","AA"
"5","A4U","ABB"
"6","AS","AA"
"7","A4","AB"
"8","BU","BB"
"9","B","B"
"10","B4","BA"
"11","BU","BB"
"12","BU","BB"
"13","BU","BB"
"14","BU","BB"
"15","B","B"
"16","BU","BB"
"17","BE","BB"
"18","B","B"
"19","B","B"
"20","B4","BA"
"21","BU","BB"
"22","B","B"
"23","B","B"
"24","BU","BB"
"25","B","B"
"26","BU","BB"
"27","BUB","BBB"
"28","BU","BB"
"29","B","B"
"30","BU","BB"
"31","B7","BY"
"32","A4","AB"
"33","A","A"
"34","A4U","ABB"
"35","A44","AB4"
"36","A4","AB"
"37","A4","AB"
"38","A4","AB"
"39","A4","AB"
"40","A","A"
"41","A323S","AY23A"
"42","A4","AB"
"43","A44","AB4"
"44","A3","AY"
"45","A47","AB7"
"46","A4","AB"
"47","A","A"
"48","A","A"
"49","A","A"
"50","A4","AB"
"51","AS","AA"
"52","A4U","ABB"
"53","A4","AB"
"54","BU","BB"
"55","BA","BA"
"56","B","B"
"57","B","B"
"58","B","B"
"59","B","B"
"60","BU","BB"
"61","B","B"
"62","B47","BA7"
"63","BU","BB"
"64","B","B"
"65","B","B"
"66","B","B"
"67","BU","BB"
"68","BU","BB"
"69","BU","BB"
"70","A4U","ABB"
"71","A4E","ABB"
"72","A4","AB"
"73","A4","AB"
"74","AS","AA"
"75","A4","AB"
"76","A4","AB"
"77","AS","AA"
"78","A4","AB"
"79","A4UB","ABBB"
"80","A4E","ABB"
"81","AS","AA"
"82","ATS","AAA"
"83","A","A"
"84","AS","AA"
"85","A4U","ABB"
"86","AT","AA"
"87","A4U","ABB"
"88","A4U","ABB"
"89","ASST","AAAA"
"90","A47","AB7"
"91","AS","AA"
"92","A","A"
"93","AS","AA"
"94","A4U","ABB"
"95","AS","AA"
"96","AS","AA"
"97","AS","AA"
"98","B7","BY"
"99","BU","BB"
"100","B","B"
"101","B7","BY"
"102","B434U","BA34B"
"103","BU","BB"
"104","BU","BB"
"105","BUB","BBB"
"106","BE","BB"
"107","B","B"
"108","B","B"
"109","B","B"
"110","BU","BB"
"111","B","B"
"112","BE","BB"
"113","B","B"
"114","B","B"
"115","BU","BB"
"116","B","B"
"117","A4U","ABB"
"118","A33","AY3"
"119","A4E","ABB"
"120","A4U","ABB"
"121","A44","AB4"
"122","A","A"
"123","B4S","BAA"
"124","BA","BA"
"125","B7","BY"
"126","BB","BB"
"127","BU","BB"
"128","BU","BB"
"129","B7","BY"
"130","BU","BB"
"131","BU","BB"
"132","B","B"
"133","BU","BB"
"134","B","B"
"135","B","B"
"136","B4","BA"
"137","BU","BB"
"138","BU","BB"
"139","BU","BB"
"140","B","B"
"141","BU","BB"
"142","BU","BB"
"143","BUB","BBB"
"144","A32347","AY2347"
"145","A","A"
"146","A","A"
"147","AS","AA"
"148","A","A"
"149","A4","AB"
"150","ASA","AAA"
"151","AS","AA"
"152","A4U","ABB"
"153","AS","AA"
"154","A34","AY4"
"155","A7","A7"
"156","AT","AA"
"157","AS","AA"
"158","AS","AA"
"159","AS","AA"
"160","A","A"
"161","A","A"
"162","A","A"
"163","A4A","ABA"
"164","A4","AB"
"165","AS","AA"
"166","A4A","ABA"
"167","AS","AA"
"168","A47","AB7"
"169","A4","AB"
"170","A32N","AY2Y"
"171","AT","AA"
"172","B","B"
"173","BU","BB"
"174","BU","BB"
"175","BU","BB"
"176","BUB","BBB"
"177","BE","BB"
"178","B7","BY"
"179","BUB","BBB"
"180","BU","BB"
"181","B","B"
"182","BE","BB"
"183","BA","BA"
"184","BE","BB"
"185","BU","BB"
"186","BU","BB"
"187","BUB","BBB"
"188","B7","BY"
"189","B7","BY"
"190","B","B"
"191","B","B"
"192","BU","BB"
"193","BU","BB"
"194","BUB","BBB"
"195","B77G","BY7B"
"196","B41","BA1"
"197","BE","BB"
"198","BU","BB"
"199","B4","BA"
"200","B","B"
"201","B4SB","BAAB"
"202","BB","BB"
"203","BE","BB"
"204","B4UB","BABB"
"205","BU","BB"
"206","BU","BB"
"207","A47","AB7"
"208","A447","AB47"
"209","A4U","ABB"
"210","A4U","ABB"
"211","A4U","ABB"
"212","A4U","ABB"
"213","A4B","ABB"
"214","AS","AA"
"215","A","A"
"216","A4G","ABB"
"217","A7","A7"
"218","A44","AB4"
"219","A4G7","ABB7"
"220","A4B","ABB"
"221","AS","AA"
"222","A4","AB"
"223","A4U","ABB"
"224","A4U","ABB"
"225","A32N","AY2Y"
"226","A474","AB74"
"227","A47","AB7"
"228","A4","AB"
"229","A44U","AB4B"
"230","A4","AB"
"231","A4U","ABB"
"232","A4","AB"
"233","A47","AB7"
"234","AS","AA"
"235","A","A"
"236","A4U","ABB"
"237","AS","AA"
"238","A4U","ABB"
"239","A4U","ABB"
"240","A4E","ABB"
"241","A4","AB"
"242","A4B","ABB"
"243","B4S","BAA"
"244","B4SS4U","BAAA4B"
"245","A4U","ABB"
"246","A4","AB"
"247","A4B","ABB"
"248","A4U","ABB"
"249","A4","AB"
"250","A4EEU","ABBBB"
"251","A4","AB"
"252","A4UB","ABBB"
"253","A32I","AY2Y"
"254","A4U","ABB"
"255","A47","AB7"
"256","A4A","ABA"
"257","A4","AB"
"258","A","A"
"259","A4U","ABB"
"260","A47G","AB7B"
"261","A4UB","ABBB"
"262","A4U","ABB"
"263","A4B","ABB"
"264","ASST","AAAA"
"265","A4E","ABB"
"266","A4B","ABB"
"267","A4B","ABB"
"268","A43","AB3"
"269","AT","AA"
"270","A4","AB"
"271","A47","AB7"
"272","A44","AB4"
"273","A","A"
"274","BU","BB"
"275","B","B"
"276","BU","BB"
"277","BU","BB"
"278","BU","BB"
"279","B4","BA"
"280","BE","BB"
"281","B","B"
"282","BU","BB"
"283","B","B"
"284","B43A","BA3A"
"285","A4U","ABB"
"286","ASS4U","AAA4B"
"287","A4UB","ABBB"
"288","A4U","ABB"
"289","A4U","ABB"
"290","A44S","AB4A"
"291","A444U","AB44B"
"292","A44E","AB4B"
"293","A4B","ABB"
"294","A44","AB4"
"295","A4E","ABB"
"296","A4U","ABB"
"297","A4E","ABB"
"298","A4U","ABB"
"299","A4U","ABB"
"300","A","A"
"301","A4G","ABB"
"302","A4U","ABB"
"303","B4S","BAA"
"304","B4","BA"
"305","BUB","BBB"
"306","BE","BB"
"307","B","B"
"308","BU","BB"
"309","BU","BB"
"310","BEEU","BBBB"
"311","B44U","BA4B"
"312","BB","BB"
"313","BU","BB"
"314","B44","BA4"
"315","BU","BB"
"316","B4U","BAB"
"317","BEE4S","BBB4A"
"318","B4U","BAB"
"319","BE","BB"
"320","BU","BB"
"321","B44U","BA4B"
"322","B7UB","BYBB"
"323","B4","BA"
"324","B44U","BA4B"
"325","BS","BA"
"326","B","B"
"327","B432233K","BA32233K"
"328","B4A","BAA"
"329","B","B"
"330","B7Y","BYY"
"331","A347","AY47"
"332","A4U","ABB"
"333","A4","AB"
"334","A4E","ABB"
"335","A4U","ABB"
"336","A4","AB"
"337","A4U","ABB"
"338","A4E","ABB"
"339","A4U","ABB"
"340","B4U","BAB"
"341","B44","BA4"
"342","B44U","BA4B"
"343","BE","BB"
"344","BU","BB"
"345","BU","BB"
"346","B","B"
"347","B44U","BA4B"
"348","B4A","BAA"
"349","B44A","BA4A"
"350","BU","BB"
"351","B44","BA4"
"352","BUB","BBB"
"353","BUB","BBB"
"354","BU","BB"
"355","B","B"
"356","B","B"
"357","B","B"
"358","B4A","BAA"
"359","A4U","ABB"
"360","A4U","ABB"
"361","A34U","AY4B"
"362","B","B"
"363","B","B"
"364","B4","BA"
"365","BU","BB"
"366","BU","BB"
"367","B4","BA"
"368","B","B"
"369","BU","BB"
"370","B","B"
"371","B","B"
"372","B","B"
"373","B","B"
"374","BU","BB"
"375","BU","BB"
"376","BU","BB"
"377","B4S","BAA"
"378","B4A","BAA"
"379","A47","AB7"
"380","A4","AB"
"381","AS","AA"
"382","A32347","AY2347"
"383","A7UB","A7BB"
"384","AU","AB"
"385","BU","BB"
"386","B44","BA4"
"387","B4","BA"
"388","BU","BB"
"389","BU","BB"
"390","A4U","ABB"
"391","B","B"
"392","A44U","AB4B"
"393","A4U","ABB"
"394","AT","AA"
"395","AS","AA"
"396","A","A"
"397","A4A","ABA"
"398","AEEU","ABBB"
"399","B","B"
"400","B","B"
"401","BU","BB"
"402","B7","BY"
"403","BUU4","BBB4"
"404","B","B"
"405","B","B"
"406","BUB","BBB"
"407","B","B"
"408","BA","BA"
"409","B4UB","BABB"
"410","B","B"
"411","B4UB","BABB"
"412","B","B"
"413","B","B"
"414","B4","BA"
"415","BUB","BBB"
"416","B4","BA"
"417","BU","BB"
"418","BU","BB"
"419","BU","BB"
"420","BU","BB"
"421","BU","BB"
"422","B","B"
"423","B","B"
"424","BU","BB"
"425","BU","BB"
"426","BU","BB"
"427","BU","BB"
"428","BU","BB"
"429","BU","BB"
"430","BUB","BBB"
"431","BU","BB"
"432","B","B"
"433","BU","BB"
"434","BUB","BBB"
"435","B","B"
"436","B","B"
"437","B","B"
"438","B","B"
"439","BU","BB"
"440","BU","BB"
"441","B","B"
"442","BU42","BB42"
"443","B","B"
"444","B","B"
"445","B","B"
"446","B77","BY7"
"447","B","B"
"448","BA","BA"
"449","BU","BB"
"450","BU","BB"
"451","BUB","BBB"
"452","B7B","BYB"
"453","B","B"
"454","BA","BA"
"455","B","B"
"456","BB","BB"
"457","BA","BA"
"458","B4","BA"
"459","B","B"
"460","B44","BA4"
"461","BU","BB"
"462","B","B"
"463","BU","BB"
"464","BU","BB"
"465","BU","BB"
"466","B44","BA4"
"467","B43","BA3"
"468","BUB","BBB"
"469","BU","BB"
"470","B","B"
"471","BU","BB"
"472","B","B"
"473","B","B"
"474","B","B"
"475","B","B"
"476","B","B"
"477","BU","BB"
"478","B","B"
"479","B","B"
"480","B","B"
"481","B","B"
"482","BU","BB"
"483","B","B"
"484","BU","BB"
"485","B4","BA"
"486","B","B"
"487","B44","BA4"
"488","B","B"
"489","BU","BB"
"490","B","B"
"491","B","B"
"492","B4","BA"
"493","B","B"
"494","B","B"
"495","B44","BA4"
"496","B","B"
"497","BB","BB"
"498","B","B"
"499","B","B"
"500","BU","BB"
"501","B","B"
"502","BB","BB"
"503","BB","BB"
"504","B","B"
"505","B","B"
"506","B","B"
"507","B","B"
"508","B","B"
"509","B","B"
"510","B","B"
"511","B","B"
"512","BU","BB"
"513","B","B"
"514","B","B"
"515","B77","BY7"
"516","B","B"
"517","B","B"
"518","B","B"
