"","c.hist","n"
"1","8",65
"2","81",2
"3","82",1
"4","8215321",1
"5","82212332",1
"6","83",3
"7","832",2
"8","832123S",1
"9","8321B",1
"10","83223",1
"11","83234567",2
"12","8323S",1
"13","832I",1
"14","832N",2
"15","832Y",3
"16","833",1
"17","8332",1
"18","833S",2
"19","834",2
"20","83455",1
"21","8345U",2
"22","83467",1
"23","837",1
"24","83I",1
"25","83S",1
"26","83T",1
"27","83Y",1
"28","84",41
"29","842",1
"30","843",1
"31","844",4
"32","84445U",2
"33","8445",1
"34","844567",1
"35","8445U",3
"36","844E",1
"37","844S",4
"38","845",15
"39","8455",2
"40","84554",1
"41","845544554S",1
"42","84554S",1
"43","845554556",1
"44","8455667",1
"45","8455U",6
"46","84565",1
"47","84567",8
"48","845674",1
"49","845675Y",1
"50","845677667",1
"51","8456G",3
"52","8456G7",1
"53","8457G",1
"54","8459",7
"55","845U",90
"56","845UUUU5",1
"57","845UUUU67",1
"58","8467",1
"59","847",2
"60","849",8
"61","84E",10
"62","84EE5U",1
"63","84S",3
"64","84SS33",1
"65","84T",1
"66","84U",9
"67","8567",1
"68","85U",4
"69","867",1
"70","867U",1
"71","87",1
"72","8B",1
"73","8EE5U",1
"74","8S",71
"75","8SS32",1
"76","8SS45U",1
"77","8SSS5",1
"78","8SSSSSTTTS",1
"79","8SSST",1
"80","8SST",2
"81","8T",7
"82","8TS",1
"83","8YYYY1YYB",1
"84","9",85
"85","912",1
"86","932",1
"87","94",10
"88","942",1
"89","9432",1
"90","9432233K",1
"91","9439",1
"92","944",6
"93","9445",4
"94","94459",1
"95","9445U",3
"96","944U",3
"97","9455U",1
"98","945654",1
"99","9459",2
"100","945U",5
"101","949",3
"102","94S",6
"103","94SS45U",1
"104","94T",1
"105","94U",2
"106","95",38
"107","954",5
"108","9541",1
"109","95433",1
"110","9543Y",1
"111","95445",1
"112","954459",1
"113","95445U",5
"114","95455",1
"115","9545U",1
"116","954S",4
"117","955",13
"118","9554",1
"119","95543",1
"120","9554345U",1
"121","9554S",1
"122","9554S8",1
"123","9555",3
"124","95554S",1
"125","95555",1
"126","955555",2
"127","9555555",1
"128","955555555",1
"129","955555E",1
"130","955567",1
"131","9555U",2
"132","9556",1
"133","95565467",1
"134","95576",1
"135","9559",3
"136","955E",4
"137","955U",22
"138","9566",1
"139","9567",8
"140","9567654",1
"141","95677G",1
"142","9567U",1
"143","957",1
"144","957567",1
"145","959",5
"146","95E",4
"147","95U",118
"148","95U5",2
"149","95UU54",1
"150","95UU544",1
"151","95UUG7",1
"152","96",2
"153","965",1
"154","9654T",1
"155","967",2
"156","967766",2
"157","967U",1
"158","96U",1
"159","97654S",1
"160","977",1
"161","9E",4
"162","9EE4S",1
"163","9EE5U",1
"164","9S",4
"165","9U",25
"166","9U42",1
"167","9U5",1
"168","9U55",1
"169","9UU5",1
