"","","c.hist1","c.hist"
"1","4","A4","AB"
"2","47","A47","AB7"
"3",NA,"A","A"
"4","S","AS","AA"
"5","45U","A4U","ABB"
"6","S","AS","AA"
"7","45","A4","AB"
"8","5U","BU","BB"
"9","55","B","B"
"10","54","B4","BA"
"11","5U","BU","BB"
"12","5U","BU","BB"
"13","5U","BU","BB"
"14","55U","BU","BB"
"15","55","B","B"
"16","55U","BU","BB"
"17","5E","BE","BB"
"18","5","B","B"
"19","55","B","B"
"20","5455","B4","BA"
"21","5U","BU","BB"
"22","5","B","B"
"23","5","B","B"
"24","5U","BU","BB"
"25","55","B","B"
"26","55U","BU","BB"
"27","5U","BUB","BBB"
"28","5U","BU","BB"
"29","5","B","B"
"30","55U","BU","BB"
"31","567","B7","BY"
"32","45","A4","AB"
"33",NA,"A","A"
"34","45U","A4U","ABB"
"35","44","A44","AB4"
"36","4","A4","AB"
"37","4","A4","AB"
"38","4","A4","AB"
"39","4","A4","AB"
"40",NA,"A","A"
"41","323S","A323S","AY23A"
"42","45","A4","AB"
"43","44","A44","AB4"
"44","3","A3","AY"
"45","4567","A47","AB7"
"46","45","A4","AB"
"47",NA,"A","A"
"48",NA,"A","A"
"49",NA,"A","A"
"50","4","A4","AB"
"51","S","AS","AA"
"52","45U","A4U","ABB"
"53","45","A4","AB"
"54","55U","BU","BB"
"55","5","BA","BB"
"56","5","B","B"
"57","5","B","B"
"58","5","B","B"
"59","555","B","B"
"60","5U","BU","BB"
"61","55","B","B"
"62","5565467","B47","BA7"
"63","5U","BU","BB"
"64","555555","B","B"
"65","55","B","B"
"66","5","B","B"
"67","5U","BU","BB"
"68","5U","BU","BB"
"69","55U","BU","BB"
"70","45U","A4U","ABB"
"71","4E","A4E","ABB"
"72","4","A4","AB"
"73","45","A4","AB"
"74","S","AS","AA"
"75","4","A4","AB"
"76","45","A4","AB"
"77","S","AS","AA"
"78","45","A4","AB"
"79","45U","A4UB","ABBB"
"80","4E","A4E","ABB"
"81","S","AS","AA"
"82","TS","ATS","AAA"
"83",NA,"A","A"
"84","S","AS","AA"
"85","45U","A4U","ABB"
"86","T","AT","AA"
"87","45U","A4U","ABB"
"88","455U","A4U","ABB"
"89","SST","ASST","AAAA"
"90","4567","A47","AB7"
"91","S","AS","AA"
"92",NA,"A","A"
"93","S","AS","AA"
"94","45U","A4U","ABB"
"95","S","AS","AA"
"96","S","AS","AA"
"97","S","AS","AA"
"98","567","B7","BY"
"99","5U","BU","BB"
"100","5","B","B"
"101","567","B7","BY"
"102","554345U","B434U","BA34B"
"103","5U","BU","BB"
"104","55U","BU","BB"
"105","55U","BUB","BBB"
"106","5E","BE","BB"
"107","5","B","B"
"108","5","B","B"
"109","5","B","B"
"110","5U","BU","BB"
"111","5","B","B"
"112","55E","BE","BB"
"113","555","B","B"
"114","55","B","B"
"115","5U","BU","BB"
"116","55555","B","B"
"117","45U","A4U","ABB"
"118","33","A33","AY3"
"119","4E","A4E","ABB"
"120","45U","A4U","ABB"
"121","45554556","A44","AB4"
"122",NA,"A","A"
"123","54S","B4S","BAA"
"124","55","BA","BB"
"125","567","B7","BY"
"126","55","BB","BB"
"127","5U","BU","BB"
"128","5U","BU","BB"
"129","567","B7","BY"
"130","5U","BU","BB"
"131","5U","BU","BB"
"132","5","B","B"
"133","5U","BU","BB"
"134","556","B","B"
"135","5","B","B"
"136","54","B4","BA"
"137","5U5","BU","BB"
"138","5U","BU","BB"
"139","5U","BU","BB"
"140","5","B","B"
"141","5U","BU","BB"
"142","5U","BU","BB"
"143","5U","BUB","BBB"
"144","3234567","A32347","AY2347"
"145",NA,"A","A"
"146",NA,"A","A"
"147","S","AS","AA"
"148",NA,"A","A"
"149","4","A4","AB"
"150","S","ASA","AAA"
"151","S","AS","AA"
"152","45U","A4U","ABB"
"153","S","AS","AA"
"154","34","A34","AY4"
"155","67","A7","A7"
"156","T","AT","AA"
"157","S","AS","AA"
"158","S","AS","AA"
"159","S","AS","AA"
"160",NA,"A","A"
"161",NA,"A","A"
"162",NA,"A","A"
"163","4","A4A","ABB"
"164","4","A4","AB"
"165","S","AS","AA"
"166","45","A4A","ABB"
"167","S","AS","AA"
"168","455667","A47","AB7"
"169","4","A4","AB"
"170","32N","A32N","AY2Y"
"171","T","AT","AA"
"172","5","B","B"
"173","55U","BU","BB"
"174","5U","BU","BB"
"175","5U","BU","BB"
"176","5U","BUB","BBB"
"177","5E","BE","BB"
"178","567","B7","BY"
"179","5U","BUB","BBB"
"180","5U","BU","BB"
"181","55555","B","B"
"182","55E","BE","BB"
"183","55","BA","BB"
"184","55E","BE","BB"
"185","55U","BU","BB"
"186","5U","BU","BB"
"187","5U","BUB","BBB"
"188","55567","B7","BY"
"189","567","B7","BY"
"190","5","B","B"
"191","55","B","B"
"192","5U","BU","BB"
"193","55U","BU","BB"
"194","5U","BUB","BBB"
"195","5677G","B77G","BY7B"
"196","541","B41","BA1"
"197","5E","BE","BB"
"198","5U","BU","BB"
"199","554","B4","BA"
"200","5","B","B"
"201","554S","B4SB","BAAA"
"202","5","BB","BB"
"203","55555E","BE","BB"
"204","545U","B4UB","BABB"
"205","5U","BU","BB"
"206","5U","BU","BB"
"207","4567","A47","AB7"
"208","44567","A447","AB47"
"209","45U","A4U","ABB"
"210","4U","A4U","ABB"
"211","45U","A4U","ABB"
"212","45U","A4U","ABB"
"213","45","A4B","ABB"
"214","S","AS","AA"
"215",NA,"A","A"
"216","456G","A4G","ABB"
"217","567","A7","A7"
"218","44","A44","AB4"
"219","456G7","A4G7","ABB7"
"220","45","A4B","ABB"
"221","S","AS","AA"
"222","4","A4","AB"
"223","45U","A4U","ABB"
"224","45U","A4U","ABB"
"225","32N","A32N","AY2Y"
"226","45674","A474","AB74"
"227","4567","A47","AB7"
"228","45","A4","AB"
"229","445U","A44U","AB4B"
"230","4","A4","AB"
"231","45U","A4U","ABB"
"232","4","A4","AB"
"233","4567","A47","AB7"
"234","S","AS","AA"
"235",NA,"A","A"
"236","45U","A4U","ABB"
"237","S","AS","AA"
"238","45U","A4U","ABB"
"239","45U","A4U","ABB"
"240","4E","A4E","ABB"
"241","4","A4","AB"
"242","45","A4B","ABB"
"243","4S","B4S","BAA"
"244","4SS45U","B4SS4U","BAAA4B"
"245","45U","A4U","ABB"
"246","4","A4","AB"
"247","45","A4B","ABB"
"248","45U","A4U","ABB"
"249","4","A4","AB"
"250","4EE5U","A4EEU","ABBBB"
"251","4","A4","AB"
"252","45U","A4UB","ABBB"
"253","32I","A32I","AY2Y"
"254","45U","A4U","ABB"
"255","4567","A47","AB7"
"256","45","A4A","ABB"
"257","45","A4","AB"
"258",NA,"A","A"
"259","45U","A4U","ABB"
"260","457G","A47G","AB7B"
"261","45U","A4UB","ABBB"
"262","45U","A4U","ABB"
"263","45","A4B","ABB"
"264","SST","ASST","AAAA"
"265","4E","A4E","ABB"
"266","45","A4B","ABB"
"267","455","A4B","ABB"
"268","43","A43","AB3"
"269","T","AT","AA"
"270","4","A4","AB"
"271","4567","A47","AB7"
"272","4554","A44","AB4"
"273",NA,"A","A"
"274","5U","BU","BB"
"275","5","B","B"
"276","5U","BU","BB"
"277","5U","BU","BB"
"278","5U","BU","BB"
"279","4","B4","BA"
"280","E","BE","BB"
"281",NA,"B","B"
"282","5U","BU","BB"
"283",NA,"B","B"
"284","43","B43A","BA3B"
"285","455U","A4U","ABB"
"286","SS45U","ASS4U","AAA4B"
"287","455U","A4UB","ABBB"
"288","4U","A4U","ABB"
"289","45U","A4U","ABB"
"290","44S","A44S","AB4A"
"291","4445U","A444U","AB44B"
"292","44E","A44E","AB4B"
"293","4","A4B","ABB"
"294","445","A44","AB4"
"295","4E","A4E","ABB"
"296","45U","A4U","ABB"
"297","4E","A4E","ABB"
"298","45U","A4U","ABB"
"299","45U","A4U","ABB"
"300",NA,"A","A"
"301","456G","A4G","ABB"
"302","45U","A4U","ABB"
"303","5554S","B4S","BAA"
"304","4","B4","BA"
"305","5U","BUB","BBB"
"306","E","BE","BB"
"307",NA,"B","B"
"308","5U","BU","BB"
"309","5U","BU","BB"
"310","EE5U","BEEU","BBBB"
"311","44U","B44U","BA4B"
"312","5","BB","BB"
"313","5U","BU","BB"
"314","44","B44","BA4"
"315","5U","BU","BB"
"316","45U","B4U","BAB"
"317","EE4S","BEE4S","BBB4A"
"318","45U","B4U","BAB"
"319","E","BE","BB"
"320","5U","BU","BB"
"321","44U","B44U","BA4B"
"322","567U","B7UB","BYBB"
"323","4","B4","BA"
"324","5445U","B44U","BA4B"
"325","S","BS","BA"
"326",NA,"B","B"
"327","432233K","B432233K","BA32233K"
"328","4","B4A","BAB"
"329",NA,"B","B"
"330","567","B7Y","BYY"
"331","3467","A347","AY47"
"332","45U","A4U","ABB"
"333","45","A4","AB"
"334","4E","A4E","ABB"
"335","45U","A4U","ABB"
"336","4","A4","AB"
"337","45U","A4U","ABB"
"338","4E","A4E","ABB"
"339","45U","A4U","ABB"
"340","45U","B4U","BAB"
"341","445","B44","BA4"
"342","445U","B44U","BA4B"
"343","E","BE","BB"
"344","5U","BU","BB"
"345","5U","BU","BB"
"346",NA,"B","B"
"347","445U","B44U","BA4B"
"348","4","B4A","BAB"
"349","445","B44A","BA4B"
"350","5U","BU","BB"
"351","44","B44","BA4"
"352","5U","BUB","BBB"
"353","5U","BUB","BBB"
"354","5U","BU","BB"
"355",NA,"B","B"
"356",NA,"B","B"
"357",NA,"B","B"
"358","45","B4A","BAB"
"359","45U","A4U","ABB"
"360","4U","A4U","ABB"
"361","345U","A34U","AY4B"
"362",NA,"B","B"
"363",NA,"B","B"
"364","4","B4","BA"
"365","5U","BU","BB"
"366","5U","BU","BB"
"367","4","B4","BA"
"368",NA,"B","B"
"369","5U","BU","BB"
