1,4,A4,AB,AB
2,47,A47,AB7,ABY
3,NA,A,A,A
4,S,AS,AA,AA
5,45U,A45U,ABB,ABB
6,S,AS,AA,AA
7,45,A45,AB,AB
8,5U,B5U,BB,BB
9,55,B55,B,B
10,54,B54,BA,BA
11,5U,B5U,BB,BB
12,5U,B5U,BB,BB
13,5U,B5U,BB,BB
14,55U,B55U,BB,BB
15,55,B55,B,B
16,55U,B55U,BB,BB
17,5E,B5E,BB,BB
18,5,B5,B,B
19,55,B55,B,B
20,5455,B5455,BA,BAB
21,5U,B5U,BB,BB
22,5,B5,B,B
23,5,B5,B,B
24,5U,B5U,BB,BB
25,55,B55,B,B
26,55U,B55U,BB,BB
27,5U,B5UB,BBB,BB
28,5U,B5U,BB,BB
29,5,B5,B,B
30,55U,B55U,BB,BB
31,567,B567,BY,BY
32,45,A45,AB,AB
33,NA,A,A,A
34,45U,A45U,ABB,ABB
35,44,A44,AB4,ABA
36,4,A4,AB,AB
37,4,A4,AB,AB
38,4,A4,AB,AB
39,4,A4,AB,AB
40,NA,A,A,A
41,323S,A323S,AY23A,AYAA
42,45,A45,AB,AB
43,44,A44,AB4,ABA
44,3,A3,AY,AY
45,4567,A4567,AB7,ABY
46,45,A45,AB,AB
47,NA,A,A,A
48,NA,A,A,A
49,NA,A,A,A
50,4,A4,AB,AB
51,S,AS,AA,AA
52,45U,A45U,ABB,ABB
53,45,A45,AB,AB
54,55U,B55U,BB,BB
55,5,B5B,BB,B
56,5,B5,B,B
57,5,B5,B,B
58,5,B5,B,B
59,555,B555,B,B
60,5U,B5U,BB,BB
61,55,B55,B,B
62,5565467,B5565467,BA7,BABY
63,5U,B5U,BB,BB
64,555555,B555555,B,B
65,55,B55,B,B
66,5,B5,B,B
67,5U,B5U,BB,BB
68,5U,B5U,BB,BB
69,55U,B55U,BB,BB
70,45U,A45U,ABB,ABB
71,4E,A4E,ABB,ABB
72,4,A4,AB,AB
73,45,A45,AB,AB
74,S,AS,AA,AA
75,4,A4,AB,AB
76,45,A45,AB,AB
77,S,AS,AA,AA
78,45,A45,AB,AB
79,45U,A45UB,ABBB,ABB
80,4E,A4E,ABB,ABB
81,S,AS,AA,AA
82,TS,ATS,AAA,AA
83,NA,A,A,A
84,S,AS,AA,AA
85,45U,A45U,ABB,ABB
86,T,AT,AA,AA
87,45U,A45U,ABB,ABB
88,455U,A455U,ABB,ABB
89,SST,ASST,AAAA,AA
90,4567,A4567,AB7,ABY
91,S,AS,AA,AA
92,NA,A,A,A
93,S,AS,AA,AA
94,45U,A45U,ABB,ABB
95,S,AS,AA,AA
96,S,AS,AA,AA
97,S,AS,AA,AA
98,567,B567,BY,BY
99,5U,B5U,BB,BB
100,5,B5,B,B
101,567,B567,BY,BY
102,554345U,B554345U,BA34B,BABB
103,5U,B5U,BB,BB
104,55U,B55U,BB,BB
105,55U,B55UB,BBB,BB
106,5E,B5E,BB,BB
107,5,B5,B,B
108,5,B5,B,B
109,5,B5,B,B
110,5U,B5U,BB,BB
111,5,B5,B,B
112,55E,B55E,BB,BB
113,555,B555,B,B
114,55,B55,B,B
115,5U,B5U,BB,BB
116,55555,B55555,B,B
117,45U,A45U,ABB,ABB
118,33,A33,AY3,AYA
119,4E,A4E,ABB,ABB
120,45U,A45U,ABB,ABB
121,45554556,A45554556,AB4,ABAB
122,NA,A,A,A
123,54S,B54S,BAA,BAA
124,55,B55B,BB,B
125,567,B567,BY,BY
126,55,B55B,BB,BB
127,5U,B5U,BB,BB
128,5U,B5U,BB,BB
129,567,B567,BY,BY
130,5U,B5U,BB,BB
131,5U,B5U,BB,BB
132,5,B5,B,B
133,5U,B5U,BB,BB
134,556,B556,B,B
135,5,B5,B,B
136,54,B54,BA,BA
137,5U5,B5U5,BB,BB
138,5U,B5U,BB,BB
139,5U,B5U,BB,BB
140,5,B5,B,B
141,5U,B5U,BB,BB
142,5U,B5U,BB,BB
143,5U,B5UB,BBB,BBB
144,3234567,A3234567,AY2347,AYAB
145,NA,A,A,A
146,NA,A,A,A
147,S,AS,AA,AA
148,NA,A,A,A
149,4,A4,AB,AB
150,S,ASA,AAA,AA
151,S,AS,AA,AA
152,45U,A45U,ABB,ABB
153,S,AS,AA,AA
154,34,A34,AY4,AYA
155,67,A67,A7,ABY
156,T,AT,AA,AA
157,S,AS,AA,AA
158,S,AS,AA,AA
159,S,AS,AA,AA
160,NA,A,A,A
161,NA,A,A,A
162,NA,A,A,A
163,4,A4B,ABB,AB
164,4,A4,AB,AB
165,S,AS,AA,AA
166,45,A45B,ABB,AB
167,S,AS,AA,AA
168,455667,A455667,AB7,ABY
169,4,A4,AB,AB
170,32N,A32N,AY2N,AYY
171,T,AT,AA,AA
172,5,B5,B,B
173,55U,B55U,BB,BB
174,5U,B5U,BB,BB
175,5U,B5U,BB,BB
176,5U,B5UB,BBB,BBB
177,5E,B5E,BB,BB
178,567,B567,BY,BY
179,5U,B5UB,BBB,BBB
180,5U,B5U,BB,BB
181,55555,B55555,B,B
182,55E,B55E,BB,BB
183,55,B55B,BB,B
184,55E,B55E,BB,BB
185,55U,B55U,BB,BB
186,5U,B5U,BB,BB
187,5U,B5UB,BBB,BBB
188,55567,B55567,BY,BY
189,567,B567,BY,BY
190,5,B5,B,B
191,55,B55,B,B
