446,57567,B57567,BY7,NA,BYBY
195,5677G,B5677G,BY7B,NA,BYBB
322,567U,B567UB,BYBB,U,BYBB
452,67,B67B,BYB,U,BYBB
717,567654,B567654,BY4,NA,BYBA
515,67766,B67766,BY7,NA,BYB
703,67766,B67766,BY7,NA,BYB
719,77,B77,BY7,NA,BYB
402,5576,B5576,BY,NA,BYB
31,567,B567,BY,NA,BY
98,567,B567,BY,NA,BY
101,567,B567,BY,NA,BY
125,567,B567,BY,NA,BY
129,567,B567,BY,NA,BY
178,567,B567,BY,NA,BY
188,55567,B55567,BY,NA,BY
189,567,B567,BY,NA,BY
330,567,B567Y,BYY,7,BY
704,67,B67,BY,NA,BY
715,67,B67,BY,NA,BY
891,57,B57,BY,NA,BY
594,NA,B,B,7,BY
702,5UUG7,B5UUG7,BBBB7,NA,BBBY
310,EE5U,BEE5U,BBBB,NA,BBBB
317,EE4S,BEE4S,BBB4A,NA,BBBA
403,5UU54,B5UU54,BBB4,NA,BBBA
652,5UU544,B5UU544,BBB44,NA,BBBA
627,UU5,BUU5,BBB,NA,BBB
143,5U,B5UB,BBB,U,BB
176,5U,B5UB,BBB,U,BB
179,5U,B5UB,BBB,U,BB
187,5U,B5UB,BBB,U,BB
194,5U,B5UB,BBB,U,BB
305,5U,B5UB,BBB,U,BB
352,5U,B5UB,BBB,U,BB
353,5U,B5UB,BBB,U,BB
406,5U,B5UB,BBB,U,BB
415,5U,B5UB,BBB,U,BB
430,U,BUB,BBB,U,BB
434,555U,B555UB,BBB,U,BB
451,U,BUB,BBB,U,BB
468,5U,B5UB,BBB,U,BB
611,5U,B5UB,BBB,U,BB
8,5U,B5U,BB,NA,BB
11,5U,B5U,BB,NA,BB
12,5U,B5U,BB,NA,BB
13,5U,B5U,BB,NA,BB
14,55U,B55U,BB,NA,BB
16,55U,B55U,BB,NA,BB
17,5E,B5E,BB,NA,BB
21,5U,B5U,BB,NA,BB
24,5U,B5U,BB,NA,BB
26,55U,B55U,BB,NA,BB
27,5U,B5UB,BBB,U,BB
28,5U,B5U,BB,NA,BB
30,55U,B55U,BB,NA,BB
54,55U,B55U,BB,NA,BB
60,5U,B5U,BB,NA,BB
63,5U,B5U,BB,NA,BB
67,5U,B5U,BB,NA,BB
68,5U,B5U,BB,NA,BB
69,55U,B55U,BB,NA,BB
99,5U,B5U,BB,NA,BB
103,5U,B5U,BB,NA,BB
104,55U,B55U,BB,NA,BB
105,55U,B55UB,BBB,U,BB
106,5E,B5E,BB,NA,BB
110,5U,B5U,BB,NA,BB
112,55E,B55E,BB,NA,BB
115,5U,B5U,BB,NA,BB
126,55,B55B,BB,E,BB
127,5U,B5U,BB,NA,BB
128,5U,B5U,BB,NA,BB
130,5U,B5U,BB,NA,BB
131,5U,B5U,BB,NA,BB
133,5U,B5U,BB,NA,BB
137,5U5,B5U5,BB,NA,BB
138,5U,B5U,BB,NA,BB
139,5U,B5U,BB,NA,BB
141,5U,B5U,BB,NA,BB
142,5U,B5U,BB,NA,BB
173,55U,B55U,BB,NA,BB
174,5U,B5U,BB,NA,BB
175,5U,B5U,BB,NA,BB
177,5E,B5E,BB,NA,BB
180,5U,B5U,BB,NA,BB
182,55E,B55E,BB,NA,BB
184,55E,B55E,BB,NA,BB
185,55U,B55U,BB,NA,BB
186,5U,B5U,BB,NA,BB
192,5U,B5U,BB,NA,BB
193,55U,B55U,BB,NA,BB
197,5E,B5E,BB,NA,BB
198,5U,B5U,BB,NA,BB
202,5,B5B,BB,U,BB
203,55555E,B55555E,BB,NA,BB
205,5U,B5U,BB,NA,BB
206,5U,B5U,BB,NA,BB
274,5U,B5U,BB,NA,BB
276,5U,B5U,BB,NA,BB
277,5U,B5U,BB,NA,BB
278,5U,B5U,BB,NA,BB
280,E,BE,BB,NA,BB
282,5U,B5U,BB,NA,BB
306,E,BE,BB,NA,BB
308,5U,B5U,BB,NA,BB
309,5U,B5U,BB,NA,BB
312,5,B5B,BB,U,BB
313,5U,B5U,BB,NA,BB
315,5U,B5U,BB,NA,BB
319,E,BE,BB,NA,BB
320,5U,B5U,BB,NA,BB
343,E,BE,BB,NA,BB
344,5U,B5U,BB,NA,BB
345,5U,B5U,BB,NA,BB
350,5U,B5U,BB,NA,BB
354,5U,B5U,BB,NA,BB
365,5U,B5U,BB,NA,BB
366,5U,B5U,BB,NA,BB
369,5U,B5U,BB,NA,BB
374,5U,B5U,BB,NA,BB
375,5U,B5U,BB,NA,BB
376,5U,B5U,BB,NA,BB
385,55U,B55U,BB,NA,BB
388,55U,B55U,BB,NA,BB
389,5U,B5U,BB,NA,BB
401,5U,B5U,BB,NA,BB
417,5U,B5U,BB,NA,BB
418,5U,B5U,BB,NA,BB
419,55U,B55U,BB,NA,BB
420,5U,B5U,BB,NA,BB
421,55U,B55U,BB,NA,BB
424,5U,B5U,BB,NA,BB
425,5U,B5U,BB,NA,BB
426,5U,B5U,BB,NA,BB
427,55U,B55U,BB,NA,BB
428,5U,B5U,BB,NA,BB
429,5U,B5U,BB,NA,BB
431,U,BU,BB,NA,BB
433,5U5,B5U5,BB,NA,BB
439,U,BU,BB,NA,BB
440,6U,B6U,BB,NA,BB
449,U,BU,BB,NA,BB
450,U,BU,BB,NA,BB
456,5,B5B,BB,U,BB
461,5U,B5U,BB,NA,BB
463,5U,B5U,BB,NA,BB
464,5U,B5U,BB,NA,BB
465,5U,B5U,BB,NA,BB
469,5U,B5U,BB,NA,BB
471,5U,B5U,BB,NA,BB
477,5U,B5U,BB,NA,BB
482,5U,B5U,BB,NA,BB
484,5U,B5U,BB,NA,BB
489,U,BU,BB,NA,BB
497,5,B5B,BB,U,BB
500,5U,B5U,BB,NA,BB
502,5,B5B,BB,U,BB
503,5,B5B,BB,U,BB
512,U,BU,BB,NA,BB
595,U,BU,BB,NA,BB
596,5U,B5U,BB,NA,BB
597,5U,B5U,BB,NA,BB
598,5U,B5U,BB,NA,BB
602,U,BU,BB,NA,BB
603,555U,B555U,BB,NA,BB
608,U,BU,BB,NA,BB
610,5U,B5U,BB,NA,BB
613,5U,B5U,BB,NA,BB
615,5U,B5U,BB,NA,BB
618,5U,B5U,BB,NA,BB
619,U,BU,BB,NA,BB
621,5U,B5U,BB,NA,BB
623,U,BU,BB,NA,BB
629,5U,B5U,BB,NA,BB
631,5U,B5U,BB,NA,BB
633,5U,B5U,BB,NA,BB
644,5U,B5U,BB,NA,BB
645,5U,B5U,BB,NA,BB
646,U,BU,BB,NA,BB
647,5U,B5U,BB,NA,BB
648,5U,B5U,BB,NA,BB
650,5U,B5U,BB,NA,BB
651,5U,B5U,BB,NA,BB
655,5U,B5U,BB,NA,BB
656,U,BU,BB,NA,BB
658,5U,B5U,BB,NA,BB
659,5U,B5U,BB,NA,BB
660,55U,B55U,BB,NA,BB
663,5U,B5U,BB,NA,BB
664,55U,B55U,BB,NA,BB
665,55U,B55U,BB,NA,BB
666,5U,B5U,BB,NA,BB
667,5U,B5U,BB,NA,BB
674,55U,B55U,BB,NA,BB
677,U,BU,BB,NA,BB
678,U,BU,BB,NA,BB
679,U,BU,BB,NA,BB
680,U,BU,BB,NA,BB
690,5U,B5U,BB,NA,BB
692,U,BU,BB,NA,BB
693,U,BU,BB,NA,BB
697,U,BU,BB,NA,BB
698,U,BU,BB,NA,BB
701,U55,BU55,BB,NA,BB
706,U5,BU5,BB,NA,BB
883,U,BU,BB,NA,BB
884,U,BU,BB,NA,BB
885,55U,B55U,BB,NA,BB
887,5U,B5U,BB,NA,BB
893,5U,B5U,BB,NA,BB
894,55U,B55U,BB,NA,BB
895,5U,B5U,BB,NA,BB
327,432233K,B432233K,BA32233K,NA,BAYY
681,543Y,B543Y,BA3Y,NA,BAYY
284,43,B43B,BA3B,6b,BAYA
599,5433,B5433,BA33,NA,BAYA
196,541,B541,BA1,NA,BAY
442,U42,BU42,BB42,NA,BAY
467,5543,B5543,BA3,NA,BAY
624,32,B32,B32,NA,B0AY
636,432,B432,BA32,NA,BABY
639,42,B42,BA2,NA,BABY
709,12,B12,B12,NA,BY
62,5565467,B5565467,BA7,NA,BABY
