idx,ch
1,AB
2,ABY
3,A
4,AA
5,ABB
6,AA
7,AB
8,BB
9,B
10,BA
11,BB
12,BB
13,BB
14,BB
15,B
16,BB
17,BB
18,B
19,B
20,BAB
21,BB
22,B
23,B
24,BB
25,B
26,BB
27,BB
28,BB
29,B
30,BB
31,BY
32,AB
33,A
34,ABB
35,ABA
36,AB
37,AB
38,AB
39,AB
40,A
41,AYAA
42,AB
43,ABA
44,AY
45,ABY
46,AB
47,A
48,A
49,A
50,AB
51,AA
52,ABB
53,AB
54,BB
55,B
56,B
57,B
58,B
59,B
60,BB
61,B
62,BABY
63,BB
64,B
65,B
66,B
67,BB
68,BB
69,BB
70,ABB
71,ABB
72,AB
73,AB
74,AA
75,AB
76,AB
77,AA
78,AB
79,ABB
80,ABB
81,AA
82,AA
83,A
84,AA
85,ABB
86,AA
87,ABB
88,ABB
89,AA
90,ABY
91,AA
92,A
93,AA
94,ABB
95,AA
96,AA
97,AA
98,BY
99,BB
100,B
101,BY
102,BABB
103,BB
104,BB
105,BB
106,BB
107,B
108,B
109,B
110,BB
111,B
112,BB
113,B
114,B
115,BB
116,B
117,ABB
118,AYA
119,ABB
120,ABB
121,ABAB
122,A
123,BAA
124,B
125,BY
126,BB
127,BB
128,BB
129,BY
130,BB
131,BB
132,B
133,BB
134,B
135,B
136,BA
137,BB
138,BB
139,BB
140,B
141,BB
142,BB
143,BB
144,AYAB
145,A
146,A
147,AA
148,A
149,AB
150,AA
151,AA
152,ABB
153,AA
154,AYAB
155,A0BY
156,AA
157,AA
158,AA
159,AA
160,A
161,A
162,AA
163,AB
164,AB
165,AA
166,AB
167,AA
168,ABY
169,AB
170,AYY
171,AA
172,B
173,BB
174,BB
175,BB
176,BB
177,BB
178,BY
179,BB
180,BB
181,B
182,BB
183,B
184,BB
185,BB
186,BB
187,BB
188,BY
189,BY
190,B
191,B
192,BB
193,BB
194,BB
195,BYBB
196,BAY
197,BB
198,BB
199,BA
200,B
201,BAAA
202,BB
203,BB
204,BABB
205,BB
206,BB
207,ABY
208,ABY
209,ABB
210,ABB
211,ABB
212,ABB
213,ABB
214,AA
215,A
216,ABB
217,A0BY
218,ABA
219,ABY
220,ABB
221,AA
222,AB
223,ABB
224,ABB
225,AYY
226,ABYB
227,ABY
228,AB
229,ABB
230,AB
231,ABB
232,AB
233,ABY
234,AA
235,A
236,ABB
237,AA
238,ABB
239,ABB
240,ABB
241,AB
242,ABB
243,BAA
244,BABB
245,ABB
246,AB
247,ABB
248,ABB
249,AB
250,ABB
251,AB
252,ABB
253,AYY
254,ABB
255,ABY
256,AB
257,AB
258,A
259,ABB
260,ABB
261,ABB
262,ABB
263,ABB
264,AA
265,ABB
266,ABB
267,ABB
268,ABAY
269,AA
270,AB
271,ABY
272,ABA
273,A
274,BB
275,B
276,BB
277,BB
278,BB
279,BA
280,BB
281,B
282,BB
283,B
284,BAYA
285,ABB
286,AAAB
287,ABB
288,ABB
289,ABB
290,ABAA
291,ABB
292,ABB
293,ABB
294,AB
295,ABB
296,ABB
297,ABB
298,ABB
299,ABB
300,A0BB
301,ABB
302,ABB
303,BAA
304,BA
305,BB
306,BB
307,B
308,BB
309,BB
310,BBBB
311,BABB
312,BB
313,BB
314,BAB
315,BB
316,BABB
317,BBBA
318,BABB
319,BB
320,BB
321,BABB
322,BYBB
323,BA
324,BABB
325,B0AA
326,B
327,BAYY
328,BAB
329,B
330,BY
331,ABY
332,ABB
333,AB
334,ABB
335,ABB
336,AB
337,ABB
338,ABB
339,ABB
340,BABB
341,BAB
342,BABB
343,BB
344,BB
345,BB
346,B
347,BABB
348,BAB
349,BAB
350,BB
351,BAB
352,BB
353,BB
354,BB
355,B
356,B
357,B
358,BAB
359,ABB
360,ABB
361,ABB
362,B
363,B
364,BA
365,BB
366,BB
367,BA
368,B
369,BB
370,B
371,B
372,B
373,B
374,BB
375,BB
376,BB
377,BAA
378,BAB
379,ABY
380,AB
381,AA
382,AYAB
383,A0BB
384,A0BB
385,BB
386,BAB
387,BA
388,BB
389,BB
390,ABB
391,B
392,ABB
393,ABB
394,AA
395,AA
396,A
397,AB
398,A0BB
399,B
400,B
401,BB
402,BYB
403,BBBA
404,B
405,B
406,BB
407,B
408,B
409,BABB
410,B
411,BABB
412,B
413,B
414,BA
415,BB
416,BA
417,BB
418,BB
419,BB
420,BB
421,BB
422,B
423,B
424,BB
425,BB
426,BB
427,BB
428,BB
429,BB
430,BB
431,BB
432,B
433,BB
434,BB
435,B
436,B
437,B
438,B
439,BB
440,BB
441,B
442,BAY
443,B
444,B
445,B
446,BYBY
447,B
448,B
449,BB
450,BB
451,BB
452,BYBB
453,B
454,B
455,B
456,BB
457,B
458,BA
459,B
460,BAB
461,BB
462,B
463,BB
464,BB
465,BB
466,BAB
467,BAY
468,BB
469,BB
470,B
471,BB
472,B
473,B
474,B
475,B
476,B
477,BB
478,B
479,B
480,B
481,B
482,BB
483,B
484,BB
485,BA
486,B
487,BAB
488,B
489,BB
490,B
491,B
492,BA
493,B
494,B
495,BAB
496,B
497,BB
498,B
499,B
500,BB
501,B
502,BB
503,BB
504,B
505,B
506,B
507,B
508,B
509,B
510,B
511,B
512,BB
513,B
514,B
515,BYB
516,B
517,B
518,B
519,B
520,B
521,AB
522,AB
523,AB
524,A
525,ABAA
526,A
527,A
528,ABB
529,A0BB
530,AB
531,A
532,ABAA
533,AAAY
534,AB
535,A
536,A
537,A
538,AB
539,ABB
540,AB
541,AA
542,AA
543,ABB
544,AYAB
545,AA
546,AA
547,AY
548,AA
549,AYAB
550,AYAY
551,ABB
552,A
553,AYAA
554,AB
555,A0B
556,AA
557,AB
558,ABB
559,A
560,A
561,AB
562,AA
563,A
564,AB
565,AB
566,AB
567,ABB
568,A
569,ABB
570,A
571,ABY
572,AB
573,AY
574,AB
575,ABB
576,ABY
577,AB
578,A
579,ABB
580,AB
581,ABB
582,AB
583,ABA
584,AB
585,AB
586,ABB
587,AB
588,ABB
589,ABB
590,AB
591,ABB
592,AB
593,A
594,BY
595,BB
596,BB
597,BB
598,BB
599,BAYA
600,BAA
601,B
602,BB
603,BB
604,BABB
605,BAA
606,BABB
607,B
608,BB
609,BAA
610,BB
611,BB
612,BABB
613,BB
614,B
615,BB
616,B
617,BAA
618,BB
619,BB
620,BAA
621,BB
622,BAB
623,BB
624,B0AY
625,B
626,B0AA
627,BBB
628,BAA
629,BB
630,BA
631,BB
632,BAA
633,BB
634,B
635,BAB
636,BABY
637,BABB
638,BAA
639,BABY
640,BA
641,BABB
642,BABB
643,BABB
644,BB
645,BB
646,BB
647,BB
648,BB
649,B0AA
650,BB
651,BB
652,BBBA
653,BABB
654,BAA
655,BB
656,BB
657,BABB
658,BB
659,BB
660,BB
661,B
662,B
663,BB
664,BB
665,BB
666,BB
667,BB
668,BAA
669,B
670,BAB
671,BAB
672,BAA
673,B
674,BB
675,B
676,B
677,BB
678,BB
679,BB
680,BB
681,BAYY
682,B
683,B
684,B
685,B
686,B
687,B
688,B
689,B
690,BB
691,B
692,BB
693,BB
694,B0AA
695,B
696,B
697,BB
698,BB
699,B
700,B
701,BB
702,BBBY
703,BYB
704,BY
705,B
706,BB
707,B
708,BABA
709,BY
710,B
711,B
712,B
713,B
714,B
715,BY
716,B
717,BYBA
718,B
719,BYB
720,A0Y
721,AYAA
722,A0BB
723,A
724,ABB
725,AY
726,AB
727,AA
728,AYA
729,AA
730,A
731,ABAA
732,AY
733,AYY
734,ABB
735,AYY
736,A
737,ABB
738,AA
739,ABB
740,AA
741,ABB
742,A
743,ABB
744,ABB
745,AB
746,A
747,AYY
748,AA
749,A0BB
750,AYY
751,ABB
752,AY
753,AYAA
754,AYY
755,ABB
756,AB
757,A
758,ABB
759,A
760,ABB
761,ABB
762,ABB
763,ABAA
764,AA
765,ABB
766,AA
767,ABB
768,ABY
769,AA
770,AA
771,AA
772,AA
773,AA
774,A
775,AA
776,AA
777,AA
778,AB
779,AB
780,ABB
781,ABBB
782,AA
783,ABB
784,AA
785,AA
786,ABB
787,ABB
788,ABB
789,ABB
790,A
791,AB
792,AA
793,AYAY
794,AB
795,ABB
796,AA
797,AB
798,AA
799,ABB
800,A0B
801,AA
802,ABY
803,AA
804,ABY
805,AA
806,AA
807,ABB
808,ABB
809,AAAB
810,A
811,ABB
812,AYY
813,AYAA
814,AA
815,ABAA
816,ABB
817,AA
818,AYY
819,AA
820,ABB
821,AB
822,ABB
823,ABB
824,A
825,AA
826,A
827,AY
828,AA
829,ABB
830,A
831,ABAY
832,AYAY
833,ABB
834,A
835,AY
836,A
837,AA
838,ABAA
839,AA
840,ABB
841,A
842,ABAA
843,AA
844,AA
845,AYAA
846,AB
847,AB
848,ABB
849,ABB
850,AA
851,AB
852,AY
853,ABAA
854,ABB
855,AA
856,ABB
857,ABB
858,AAAY
859,A
860,ABAA
861,AA
862,A
863,AB
864,A
865,ABB
866,A
867,AA
868,AA
869,AA
870,ABB
871,AA
872,AB
873,ABB
874,ABB
875,A
876,A
877,A
878,AB
879,AB
880,ABB
881,A
882,A
883,BB
884,BB
885,BB
886,A
887,BB
888,BAB
889,B
890,B
891,BY
892,B
893,BB
894,BB
895,BB
896,AA
897,B
