tag.ID,ch,stock,sex,stat.week,year
15,B,NA,M,31,2020
35,B,NA,M,31,2020
55,B,NA,M,31,2020
75,BW,Unalakleet,F,32,2020
95,BAB,NA,M,32,2020
110,BW,Unalakleet,M,32,2021
115,BA,NA,F,32,2020
130,BXB,NA,M,32,2021
135,B,NA,M,32,2020
150,BWBA,NA,M,32,2021
155,B,NA,F,32,2020
170,B,NA,F,33,2021
175,BA,NA,M,32,2020
190,B,NA,F,33,2021
195,BW,Unalakleet,M,32,2020
210,BW,Unalakleet,M,33,2021
215,BW,Unalakleet,M,32,2020
230,B,NA,F,33,2021
235,BA,NA,M,32,2020
250,B,NA,F,33,2021
255,BA,NA,F,32,2020
270,BABW,Unalakleet,M,33,2021
275,BW,Unalakleet,M,32,2020
290,B,NA,M,33,2021
295,B,NA,M,32,2020
310,BABW,Unalakleet,M,33,2021
315,B,NA,M,32,2020
330,B,NA,M,33,2021
335,B,NA,M,32,2020
350,B,NA,M,33,2021
355,B,NA,M,32,2020
370,BA,NA,M,33,2021
375,BW,Unalakleet,M,32,2020
390,BW,Unalakleet,F,33,2021
395,BW,Unalakleet,M,32,2020
410,BA,NA,F,33,2021
415,BW,Unalakleet,M,32,2020
430,BW,Unalakleet,F,33,2021
435,BAV,Shaktoolik,M,32,2020
450,BW,Unalakleet,F,33,2021
455,BAB,NA,F,32,2020
470,BW,Unalakleet,F,33,2021
475,BABW,Unalakleet,F,32,2020
490,BW,Unalakleet,M,33,2021
495,BAB,NA,M,32,2020
510,BW,Unalakleet,F,33,2021
515,BABW,Unalakleet,F,32,2020
530,B,NA,F,33,2021
535,BW,Unalakleet,M,32,2020
550,B,NA,M,33,2021
555,BW,Unalakleet,F,32,2020
570,BW,Unalakleet,M,33,2021
575,BW,Unalakleet,M,32,2020
590,BW,Unalakleet,M,33,2021
595,B,NA,M,32,2020
610,BW,Unalakleet,F,33,2021
615,BABW,Unalakleet,M,32,2020
630,BW,Unalakleet,M,33,2021
635,BAB,NA,M,32,2020
650,BW,Unalakleet,F,33,2021
655,BAB,NA,F,32,2020
670,BW,Unalakleet,F,33,2021
675,BW,Unalakleet,M,32,2020
690,BW,Unalakleet,M,33,2021
695,BAB,NA,F,32,2020
710,BW,Unalakleet,M,33,2021
715,BW,Unalakleet,M,32,2020
730,B,NA,F,33,2021
735,BW,Unalakleet,M,32,2020
750,BWB,NA,M,33,2021
770,BW,Unalakleet,M,33,2021
775,B,NA,M,32,2020
790,B,NA,M,33,2021
810,B,NA,F,34,2021
815,BW,Unalakleet,F,32,2020
830,B,NA,M,34,2021
835,BW,Unalakleet,M,32,2020
850,B,NA,M,34,2021
855,B,NA,F,32,2020
870,BW,Unalakleet,F,34,2021
875,BAB,NA,M,32,2020
890,BW,Unalakleet,M,34,2021
895,BAV,Shaktoolik,F,32,2020
910,B,NA,M,34,2021
915,BA,NA,F,32,2020
930,BAX,Transitory,M,34,2021
935,BW,Unalakleet,M,32,2020
950,B,NA,M,34,2021
955,BW,Unalakleet,F,32,2020
970,BW,Unalakleet,M,34,2021
975,B,NA,M,32,2020
990,B,NA,F,34,2021
995,BW,Unalakleet,M,32,2020
1010,BXBX,Transitory,M,34,2021
1015,BW,Unalakleet,M,32,2020
1030,BW,Unalakleet,M,34,2021
1035,BWBW,Unalakleet,M,32,2020
1050,B,NA,M,34,2021
1055,BABW,Unalakleet,F,32,2020
1070,BW,Unalakleet,M,34,2021
1075,BW,Unalakleet,F,32,2020
1090,BW,Unalakleet,F,35,2021
1095,BW,Unalakleet,M,32,2020
1110,BW,Unalakleet,F,35,2021
1115,BAB,NA,M,32,2020
1130,BXBW,Unalakleet,M,35,2021
1135,BW,Unalakleet,M,32,2020
1150,B,NA,M,35,2021
1155,BABW,Unalakleet,M,32,2020
1170,B,NA,M,35,2021
1175,BAV,Shaktoolik,M,32,2020
1190,B,NA,M,35,2021
1195,BABW,Unalakleet,M,32,2020
1210,BW,Unalakleet,F,35,2021
1215,BW,Unalakleet,F,32,2020
1230,B,NA,M,35,2021
1235,BW,Unalakleet,M,32,2020
1250,BA,NA,F,35,2021
1255,BABW,Unalakleet,F,32,2020
1270,B,NA,M,35,2021
1275,BXBW,Unalakleet,M,32,2020
1290,BAB,NA,M,35,2021
1295,BA,NA,M,32,2020
1310,BW,Unalakleet,M,35,2021
1315,BABW,Unalakleet,M,32,2020
1330,B,NA,M,35,2021
1335,BAV,Shaktoolik,M,32,2020
1350,BW,Unalakleet,M,35,2021
1355,BA,NA,F,32,2020
1370,BW,Unalakleet,M,35,2021
1375,BAX,Transitory,M,32,2020
1390,BW,Unalakleet,F,35,2021
1395,BAB,NA,M,32,2020
1410,BAB,NA,F,35,2021
1415,BA,NA,M,32,2020
1430,BAX,Transitory,M,35,2021
1435,BX,Transitory,M,32,2020
1450,BW,Unalakleet,F,35,2021
1455,BW,Unalakleet,F,33,2020
1470,BW,Unalakleet,F,35,2021
1475,B,NA,M,33,2020
1490,B,NA,F,35,2021
1495,BW,Unalakleet,F,33,2020
1510,BW,Unalakleet,F,35,2021
1515,BW,Unalakleet,F,33,2020
1530,B,NA,F,35,2021
1535,BW,Unalakleet,F,33,2020
1550,B,NA,M,35,2021
1555,BA,NA,M,33,2020
1570,B,NA,F,35,2021
1575,BW,Unalakleet,M,33,2020
1590,B,NA,F,35,2021
1595,B,NA,M,33,2020
1610,B,NA,F,35,2021
1615,BW,Unalakleet,M,33,2020
1630,BW,Unalakleet,M,35,2021
1650,BW,Unalakleet,F,35,2021
1655,BAX,Transitory,M,33,2020
1670,B,NA,F,35,2021
1675,BAV,Shaktoolik,M,33,2020
1690,B,NA,M,35,2021
1695,BABW,Unalakleet,M,33,2020
1710,B,NA,F,35,2021
1715,B,NA,F,33,2020
1730,BW,Unalakleet,M,35,2021
1735,BW,Unalakleet,F,33,2020
1750,B,NA,F,35,2021
1755,BW,Unalakleet,F,33,2020
1770,BW,Unalakleet,M,35,2021
1775,BW,Unalakleet,M,33,2020
1790,BA,NA,F,35,2021
1795,BW,Unalakleet,M,33,2020
1810,B,NA,F,35,2021
1815,BW,Unalakleet,F,33,2020
1830,BAB,NA,F,35,2021
1835,BX,Transitory,M,33,2020
1850,B,NA,M,35,2021
1855,BW,Unalakleet,M,33,2020
1870,BW,Unalakleet,M,35,2021
1875,BW,Unalakleet,M,33,2020
1890,B,NA,F,35,2021
1895,B,NA,F,33,2020
1910,B,NA,M,35,2021
1915,BW,Unalakleet,M,33,2020
1930,BA,NA,M,35,2021
1935,B,NA,M,33,2020
1950,B,NA,F,35,2021
1955,BW,Unalakleet,F,33,2020
1970,BW,Unalakleet,F,35,2021
1975,BW,Unalakleet,M,33,2020
1990,BAB,NA,F,35,2021
1995,BW,Unalakleet,M,33,2020
2010,BW,Unalakleet,M,35,2021
2015,BW,Unalakleet,M,33,2020
2030,BW,Unalakleet,F,35,2021
2050,B,NA,M,35,2021
2055,BX,Transitory,M,33,2020
2070,B,NA,F,35,2021
2075,B,NA,F,33,2020
2090,BW,Unalakleet,F,35,2021
2095,B,NA,M,33,2020
2110,B,NA,F,35,2021
2115,BW,Unalakleet,M,33,2020
2130,BW,Unalakleet,M,35,2021
2135,BW,Unalakleet,F,33,2020
2150,BW,Unalakleet,M,35,2021
2155,BW,Unalakleet,M,33,2020
2170,BW,Unalakleet,M,35,2021
2175,BXBW,Unalakleet,M,33,2020
2190,B,NA,F,35,2021
2195,BAX,Transitory,F,33,2020
2210,B,NA,F,35,2021
2215,BW,Unalakleet,M,33,2020
2230,B,NA,F,35,2021
2235,BW,Unalakleet,F,33,2020
2250,B,NA,M,35,2021
2270,B,NA,F,35,2021
2275,B,NA,F,33,2020
2290,BW,Unalakleet,M,35,2021
2295,BAWA,NA,M,33,2020
2310,B,NA,F,35,2021
2315,BW,Unalakleet,F,33,2020
2330,BW,Unalakleet,M,35,2021
2335,BW,Unalakleet,F,33,2020
2350,BW,Unalakleet,M,35,2021
2355,BABW,Unalakleet,F,33,2020
2370,B,NA,M,35,2021
2375,BW,Unalakleet,F,33,2020
2390,BXB,NA,M,35,2021
2395,BW,Unalakleet,M,33,2020
2410,B,NA,F,35,2021
2415,BAV,Shaktoolik,M,34,2020
2430,B,NA,M,35,2021
2435,B,NA,M,34,2020
2450,B,NA,F,35,2021
2455,BX,Transitory,M,34,2020
2470,B,NA,F,35,2021
2475,BW,Unalakleet,M,34,2020
2490,B,NA,M,35,2021
2495,BW,Unalakleet,F,34,2020
2515,BW,Unalakleet,F,34,2020
2535,BX,Transitory,M,34,2020
2555,BW,Unalakleet,F,34,2020
2575,BW,Unalakleet,F,34,2020
2595,B,NA,M,34,2020
2615,BW,Unalakleet,F,34,2020
2635,B,NA,F,34,2020
2655,B,NA,F,34,2020
2675,BA,NA,F,34,2020
2695,BWBA,NA,M,34,2020
2715,BW,Unalakleet,M,34,2020
2735,BW,Unalakleet,M,34,2020
2755,B,NA,F,34,2020
2775,BW,Unalakleet,M,34,2020
2795,BW,Unalakleet,F,34,2020
2815,BW,Unalakleet,F,34,2020
2835,BX,Transitory,M,34,2020
2855,BW,Unalakleet,F,34,2020
2875,B,NA,F,34,2020
2895,BX,Transitory,M,34,2020
2915,BABW,Unalakleet,M,34,2020
2935,BW,Unalakleet,M,34,2020
2955,BW,Unalakleet,F,34,2020
2975,BW,Unalakleet,M,34,2020
2995,BW,Unalakleet,F,34,2020
3015,B,NA,F,34,2020
3035,B,NA,F,34,2020
3055,B,NA,M,34,2020
3075,BW,Unalakleet,F,34,2020
3095,B,NA,M,34,2020
3115,BW,Unalakleet,M,34,2020
3135,B,NA,M,34,2020
