 


Sub-Daily Data Between Two Dates
SHAKTOOLIK AIRPORT (AK)
111
Lat/Lon/Elev: 64.3700/-161.2240/23 ft

Date,Time,Wind Spd (mph),Wind Direction (deg),Sea Lev Press (hPa),Precip (in),
2020-07-15,00:56,8,220,1013.20,0.00,
2020-07-15,01:56,9,220,1013.10,0.00,
2020-07-15,02:56,9,240,1013.20,0.00,
2020-07-15,03:56,9,230,1013.30,0.00,
2020-07-15,04:56,14,230,1013.30,0.00,
2020-07-15,05:56,13,220,1013.20,0.00,
2020-07-15,06:56,10,220,1013.30,0.00,
2020-07-15,07:56,9,220,1013.10,0.00,
2020-07-15,08:56,13,240,1013.10,0.00,
2020-07-15,09:54,9,260,M,0.00,
2020-07-15,10:56,9,250,1013.30,0.00,
2020-07-15,11:56,10,250,1013.40,0.00,
2020-07-15,12:56,10,240,1013.50,0.00,
2020-07-15,13:56,9,240,1013.50,0.00,
2020-07-15,14:56,13,260,1013.40,0.00,
2020-07-15,15:56,11,250,1013.20,0.00,
2020-07-15,16:56,9,230,1012.80,0.00,
2020-07-15,17:56,10,240,1012.40,0.00,
2020-07-15,18:56,7,230,1012.10,0.00,
2020-07-15,19:56,9,220,1011.80,0.00,
2020-07-15,20:56,7,220,1011.50,0.00,
2020-07-15,21:56,6,240,1011.40,0.00,
2020-07-15,22:56,5,240,1011.10,0.00,
2020-07-15,23:56,6,250,1011.00,0.00,
2020-07-16,00:56,7,250,1010.70,0.00,
2020-07-16,01:52,7,220,M,0.00,
2020-07-16,02:56,6,240,1010.30,0.00,
2020-07-16,03:56,6,230,1010.20,0.00,
2020-07-16,04:56,3,250,1010.10,0.00,
2020-07-16,05:56,0,0,1009.80,0.00,
2020-07-16,06:56,5,90,1009.70,0.00,
2020-07-16,07:52,3,110,M,0.00,
2020-07-16,08:52,0,0,M,0.00,
2020-07-16,09:56,0,0,1009.00,0.00,
2020-07-16,10:56,3,250,1009.00,0.00,
2020-07-16,11:56,5,240,1009.00,0.00,
2020-07-16,12:56,7,230,1008.80,0.00,
2020-07-16,13:52,6,250,M,0.00,
2020-07-16,15:20,8,250,M,0.00,
2020-07-16,15:56,8,250,1008.30,0.00,
2020-07-16,16:56,9,260,1007.90,0.00,
2020-07-16,17:56,9,250,1007.60,0.00,
2020-07-16,18:56,10,260,1007.40,0.00,
2020-07-16,19:56,9,280,1007.10,0.00,
2020-07-16,20:56,8,310,1006.80,0.00,
2020-07-16,21:56,5,310,1006.70,0.00,
2020-07-16,22:56,5,330,1006.80,0.00,
2020-07-16,23:56,3,330,1007.00,0.00,
2020-07-17,00:56,0,0,1007.20,0.00,
2020-07-17,01:56,0,0,1007.10,0.00,
2020-07-17,02:56,0,0,1007.10,0.00,
2020-07-17,03:56,3,100,1007.00,0.00,
2020-07-17,04:56,5,110,1006.90,0.00,
2020-07-17,05:56,5,110,1006.90,0.00,
2020-07-17,06:56,5,110,1006.70,0.00,
2020-07-17,07:56,0,0,1006.70,0.00,
2020-07-17,08:56,0,0,1006.80,0.00,
2020-07-17,09:56,11,360,1006.80,0.00,
2020-07-17,10:56,8,30,1007.00,0.00,
2020-07-17,11:56,7,10,1007.10,0.00,
2020-07-17,12:56,7,350,1007.10,0.00,
2020-07-17,13:56,9,270,1007.10,0.00,
2020-07-17,14:56,8,260,1007.00,0.00,
2020-07-17,15:56,11,270,1007.00,0.00,
2020-07-17,16:56,11,260,1006.80,0.00,
2020-07-17,17:56,16,280,1006.80,0.00,
2020-07-17,18:56,16,270,1006.70,0.00,
2020-07-17,19:56,10,270,1006.80,0.00,
2020-07-17,20:56,8,280,1007.00,0.00,
2020-07-17,21:56,7,280,1007.20,0.00,
2020-07-17,22:56,5,340,1007.40,0.00,
2020-07-17,23:56,0,0,1007.70,0.00,
2020-07-18,00:56,6,340,1008.10,0.00,
2020-07-18,01:56,5,70,1008.20,0.00,
2020-07-18,02:50,0,0,M,0.00,
2020-07-18,03:51,5,80,M,0.00,
2020-07-18,04:56,7,100,1008.70,0.00,
2020-07-18,05:56,5,90,1008.80,0.00,
2020-07-18,06:56,5,100,1008.80,0.00,
