 


Sub-Daily Data Between Two Dates
SHAKTOOLIK AIRPORT (AK)
111
Lat/Lon/Elev: 64.3700/-161.2240/23 ft

Date,Time,Wind Spd (mph),Wind Direction (deg),Sea Lev Press (hPa),Precip (in),
2021-06-27,00:56,13,150,1015.40,0.00,
2021-06-27,01:56,9,130,1015.70,0.00,
2021-06-27,02:56,8,130,1015.90,0.00,
2021-06-27,03:56,18,180,1016.30,0.00,
2021-06-27,04:56,18,190,1016.90,0.00,
2021-06-27,05:56,22,180,1017.30,0.00,
2021-06-27,06:56,17,170,1017.70,0.00,
2021-06-27,07:56,18,170,1018.10,0.00,
2021-06-27,08:56,22,180,1018.60,0.00,
2021-06-27,09:56,20,180,1018.80,0.00,
2021-06-27,10:56,18,180,1019.20,0.00,
2021-06-27,11:56,17,180,1019.20,0.00,
2021-06-27,12:56,13,190,1019.20,0.00,
2021-06-27,13:56,16,190,1019.10,0.00,
2021-06-27,14:56,14,190,1019.40,0.00,
2021-06-27,15:56,13,190,1019.30,0.00,
2021-06-27,16:56,11,190,1019.00,0.00,
2021-06-27,17:56,11,200,1018.80,0.00,
2021-06-27,18:56,14,190,1018.80,0.00,
2021-06-27,19:56,13,200,1018.60,0.00,
2021-06-27,20:56,11,200,1018.70,0.00,
2021-06-27,21:56,13,190,1018.60,0.00,
2021-06-27,22:56,14,210,1018.80,0.00,
2021-06-27,23:56,15,200,1018.90,0.00,
2021-06-28,00:56,16,200,1019.00,0.00,
2021-06-28,01:56,13,190,1019.00,0.00,
2021-06-28,02:56,13,220,1019.00,0.00,
2021-06-28,03:56,10,230,1019.10,0.00,
2021-06-28,04:56,13,230,1019.00,0.00,
2021-06-28,05:56,10,230,1018.70,0.00,
2021-06-28,06:56,11,240,1018.90,0.00,
2021-06-28,07:56,9,220,1019.00,0.00,
2021-06-28,08:56,13,230,1019.10,0.00,
2021-06-28,09:56,17,220,1018.90,0.00,
2021-06-28,10:56,18,230,1018.90,0.00,
2021-06-28,11:56,13,220,1019.00,0.00,
2021-06-28,12:56,16,220,1019.00,0.00,
2021-06-28,13:56,14,230,1018.90,0.00,
2021-06-28,14:56,13,230,1018.90,0.00,
2021-06-28,15:56,13,240,1018.50,0.00,
2021-06-28,16:56,14,250,1018.10,0.00,
2021-06-28,17:56,9,240,1017.70,0.00,
2021-06-28,18:56,9,220,1017.60,0.00,
2021-06-28,19:56,8,210,1017.20,0.00,
2021-06-28,20:56,9,240,1017.10,0.00,
2021-06-28,21:56,8,220,1017.10,0.00,
2021-06-28,22:56,11,210,1017.10,0.00,
2021-06-28,23:56,11,210,1017.10,0.00,
2021-06-29,00:56,13,220,1017.10,0.00,
2021-06-29,01:56,17,220,1017.00,0.00,
2021-06-29,02:56,15,210,1017.00,0.00,
2021-06-29,03:56,11,220,1016.60,0.00,
2021-06-29,04:56,6,200,1016.40,0.00,
2021-06-29,05:56,8,270,1016.20,0.00,
2021-06-29,06:56,8,260,1016.30,0.00,
2021-06-29,07:56,28,210,1016.40,0.00,
2021-06-29,08:56,25,210,1016.80,0.00,
2021-06-29,09:56,24,210,1017.20,0.00,
2021-06-29,10:56,22,210,1017.40,0.00,
2021-06-29,11:52,24,250,M,0.00,
2021-06-29,12:56,21,250,1018.40,0.00,
2021-06-29,13:56,20,230,1018.50,0.00,
2021-06-29,14:56,18,260,1018.60,m,
2021-06-29,15:54,17,250,M,0.00,
2021-06-29,16:56,11,220,1018.60,0.00,
2021-06-29,17:56,8,200,1018.30,0.00,
2021-06-29,18:56,8,210,1018.00,0.00,
2021-06-29,19:56,9,200,1018.00,0.00,
2021-06-29,20:56,10,180,1018.00,0.00,
