 


Sub-Daily Data Between Two Dates
UNALAKLEET FLD (AK)
26627
Lat/Lon/Elev: 63.8833/-160.8000/18 ft

Date,Time,Wind Spd (mph),Wind Direction (deg),Sea Lev Press (hPa),Precip (in),
2021-06-27,00:56,9,120,1015.80,M,
2021-06-27,01:56,7,120,1016.20,M,
2021-06-27,02:56,5,120,1016.70,M,
2021-06-27,03:56,9,140,1017.40,m,
2021-06-27,04:56,8,130,1017.90,m,
2021-06-27,05:56,7,120,1018.20,m,
2021-06-27,06:56,10,140,1018.50,M,
2021-06-27,07:56,8,110,1019.10,m,
2021-06-27,08:56,10,150,1019.30,m,
2021-06-27,09:56,10,160,1019.50,m,
2021-06-27,10:56,10,180,1019.70,m,
2021-06-27,11:56,11,180,1019.80,m,
2021-06-27,12:56,7,210,1019.90,M,
2021-06-27,13:56,6,210,1019.80,M,
2021-06-27,14:56,5,220,1019.90,m,
2021-06-27,15:56,3,220,1019.90,m,
2021-06-27,16:56,5,220,1019.70,M,
2021-06-27,17:56,5,190,1019.20,M,
2021-06-27,18:56,9,290,1019.30,m,
2021-06-27,19:56,6,290,1019.50,m,
2021-06-27,20:56,5,140,1019.50,m,
2021-06-27,21:56,3,M,1019.70,m,
2021-06-27,22:56,5,210,1019.70,m,
2021-06-27,23:56,5,100,1019.90,m,
2021-06-28,00:56,5,100,1019.90,m,
2021-06-28,01:56,9,180,1019.80,m,
2021-06-28,02:56,6,90,1020.00,m,
2021-06-28,03:56,0,0,1020.00,m,
2021-06-28,04:56,9,230,1020.00,m,
2021-06-28,05:56,10,200,1019.70,m,
2021-06-28,06:56,9,210,1019.80,m,
2021-06-28,07:56,11,210,1020.00,m,
2021-06-28,08:56,13,220,1020.00,m,
2021-06-28,09:56,10,230,1020.20,m,
2021-06-28,10:56,9,220,1019.90,m,
2021-06-28,11:56,7,230,1020.00,m,
2021-06-28,12:56,8,270,1019.80,m,
2021-06-28,13:56,9,280,1019.40,m,
2021-06-28,14:56,8,290,1019.30,m,
2021-06-28,15:56,8,300,1019.00,m,
2021-06-28,16:56,7,300,1018.40,m,
2021-06-28,17:56,10,320,1018.10,m,
2021-06-28,18:56,8,320,1017.90,m,
2021-06-28,19:56,8,310,1017.60,m,
2021-06-28,20:56,7,290,1017.80,m,
2021-06-28,21:56,0,0,1017.80,m,
2021-06-28,22:56,3,220,1017.90,m,
2021-06-28,23:56,0,0,1017.90,m,
2021-06-29,00:56,5,110,1017.90,m,
2021-06-29,01:56,6,90,1017.70,m,
2021-06-29,02:56,5,70,1017.80,m,
2021-06-29,03:56,17,200,1017.50,m,
2021-06-29,04:56,15,210,1017.50,m,
2021-06-29,05:56,18,210,1017.60,m,
2021-06-29,06:56,18,200,1017.70,M,
2021-06-29,07:56,17,200,1017.80,m,
2021-06-29,08:56,24,210,1017.80,m,
2021-06-29,09:56,18,210,1018.40,m,
2021-06-29,10:56,18,210,1018.90,M,
2021-06-29,11:56,23,220,1019.10,m,
2021-06-29,12:56,14,250,1019.50,m,
2021-06-29,13:56,11,270,1019.70,m,
2021-06-29,14:56,10,250,1019.50,m,
2021-06-29,15:56,8,260,1019.30,m,
2021-06-29,16:56,5,300,1019.30,m,
2021-06-29,17:56,0,0,1019.00,m,
2021-06-29,18:56,0,0,1018.60,m,
2021-06-29,19:56,0,0,1018.60,m,
2021-06-29,20:56,0,0,1018.60,m,
2021-06-29,21:56,0,0,1018.70,m,
2021-06-29,22:56,5,70,1018.60,m,
2021-06-29,23:56,6,60,1018.20,m,
2021-06-30,00:56,7,70,1018.20,m,
2021-06-30,01:56,5,90,1018.20,m,
2021-06-30,02:56,7,80,1017.80,m,
2021-06-30,03:56,9,60,1017.40,M,
2021-06-30,04:56,7,90,1017.00,M,
2021-06-30,05:56,10,90,1016.80,M,
2021-06-30,06:56,13,80,1016.50,M,
