tag.ID,ch,stock,sex
15,B000,NA,M
35,B000,NA,M
55,B000,NA,M
75,BW00,Unalakleet,F
95,BAB0,NA,M
110,BW00,Unalakleet,M
115,BA00,NA,F
130,BXB0,NA,M
135,B000,NA,M
150,BWBA,NA,M
155,B000,NA,F
170,B000,NA,F
175,BA00,NA,M
190,B000,NA,F
195,BW00,Unalakleet,M
210,BW00,Unalakleet,M
215,BW00,Unalakleet,M
230,B000,NA,F
235,BA00,NA,M
250,B000,NA,F
255,BA00,NA,F
270,BABW,Unalakleet,M
275,BW00,Unalakleet,M
290,B000,NA,M
295,B000,NA,M
310,BABW,Unalakleet,M
315,B000,NA,M
330,B000,NA,M
335,B000,NA,M
350,B000,NA,M
355,B000,NA,M
370,BA00,NA,M
375,BW00,Unalakleet,M
390,BW00,Unalakleet,F
395,BW00,Unalakleet,M
410,BA00,NA,F
415,BW00,Unalakleet,M
430,BW00,Unalakleet,F
435,BAV0,Shaktoolik,M
450,BW00,Unalakleet,F
455,BAB0,NA,F
470,BW00,Unalakleet,F
475,BABW,Unalakleet,F
490,BW00,Unalakleet,M
495,BAB0,NA,M
510,BW00,Unalakleet,F
515,BABW,Unalakleet,F
530,B000,NA,F
535,BW00,Unalakleet,M
550,B000,NA,M
555,BW00,Unalakleet,F
570,BW00,Unalakleet,M
575,BW00,Unalakleet,M
590,BW00,Unalakleet,M
595,B000,NA,M
610,BW00,Unalakleet,F
615,BABW,Unalakleet,M
630,BW00,Unalakleet,M
635,BAB0,NA,M
650,BW00,Unalakleet,F
655,BAB0,NA,F
670,BW00,Unalakleet,F
675,BW00,Unalakleet,M
690,BW00,Unalakleet,M
695,BAB0,NA,F
710,BW00,Unalakleet,M
715,BW00,Unalakleet,M
730,B000,NA,F
735,BW00,Unalakleet,M
750,BWB0,NA,M
770,BW00,Unalakleet,M
775,B000,NA,M
790,B000,NA,M
810,B000,NA,F
815,BW00,Unalakleet,F
830,B000,NA,M
835,BW00,Unalakleet,M
850,B000,NA,M
855,B000,NA,F
870,BW00,Unalakleet,F
875,BAB0,NA,M
890,BW00,Unalakleet,M
895,BAV0,Shaktoolik,F
910,B000,NA,M
915,BA00,NA,F
930,BAX0,Transitory,M
935,BW00,Unalakleet,M
950,B000,NA,M
955,BW00,Unalakleet,F
