"","tag.ID","ch","stat.week","year","species","stock","sex"
"1",75,"BB0",32,2020,"coho","Unalakleet","F"
"2",110,"BB0",32,2021,"coho","Unalakleet","M"
"3",195,"BB0",32,2020,"coho","Unalakleet","M"
"4",210,"BB0",33,2021,"coho","Unalakleet","M"
"5",215,"BB0",32,2020,"coho","Unalakleet","M"
"6",270,"BAB",33,2021,"coho","Unalakleet","M"
"7",275,"BB0",32,2020,"coho","Unalakleet","M"
"8",310,"BAB",33,2021,"coho","Unalakleet","M"
"9",375,"BB0",32,2020,"coho","Unalakleet","M"
"10",390,"BB0",33,2021,"coho","Unalakleet","F"
"11",395,"BB0",32,2020,"coho","Unalakleet","M"
"12",415,"BB0",32,2020,"coho","Unalakleet","M"
"13",430,"BB0",33,2021,"coho","Unalakleet","F"
"14",450,"BB0",33,2021,"coho","Unalakleet","F"
"15",470,"BB0",33,2021,"coho","Unalakleet","F"
"16",475,"BAB",32,2020,"coho","Unalakleet","F"
"17",490,"BB0",33,2021,"coho","Unalakleet","M"
"18",510,"BB0",33,2021,"coho","Unalakleet","F"
"19",515,"BAB",32,2020,"coho","Unalakleet","F"
"20",535,"BB0",32,2020,"coho","Unalakleet","M"
"21",555,"BB0",32,2020,"coho","Unalakleet","F"
"22",570,"BB0",33,2021,"coho","Unalakleet","M"
"23",575,"BB0",32,2020,"coho","Unalakleet","M"
"24",590,"BB0",33,2021,"coho","Unalakleet","M"
"25",610,"BB0",33,2021,"coho","Unalakleet","F"
"26",615,"BAB",32,2020,"coho","Unalakleet","M"
"27",630,"BB0",33,2021,"coho","Unalakleet","M"
"28",650,"BB0",33,2021,"coho","Unalakleet","F"
"29",670,"BB0",33,2021,"coho","Unalakleet","F"
"30",675,"BB0",32,2020,"coho","Unalakleet","M"
"31",690,"BB0",33,2021,"coho","Unalakleet","M"
"32",710,"BB0",33,2021,"coho","Unalakleet","M"
"33",715,"BB0",32,2020,"coho","Unalakleet","M"
"34",735,"BB0",32,2020,"coho","Unalakleet","M"
"35",770,"BB0",33,2021,"coho","Unalakleet","M"
"36",815,"BB0",32,2020,"coho","Unalakleet","F"
"37",835,"BB0",32,2020,"coho","Unalakleet","M"
"38",870,"BB0",34,2021,"coho","Unalakleet","F"
"39",890,"BB0",34,2021,"coho","Unalakleet","M"
"40",935,"BB0",32,2020,"coho","Unalakleet","M"
"41",955,"BB0",32,2020,"coho","Unalakleet","F"
"42",970,"BB0",34,2021,"coho","Unalakleet","M"
"43",995,"BB0",32,2020,"coho","Unalakleet","M"
"44",1015,"BB0",32,2020,"coho","Unalakleet","M"
"45",1030,"BB0",34,2021,"coho","Unalakleet","M"
"46",1035,"BB0",32,2020,"coho","Unalakleet","M"
"47",1055,"BAB",32,2020,"coho","Unalakleet","F"
"48",1070,"BB0",34,2021,"coho","Unalakleet","M"
"49",1075,"BB0",32,2020,"coho","Unalakleet","F"
"50",1090,"BB0",35,2021,"coho","Unalakleet","F"
"51",1095,"BB0",32,2020,"coho","Unalakleet","M"
"52",1110,"BB0",35,2021,"coho","Unalakleet","F"
"53",1130,"BXB",35,2021,"coho","Unalakleet","M"
"54",1135,"BB0",32,2020,"coho","Unalakleet","M"
"55",1155,"BAB",32,2020,"coho","Unalakleet","M"
"56",1195,"BAB",32,2020,"coho","Unalakleet","M"
"57",1210,"BB0",35,2021,"coho","Unalakleet","F"
"58",1215,"BB0",32,2020,"coho","Unalakleet","F"
"59",1235,"BB0",32,2020,"coho","Unalakleet","M"
"60",1255,"BAB",32,2020,"coho","Unalakleet","F"
"61",1275,"BXB",32,2020,"coho","Unalakleet","M"
"62",1310,"BB0",35,2021,"coho","Unalakleet","M"
"63",1315,"BAB",32,2020,"coho","Unalakleet","M"
"64",1350,"BB0",35,2021,"coho","Unalakleet","M"
"65",1370,"BB0",35,2021,"coho","Unalakleet","M"
"66",1390,"BB0",35,2021,"coho","Unalakleet","F"
"67",1450,"BB0",35,2021,"coho","Unalakleet","F"
"68",1455,"BB0",33,2020,"coho","Unalakleet","F"
"69",1470,"BB0",35,2021,"coho","Unalakleet","F"
"70",1495,"BB0",33,2020,"coho","Unalakleet","F"
"71",1510,"BB0",35,2021,"coho","Unalakleet","F"
"72",1515,"BB0",33,2020,"coho","Unalakleet","F"
"73",1535,"BB0",33,2020,"coho","Unalakleet","F"
"74",1575,"BB0",33,2020,"coho","Unalakleet","M"
"75",1615,"BB0",33,2020,"coho","Unalakleet","M"
"76",1630,"BB0",35,2021,"coho","Unalakleet","M"
"77",1650,"BB0",35,2021,"coho","Unalakleet","F"
"78",1695,"BAB",33,2020,"coho","Unalakleet","M"
"79",1730,"BB0",35,2021,"coho","Unalakleet","M"
"80",1735,"BB0",33,2020,"coho","Unalakleet","F"
"81",1755,"BB0",33,2020,"coho","Unalakleet","F"
"82",1770,"BB0",35,2021,"coho","Unalakleet","M"
"83",1775,"BB0",33,2020,"coho","Unalakleet","M"
"84",1795,"BB0",33,2020,"coho","Unalakleet","M"
"85",1815,"BB0",33,2020,"coho","Unalakleet","F"
"86",1855,"BB0",33,2020,"coho","Unalakleet","M"
"87",1870,"BB0",35,2021,"coho","Unalakleet","M"
"88",1875,"BB0",33,2020,"coho","Unalakleet","M"
"89",1915,"BB0",33,2020,"coho","Unalakleet","M"
"90",1955,"BB0",33,2020,"coho","Unalakleet","F"
"91",1970,"BB0",35,2021,"coho","Unalakleet","F"
"92",1975,"BB0",33,2020,"coho","Unalakleet","M"
"93",1995,"BB0",33,2020,"coho","Unalakleet","M"
"94",2010,"BB0",35,2021,"coho","Unalakleet","M"
"95",2015,"BB0",33,2020,"coho","Unalakleet","M"
"96",2030,"BB0",35,2021,"coho","Unalakleet","F"
"97",2090,"BB0",35,2021,"coho","Unalakleet","F"
"98",2115,"BB0",33,2020,"coho","Unalakleet","M"
"99",2130,"BB0",35,2021,"coho","Unalakleet","M"
"100",2135,"BB0",33,2020,"coho","Unalakleet","F"
"101",2150,"BB0",35,2021,"coho","Unalakleet","M"
"102",2155,"BB0",33,2020,"coho","Unalakleet","M"
"103",2170,"BB0",35,2021,"coho","Unalakleet","M"
"104",2175,"BXB",33,2020,"coho","Unalakleet","M"
"105",2215,"BB0",33,2020,"coho","Unalakleet","M"
"106",2235,"BB0",33,2020,"coho","Unalakleet","F"
"107",2290,"BB0",35,2021,"coho","Unalakleet","M"
"108",2315,"BB0",33,2020,"coho","Unalakleet","F"
"109",2330,"BB0",35,2021,"coho","Unalakleet","M"
"110",2335,"BB0",33,2020,"coho","Unalakleet","F"
"111",2350,"BB0",35,2021,"coho","Unalakleet","M"
"112",2355,"BAB",33,2020,"coho","Unalakleet","F"
"113",2375,"BB0",33,2020,"coho","Unalakleet","F"
"114",2395,"BB0",33,2020,"coho","Unalakleet","M"
"115",2475,"BB0",34,2020,"coho","Unalakleet","M"
"116",2495,"BB0",34,2020,"coho","Unalakleet","F"
"117",2515,"BB0",34,2020,"coho","Unalakleet","F"
"118",2555,"BB0",34,2020,"coho","Unalakleet","F"
"119",2575,"BB0",34,2020,"coho","Unalakleet","F"
"120",2615,"BB0",34,2020,"coho","Unalakleet","F"
"121",2715,"BB0",34,2020,"coho","Unalakleet","M"
"122",2735,"BB0",34,2020,"coho","Unalakleet","M"
"123",2775,"BB0",34,2020,"coho","Unalakleet","M"
"124",2795,"BB0",34,2020,"coho","Unalakleet","F"
"125",2815,"BB0",34,2020,"coho","Unalakleet","F"
"126",2855,"BB0",34,2020,"coho","Unalakleet","F"
"127",2915,"BAB",34,2020,"coho","Unalakleet","M"
"128",2935,"BB0",34,2020,"coho","Unalakleet","M"
"129",2955,"BB0",34,2020,"coho","Unalakleet","F"
"130",2975,"BB0",34,2020,"coho","Unalakleet","M"
"131",2995,"BB0",34,2020,"coho","Unalakleet","F"
"132",3075,"BB0",34,2020,"coho","Unalakleet","F"
"133",3115,"BB0",34,2020,"coho","Unalakleet","M"
"134",3175,"BB0",34,2020,"coho","Unalakleet","M"
"135",3215,"BB0",35,2020,"coho","Unalakleet","M"
"136",3335,"BB0",35,2020,"coho","Unalakleet","M"
"137",3395,"BB0",35,2020,"coho","Unalakleet","F"
"138",3475,"BB0",35,2020,"coho","Unalakleet","M"
"139",3495,"BB0",35,2020,"coho","Unalakleet","M"
"140",3515,"BB0",35,2020,"coho","Unalakleet","M"
"141",3535,"BB0",35,2020,"coho","Unalakleet","F"
"142",3595,"BB0",35,2020,"coho","Unalakleet","M"
"143",3615,"BB0",35,2020,"coho","Unalakleet","M"
"144",3655,"BB0",35,2020,"coho","Unalakleet","M"
"145",3695,"BB0",35,2020,"coho","Unalakleet","F"
"146",3715,"BB0",35,2020,"coho","Unalakleet","M"
"147",3735,"BB0",35,2020,"coho","Unalakleet","F"
"148",3795,"BB0",35,2020,"coho","Unalakleet","F"
"149",3855,"BB0",35,2020,"coho","Unalakleet","M"
"150",3895,"BB0",35,2020,"coho","Unalakleet","M"
"151",3915,"BB0",35,2020,"coho","Unalakleet","F"
"152",3935,"BB0",35,2020,"coho","Unalakleet","M"
"153",3975,"BB0",35,2020,"coho","Unalakleet","M"
"154",4015,"ABB",31,2020,"coho","Unalakleet","M"
"155",4035,"ABB",31,2020,"coho","Unalakleet","M"
"156",4135,"ABB",31,2020,"coho","Unalakleet","F"
"157",4155,"ABB",32,2020,"coho","Unalakleet","F"
"158",4250,"ABB",32,2021,"coho","Unalakleet","F"
"159",4255,"ABB",32,2020,"coho","Unalakleet","M"
"160",4270,"ABB",32,2021,"coho","Unalakleet","F"
