"","tag.ID","ch","stock","sex","stat.week","year"
"1",15,"000B",NA,"M",31,2020
"2",35,"000B",NA,"M",31,2020
"3",55,"000B",NA,"M",31,2020
"4",75,"00BW","Unalakleet","F",32,2020
"5",95,"0BAB",NA,"M",32,2020
"6",110,"00BW","Unalakleet","M",32,2021
"7",115,"00BA",NA,"F",32,2020
"8",130,"0BXB",NA,"M",32,2021
"9",135,"000B",NA,"M",32,2020
"10",150,"BWBA",NA,"M",32,2021
"11",155,"000B",NA,"F",32,2020
"12",170,"000B",NA,"F",33,2021
"13",175,"00BA",NA,"M",32,2020
"14",190,"000B",NA,"F",33,2021
"15",195,"00BW","Unalakleet","M",32,2020
"16",210,"00BW","Unalakleet","M",33,2021
"17",215,"00BW","Unalakleet","M",32,2020
"18",230,"000B",NA,"F",33,2021
"19",235,"00BA",NA,"M",32,2020
"20",250,"000B",NA,"F",33,2021
"21",255,"00BA",NA,"F",32,2020
"22",270,"BABW","Unalakleet","M",33,2021
"23",275,"00BW","Unalakleet","M",32,2020
"24",290,"000B",NA,"M",33,2021
"25",295,"000B",NA,"M",32,2020
"26",310,"BABW","Unalakleet","M",33,2021
"27",315,"000B",NA,"M",32,2020
"28",330,"000B",NA,"M",33,2021
"29",335,"000B",NA,"M",32,2020
"30",350,"000B",NA,"M",33,2021
"31",355,"000B",NA,"M",32,2020
"32",370,"00BA",NA,"M",33,2021
"33",375,"00BW","Unalakleet","M",32,2020
"34",390,"00BW","Unalakleet","F",33,2021
"35",395,"00BW","Unalakleet","M",32,2020
"36",410,"00BA",NA,"F",33,2021
"37",415,"00BW","Unalakleet","M",32,2020
"38",430,"00BW","Unalakleet","F",33,2021
"39",435,"0BAV","Shaktoolik","M",32,2020
"40",450,"00BW","Unalakleet","F",33,2021
"41",455,"0BAB",NA,"F",32,2020
"42",470,"00BW","Unalakleet","F",33,2021
"43",475,"BABW","Unalakleet","F",32,2020
"44",490,"00BW","Unalakleet","M",33,2021
"45",495,"0BAB",NA,"M",32,2020
"46",510,"00BW","Unalakleet","F",33,2021
"47",515,"BABW","Unalakleet","F",32,2020
"48",530,"000B",NA,"F",33,2021
"49",535,"00BW","Unalakleet","M",32,2020
"50",550,"000B",NA,"M",33,2021
"51",555,"00BW","Unalakleet","F",32,2020
"52",570,"00BW","Unalakleet","M",33,2021
"53",575,"00BW","Unalakleet","M",32,2020
"54",590,"00BW","Unalakleet","M",33,2021
"55",595,"000B",NA,"M",32,2020
"56",610,"00BW","Unalakleet","F",33,2021
"57",615,"BABW","Unalakleet","M",32,2020
"58",630,"00BW","Unalakleet","M",33,2021
"59",635,"0BAB",NA,"M",32,2020
"60",650,"00BW","Unalakleet","F",33,2021
"61",655,"0BAB",NA,"F",32,2020
"62",670,"00BW","Unalakleet","F",33,2021
