tag.ID,ch,stock,sex,stat.week,year
15,B000,NA,M,31,2020
35,B000,NA,M,31,2020
55,B000,NA,M,31,2020
75,BW00,Unalakleet,F,32,2020
95,BAB0,NA,M,32,2020
110,BW00,Unalakleet,M,32,2021
115,BA00,NA,F,32,2020
130,BXB0,NA,M,32,2021
135,B000,NA,M,32,2020
150,BWBA,NA,M,32,2021
155,B000,NA,F,32,2020
170,B000,NA,F,33,2021
175,BA00,NA,M,32,2020
190,B000,NA,F,33,2021
195,BW00,Unalakleet,M,32,2020
210,BW00,Unalakleet,M,33,2021
215,BW00,Unalakleet,M,32,2020
230,B000,NA,F,33,2021
235,BA00,NA,M,32,2020
250,B000,NA,F,33,2021
255,BA00,NA,F,32,2020
270,BABW,Unalakleet,M,33,2021
275,BW00,Unalakleet,M,32,2020
290,B000,NA,M,33,2021
295,B000,NA,M,32,2020
310,BABW,Unalakleet,M,33,2021
315,B000,NA,M,32,2020
330,B000,NA,M,33,2021
335,B000,NA,M,32,2020
350,B000,NA,M,33,2021
355,B000,NA,M,32,2020
370,BA00,NA,M,33,2021
375,BW00,Unalakleet,M,32,2020
390,BW00,Unalakleet,F,33,2021
395,BW00,Unalakleet,M,32,2020
410,BA00,NA,F,33,2021
415,BW00,Unalakleet,M,32,2020
430,BW00,Unalakleet,F,33,2021
435,BAV0,Shaktoolik,M,32,2020
450,BW00,Unalakleet,F,33,2021
455,BAB0,NA,F,32,2020
470,BW00,Unalakleet,F,33,2021
475,BABW,Unalakleet,F,32,2020
490,BW00,Unalakleet,M,33,2021
495,BAB0,NA,M,32,2020
510,BW00,Unalakleet,F,33,2021
515,BABW,Unalakleet,F,32,2020
530,B000,NA,F,33,2021
535,BW00,Unalakleet,M,32,2020
550,B000,NA,M,33,2021
555,BW00,Unalakleet,F,32,2020
570,BW00,Unalakleet,M,33,2021
575,BW00,Unalakleet,M,32,2020
590,BW00,Unalakleet,M,33,2021
595,B000,NA,M,32,2020
610,BW00,Unalakleet,F,33,2021
615,BABW,Unalakleet,M,32,2020
630,BW00,Unalakleet,M,33,2021
635,BAB0,NA,M,32,2020
650,BW00,Unalakleet,F,33,2021
655,BAB0,NA,F,32,2020
670,BW00,Unalakleet,F,33,2021
675,BW00,Unalakleet,M,32,2020
690,BW00,Unalakleet,M,33,2021
695,BAB0,NA,F,32,2020
710,BW00,Unalakleet,M,33,2021
715,BW00,Unalakleet,M,32,2020
730,B000,NA,F,33,2021
735,BW00,Unalakleet,M,32,2020
750,BWB0,NA,M,33,2021
770,BW00,Unalakleet,M,33,2021
775,B000,NA,M,32,2020
790,B000,NA,M,33,2021
810,B000,NA,F,34,2021
815,BW00,Unalakleet,F,32,2020
830,B000,NA,M,34,2021
835,BW00,Unalakleet,M,32,2020
850,B000,NA,M,34,2021
855,B000,NA,F,32,2020
870,BW00,Unalakleet,F,34,2021
875,BAB0,NA,M,32,2020
890,BW00,Unalakleet,M,34,2021
895,BAV0,Shaktoolik,F,32,2020
910,B000,NA,M,34,2021
915,BA00,NA,F,32,2020
930,BAX0,Transitory,M,34,2021
935,BW00,Unalakleet,M,32,2020
950,B000,NA,M,34,2021
955,BW00,Unalakleet,F,32,2020
970,BW00,Unalakleet,M,34,2021
975,B000,NA,M,32,2020
990,B000,NA,F,34,2021
995,BW00,Unalakleet,M,32,2020
1010,BXBX,Transitory,M,34,2021
1015,BW00,Unalakleet,M,32,2020
1030,BW00,Unalakleet,M,34,2021
1035,BWBW,Unalakleet,M,32,2020
1050,B000,NA,M,34,2021
1055,BABW,Unalakleet,F,32,2020
1070,BW00,Unalakleet,M,34,2021
1075,BW00,Unalakleet,F,32,2020
1090,BW00,Unalakleet,F,35,2021
1095,BW00,Unalakleet,M,32,2020
1110,BW00,Unalakleet,F,35,2021
1115,BAB0,NA,M,32,2020
1130,BXBW,Unalakleet,M,35,2021
1135,BW00,Unalakleet,M,32,2020
1150,B000,NA,M,35,2021
1155,BABW,Unalakleet,M,32,2020
1170,B000,NA,M,35,2021
1175,BAV0,Shaktoolik,M,32,2020
1190,B000,NA,M,35,2021
1195,BABW,Unalakleet,M,32,2020
1210,BW00,Unalakleet,F,35,2021
1215,BW00,Unalakleet,F,32,2020
1230,B000,NA,M,35,2021
1235,BW00,Unalakleet,M,32,2020
1250,BA00,NA,F,35,2021
1255,BABW,Unalakleet,F,32,2020
1270,B000,NA,M,35,2021
1275,BXBW,Unalakleet,M,32,2020
1290,BAB0,NA,M,35,2021
1295,BA00,NA,M,32,2020
1310,BW00,Unalakleet,M,35,2021
1315,BABW,Unalakleet,M,32,2020
1330,B000,NA,M,35,2021
1335,BAV0,Shaktoolik,M,32,2020
1350,BW00,Unalakleet,M,35,2021
1355,BA00,NA,F,32,2020
1370,BW00,Unalakleet,M,35,2021
1375,BAX0,Transitory,M,32,2020
1390,BW00,Unalakleet,F,35,2021
1395,BAB0,NA,M,32,2020
1410,BAB0,NA,F,35,2021
1415,BA00,NA,M,32,2020
1430,BAX0,Transitory,M,35,2021
1435,BX00,Transitory,M,32,2020
1450,BW00,Unalakleet,F,35,2021
1455,BW00,Unalakleet,F,33,2020
1470,BW00,Unalakleet,F,35,2021
1475,B000,NA,M,33,2020
1490,B000,NA,F,35,2021
1495,BW00,Unalakleet,F,33,2020
1510,BW00,Unalakleet,F,35,2021
1515,BW00,Unalakleet,F,33,2020
1530,B000,NA,F,35,2021
1535,BW00,Unalakleet,F,33,2020
1550,B000,NA,M,35,2021
1555,BA00,NA,M,33,2020
1570,B000,NA,F,35,2021
1575,BW00,Unalakleet,M,33,2020
1590,B000,NA,F,35,2021
1595,B000,NA,M,33,2020
1610,B000,NA,F,35,2021
1615,BW00,Unalakleet,M,33,2020
1630,BW00,Unalakleet,M,35,2021
1650,BW00,Unalakleet,F,35,2021
1655,BAX0,Transitory,M,33,2020
1670,B000,NA,F,35,2021
1675,BAV0,Shaktoolik,M,33,2020
1690,B000,NA,M,35,2021
1695,BABW,Unalakleet,M,33,2020
1710,B000,NA,F,35,2021
1715,B000,NA,F,33,2020
1730,BW00,Unalakleet,M,35,2021
1735,BW00,Unalakleet,F,33,2020
1750,B000,NA,F,35,2021
1755,BW00,Unalakleet,F,33,2020
1770,BW00,Unalakleet,M,35,2021
1775,BW00,Unalakleet,M,33,2020
1790,BA00,NA,F,35,2021
1795,BW00,Unalakleet,M,33,2020
1810,B000,NA,F,35,2021
1815,BW00,Unalakleet,F,33,2020
1830,BAB0,NA,F,35,2021
1835,BX00,Transitory,M,33,2020
1850,B000,NA,M,35,2021
1855,BW00,Unalakleet,M,33,2020
1870,BW00,Unalakleet,M,35,2021
1875,BW00,Unalakleet,M,33,2020
1890,B000,NA,F,35,2021
1895,B000,NA,F,33,2020
1910,B000,NA,M,35,2021
1915,BW00,Unalakleet,M,33,2020
1930,BA00,NA,M,35,2021
1935,B000,NA,M,33,2020
1950,B000,NA,F,35,2021
1955,BW00,Unalakleet,F,33,2020
1970,BW00,Unalakleet,F,35,2021
1975,BW00,Unalakleet,M,33,2020
1990,BAB0,NA,F,35,2021
