"tag.ID","ch","stock","year","sex","stat.week"
435,"000BAV","Shaktoolik",2020,"M",32
895,"000BAV","Shaktoolik",2020,"F",32
1175,"0BWBAV","Shaktoolik",2020,"M",32
1335,"000BAV","Shaktoolik",2020,"M",32
1675,"000BAV","Shaktoolik",2020,"M",33
2415,"000BAV","Shaktoolik",2020,"M",34
4055,"0000AV","Shaktoolik",2020,"M",31
4075,"0000AV","Shaktoolik",2020,"M",31
4190,"00ABAV","Shaktoolik",2021,"F",32
4330,"00ABAV","Shaktoolik",2021,"F",32
4510,"0000AV","Shaktoolik",2021,"M",33
4530,"0000AV","Shaktoolik",2021,"F",33
4590,"0000AV","Shaktoolik",2021,"M",33
4610,"0000AV","Shaktoolik",2021,"M",33
4635,"00ABAV","Shaktoolik",2020,"M",33
4650,"0000AV","Shaktoolik",2021,"M",33
4750,"00AXAV","Shaktoolik",2021,"M",33
4810,"0000AV","Shaktoolik",2021,"M",34
4930,"0000AV","Shaktoolik",2021,"M",35
5275,"0000AV","Shaktoolik",2020,"F",33
5375,"0000AV","Shaktoolik",2020,"F",33
5615,"0000AV","Shaktoolik",2020,"F",33
5755,"0000AV","Shaktoolik",2020,"F",33
6015,"0000AV","Shaktoolik",2020,"M",33
6075,"0000AV","Shaktoolik",2020,"F",33
6215,"0000AV","Shaktoolik",2020,"F",33
6275,"0000AV","Shaktoolik",2020,"M",33
6315,"0000AV","Shaktoolik",2020,"F",33
6395,"0000AV","Shaktoolik",2020,"F",33
6475,"0000AV","Shaktoolik",2020,"F",34
6535,"0000AV","Shaktoolik",2020,"M",34
6555,"0000AV","Shaktoolik",2020,"M",34
6595,"0000AV","Shaktoolik",2020,"F",34
6655,"0000AV","Shaktoolik",2020,"M",34
6675,"0000AV","Shaktoolik",2020,"F",34
6695,"0000AV","Shaktoolik",2020,"F",34
6715,"0000AV","Shaktoolik",2020,"F",34
6875,"0000AV","Shaktoolik",2020,"M",34
6895,"0000AV","Shaktoolik",2020,"M",34
6935,"0000AV","Shaktoolik",2020,"F",34
6975,"0000AV","Shaktoolik",2020,"M",34
7035,"0000AV","Shaktoolik",2020,"M",34
7075,"0000AV","Shaktoolik",2020,"F",34
7115,"0000AV","Shaktoolik",2020,"M",34
7155,"0000AV","Shaktoolik",2020,"M",34
7175,"0000AV","Shaktoolik",2020,"M",34
7195,"0000AV","Shaktoolik",2020,"F",34
7295,"0000AV","Shaktoolik",2020,"M",35
7355,"0000AV","Shaktoolik",2020,"F",35
7615,"00AXAV","Shaktoolik",2020,"F",35
7815,"0000AV","Shaktoolik",2020,"F",35
7935,"0000AV","Shaktoolik",2020,"F",35
7975,"0000AV","Shaktoolik",2020,"M",35
930,"0BWBAX","Transitory",2021,"M",34
1010,"BXBXBX","Transitory",2021,"M",34
1375,"0BAXAX","Transitory",2020,"M",32
1430,"00BAX ","Transitory",2021,"M",35
1435,"000BX ","Transitory",2020,"M",32
1835,"0000BX","Transitory",2020,"M",33
2055,"0000BX","Transitory",2020,"M",33
2195,"000BAX","Transitory",2020,"F",33
2455,"0000BX","Transitory",2020,"M",34
2535,"0000BX","Transitory",2020,"M",34
2835,"0000BX","Transitory",2020,"M",34
2895,"0000BX","Transitory",2020,"M",34
3375,"00BABX","Transitory",2020,"M",35
3995,"0000BX","Transitory",2020,"M",35
4175,"000ABX","Transitory",2020,"M",32
4235,"0AXABX","Transitory",2020,"M",32
4350,"00AWAX","Transitory",2021,"M",32
4355,"0AXABX","Transitory",2020,"M",32
4630,"0000AX","Transitory",2021,"M",33
4690,"00AXAX","Transitory",2021,"F",33
5055,"0000AX","Transitory",2020,"M",33
5095,"000ABX","Transitory",2020,"F",33
5150,"0000AX","Transitory",2021,"M",35
5355,"00ABAX","Transitory",2020,"F",33
5415,"000ABX","Transitory",2020,"F",33
5475,"000ABX","Transitory",2020,"F",33
5495,"0ABABX","Transitory",2020,"M",33
5675,"000ABX","Transitory",2020,"F",33
5715,"0ABWBX","Transitory",2020,"F",33
5835,"0000AX","Transitory",2020,"F",33
5875,"000ABX","Transitory",2020,"F",33
5995,"000ABX","Transitory",2020,"F",33
6335,"000ABX","Transitory",2020,"M",33
6375,"0000AX","Transitory",2020,"F",33
6415,"0AXABX","Transitory",2020,"M",34
6635,"000ABX","Transitory",2020,"M",34
7055,"000ABX","Transitory",2020,"M",34
7675,"0000AX","Transitory",2020,"M",35
7695,"000ABX","Transitory",2020,"M",35
7895,"000ABX","Transitory",2020,"F",35
75,"0000BW","Unalakleet",2020,"F",32
110,"0000BW","Unalakleet",2021,"M",32
195,"0000BW","Unalakleet",2020,"M",32
210,"0000BW","Unalakleet",2021,"M",33
215,"0000BW","Unalakleet",2020,"M",32
270,"00BABW","Unalakleet",2021,"M",33
275,"0000BW","Unalakleet",2020,"M",32
310,"00BABW","Unalakleet",2021,"M",33
375,"0000BW","Unalakleet",2020,"M",32
390,"0000BW","Unalakleet",2021,"F",33
395,"0000BW","Unalakleet",2020,"M",32
415,"0000BW","Unalakleet",2020,"M",32
430,"0000BW","Unalakleet",2021,"F",33
450,"0000BW","Unalakleet",2021,"F",33
470,"0000BW","Unalakleet",2021,"F",33
475,"00BABW","Unalakleet",2020,"F",32
490,"0000BW","Unalakleet",2021,"M",33
510,"0000BW","Unalakleet",2021,"F",33
515,"00BABW","Unalakleet",2020,"F",32
535,"0000BW","Unalakleet",2020,"M",32
555,"0000BW","Unalakleet",2020,"F",32
570,"0000BW","Unalakleet",2021,"M",33
575,"0000BW","Unalakleet",2020,"M",32
590,"0000BW","Unalakleet",2021,"M",33
610,"0000BW","Unalakleet",2021,"F",33
615,"00BABW","Unalakleet",2020,"M",32
630,"0000BW","Unalakleet",2021,"M",33
650,"0000BW","Unalakleet",2021,"F",33
670,"0000BW","Unalakleet",2021,"F",33
675,"0000BW","Unalakleet",2020,"M",32
690,"0000BW","Unalakleet",2021,"M",33
710,"0000BW","Unalakleet",2021,"M",33
715,"0000BW","Unalakleet",2020,"M",32
735,"0000BW","Unalakleet",2020,"M",32
770,"0000BW","Unalakleet",2021,"M",33
815,"0000BW","Unalakleet",2020,"F",32
835,"0000BW","Unalakleet",2020,"M",32
870,"0000BW","Unalakleet",2021,"F",34
890,"0000BW","Unalakleet",2021,"M",34
935,"0000BW","Unalakleet",2020,"M",32
955,"0000BW","Unalakleet",2020,"F",32
970,"0000BW","Unalakleet",2021,"M",34
995,"0000BW","Unalakleet",2020,"M",32
1015,"0000BW","Unalakleet",2020,"M",32
1030,"0000BW","Unalakleet",2021,"M",34
1035,"00BWBW","Unalakleet",2020,"M",32
1055,"00BABW","Unalakleet",2020,"F",32
1070,"0000BW","Unalakleet",2021,"M",34
1075,"0000BW","Unalakleet",2020,"F",32
1090,"0000BW","Unalakleet",2021,"F",35
1095,"0000BW","Unalakleet",2020,"M",32
1110,"0000BW","Unalakleet",2021,"F",35
1130,"00BXBW","Unalakleet",2021,"M",35
1135,"0000BW","Unalakleet",2020,"M",32
1155,"00BABW","Unalakleet",2020,"M",32
1195,"00BABW","Unalakleet",2020,"M",32
1210,"0000BW","Unalakleet",2021,"F",35
1215,"0000BW","Unalakleet",2020,"F",32
1235,"0000BW","Unalakleet",2020,"M",32
1255,"00BABW","Unalakleet",2020,"F",32
1275,"00BXBW","Unalakleet",2020,"M",32
1310,"0000BW","Unalakleet",2021,"M",35
1315,"00BABW","Unalakleet",2020,"M",32
1350,"0000BW","Unalakleet",2021,"M",35
1370,"0000BW","Unalakleet",2021,"M",35
1390,"0000BW","Unalakleet",2021,"F",35
1450,"0000BW","Unalakleet",2021,"F",35
1455,"0000BW","Unalakleet",2020,"F",33
1470,"0000BW","Unalakleet",2021,"F",35
1495,"0000BW","Unalakleet",2020,"F",33
1510,"0000BW","Unalakleet",2021,"F",35
1515,"0000BW","Unalakleet",2020,"F",33
1535,"0000BW","Unalakleet",2020,"F",33
1575,"0000BW","Unalakleet",2020,"M",33
1615,"0000BW","Unalakleet",2020,"M",33
1630,"0000BW","Unalakleet",2021,"M",35
1650,"0000BW","Unalakleet",2021,"F",35
1695,"BAVABW","Unalakleet",2020,"M",33
1730,"0000BW","Unalakleet",2021,"M",35
1735,"0000BW","Unalakleet",2020,"F",33
1755,"0000BW","Unalakleet",2020,"F",33
1770,"0000BW","Unalakleet",2021,"M",35
1775,"0000BW","Unalakleet",2020,"M",33
1795,"0000BW","Unalakleet",2020,"M",33
1815,"0000BW","Unalakleet",2020,"F",33
1855,"0000BW","Unalakleet",2020,"M",33
1870,"0000BW","Unalakleet",2021,"M",35
