tag.ID,capture,det,recap,ch,,stock,ch,year
15,B,NA,B,B,,NA,B,2020
35,B,NA,B,B,,NA,B,2020
55,B,NA,NA,B,,NA,B,2020
95,B,5445,NA,BAB,,NA,BAB,2020
115,B,54,NA,BA,,NA,BA,2020
130,B,57576,NA,BXB,,NA,BXB,2021
135,B,NA,NA,B,,NA,B,2020
150,B,5UU54,NA,BWBA,,NA,BBBA,2021
155,B,NA,NA,B,,NA,B,2020
170,B,55,NA,B,,NA,B,2021
175,B,4,NA,BA,,NA,BA,2020
190,B,NA,NA,B,,NA,B,2021
230,B,NA,NA,B,,NA,B,2021
235,B,4,NA,BA,,NA,BA,2020
250,B,5,B,B,,NA,B,2021
255,B,NA,A,BA,,NA,BA,2020
290,B,NA,NA,B,,NA,B,2021
295,B,NA,NA,B,,NA,B,2020
315,B,NA,NA,B,,NA,B,2020
330,B,NA,NA,B,,NA,B,2021
335,B,NA,NA,B,,NA,B,2020
350,B,NA,NA,B,,NA,B,2021
355,B,5,NA,B,,NA,B,2020
370,B,4,NA,BA,,NA,BA,2021
410,B,54,NA,BA,,NA,BA,2021
455,B,4,B,BAB,,NA,BAB,2020
495,B,445,NA,BAB,,NA,BAB,2020
530,B,5,NA,B,,NA,B,2021
550,B,5,NA,B,,NA,B,2021
595,B,NA,NA,B,,NA,B,2020
635,B,4,B,BAB,,NA,BAB,2020
655,B,445,B,BAB,,NA,BAB,2020
695,B,44,NA,BAB,,NA,BAB,2020
730,B,5,NA,B,,NA,B,2021
750,B,5U5,NA,BWB,,NA,BBB,2021
775,B,NA,NA,B,,NA,B,2020
790,B,5,NA,B,,NA,B,2021
810,B,NA,B,B,,NA,B,2021
830,B,NA,NA,B,,NA,B,2021
850,B,NA,B,B,,NA,B,2021
855,B,NA,NA,B,,NA,B,2020
875,B,45,B,BAB,,NA,BAB,2020
910,B,NA,NA,B,,NA,B,2021
915,B,4,NA,BA,,NA,BA,2020
950,B,NA,B,B,,NA,B,2021
975,B,NA,NA,B,,NA,B,2020
990,B,NA,B,B,,NA,B,2021
1050,B,5,B,B,,NA,B,2021
1115,B,44,NA,BAB,,NA,BAB,2020
1150,B,NA,NA,B,,NA,B,2021
1170,B,5,B,B,,NA,B,2021
1190,B,NA,NA,B,,NA,B,2021
1230,B,55,B,B,,NA,B,2021
1250,B,4,NA,BA,,NA,BA,2021
1270,B,5,NA,B,,NA,B,2021
1290,B,44,NA,BAB,,NA,BAB,2021
