tag.ID,ch,stock,sex,stat.week
15,B000,NA,M,31
35,B000,NA,M,31
55,B000,NA,M,31
75,BW00,Unalakleet,F,32
95,BAB0,NA,M,32
110,BW00,Unalakleet,M,32
115,BA00,NA,F,32
130,BXB0,NA,M,32
135,B000,NA,M,32
150,BWBA,NA,M,32
155,B000,NA,F,32
170,B000,NA,F,33
175,BA00,NA,M,32
190,B000,NA,F,33
195,BW00,Unalakleet,M,32
210,BW00,Unalakleet,M,33
215,BW00,Unalakleet,M,32
230,B000,NA,F,33
235,BA00,NA,M,32
250,B000,NA,F,33
255,BA00,NA,F,32
270,BABW,Unalakleet,M,33
275,BW00,Unalakleet,M,32
290,B000,NA,M,33
295,B000,NA,M,32
310,BABW,Unalakleet,M,33
315,B000,NA,M,32
330,B000,NA,M,33
335,B000,NA,M,32
350,B000,NA,M,33
355,B000,NA,M,32
370,BA00,NA,M,33
375,BW00,Unalakleet,M,32
390,BW00,Unalakleet,F,33
395,BW00,Unalakleet,M,32
410,BA00,NA,F,33
415,BW00,Unalakleet,M,32
430,BW00,Unalakleet,F,33
435,BAV0,Shaktoolik,M,32
450,BW00,Unalakleet,F,33
455,BAB0,NA,F,32
470,BW00,Unalakleet,F,33
475,BABW,Unalakleet,F,32
490,BW00,Unalakleet,M,33
495,BAB0,NA,M,32
510,BW00,Unalakleet,F,33
515,BABW,Unalakleet,F,32
530,B000,NA,F,33
535,BW00,Unalakleet,M,32
550,B000,NA,M,33
555,BW00,Unalakleet,F,32
570,BW00,Unalakleet,M,33
575,BW00,Unalakleet,M,32
590,BW00,Unalakleet,M,33
595,B000,NA,M,32
610,BW00,Unalakleet,F,33
615,BABW,Unalakleet,M,32
630,BW00,Unalakleet,M,33
635,BAB0,NA,M,32
650,BW00,Unalakleet,F,33
655,BAB0,NA,F,32
670,BW00,Unalakleet,F,33
675,BW00,Unalakleet,M,32
690,BW00,Unalakleet,M,33
695,BAB0,NA,F,32
710,BW00,Unalakleet,M,33
715,BW00,Unalakleet,M,32
730,B000,NA,F,33
735,BW00,Unalakleet,M,32
750,BWB0,NA,M,33
770,BW00,Unalakleet,M,33
775,B000,NA,M,32
790,B000,NA,M,33
810,B000,NA,F,34
815,BW00,Unalakleet,F,32
830,B000,NA,M,34
835,BW00,Unalakleet,M,32
850,B000,NA,M,34
855,B000,NA,F,32
870,BW00,Unalakleet,F,34
875,BAB0,NA,M,32
890,BW00,Unalakleet,M,34
895,BAV0,Shaktoolik,F,32
910,B000,NA,M,34
915,BA00,NA,F,32
930,BAX0,Transitory,M,34
935,BW00,Unalakleet,M,32
950,B000,NA,M,34
955,BW00,Unalakleet,F,32
970,BW00,Unalakleet,M,34
975,B000,NA,M,32
990,B000,NA,F,34
995,BW00,Unalakleet,M,32
1010,BXBX,Transitory,M,34
1015,BW00,Unalakleet,M,32
1030,BW00,Unalakleet,M,34
1035,BWBW,Unalakleet,M,32
1050,B000,NA,M,34
1055,BABW,Unalakleet,F,32
1070,BW00,Unalakleet,M,34
1075,BW00,Unalakleet,F,32
1090,BW00,Unalakleet,F,35
1095,BW00,Unalakleet,M,32
1110,BW00,Unalakleet,F,35
1115,BAB0,NA,M,32
1130,BXBW,Unalakleet,M,35
1135,BW00,Unalakleet,M,32
1150,B000,NA,M,35
1155,BABW,Unalakleet,M,32
1170,B000,NA,M,35
1175,BAV0,Shaktoolik,M,32
1190,B000,NA,M,35
1195,BABW,Unalakleet,M,32
1210,BW00,Unalakleet,F,35
1215,BW00,Unalakleet,F,32
1230,B000,NA,M,35
1235,BW00,Unalakleet,M,32
1250,BA00,NA,F,35
1255,BABW,Unalakleet,F,32
1270,B000,NA,M,35
1275,BXBW,Unalakleet,M,32
1290,BAB0,NA,M,35
1295,BA00,NA,M,32
1310,BW00,Unalakleet,M,35
1315,BABW,Unalakleet,M,32
1330,B000,NA,M,35
1335,BAV0,Shaktoolik,M,32
1350,BW00,Unalakleet,M,35
1355,BA00,NA,F,32
1370,BW00,Unalakleet,M,35
1375,BAX0,Transitory,M,32
1390,BW00,Unalakleet,F,35
1395,BAB0,NA,M,32
1410,BAB0,NA,F,35
1415,BA00,NA,M,32
1430,BAX0,Transitory,M,35
1435,BX00,Transitory,M,32
1450,BW00,Unalakleet,F,35
1455,BW00,Unalakleet,F,33
1470,BW00,Unalakleet,F,35
1475,B000,NA,M,33
1490,B000,NA,F,35
1495,BW00,Unalakleet,F,33
1510,BW00,Unalakleet,F,35
1515,BW00,Unalakleet,F,33
1530,B000,NA,F,35
1535,BW00,Unalakleet,F,33
1550,B000,NA,M,35
1555,BA00,NA,M,33
1570,B000,NA,F,35
1575,BW00,Unalakleet,M,33
1590,B000,NA,F,35
1595,B000,NA,M,33
1610,B000,NA,F,35
1615,BW00,Unalakleet,M,33
1630,BW00,Unalakleet,M,35
1650,BW00,Unalakleet,F,35
1655,BAX0,Transitory,M,33
1670,B000,NA,F,35
1675,BAV0,Shaktoolik,M,33
1690,B000,NA,M,35
1695,BABW,Unalakleet,M,33
1710,B000,NA,F,35
1715,B000,NA,F,33
1730,BW00,Unalakleet,M,35
1735,BW00,Unalakleet,F,33
1750,B000,NA,F,35
1755,BW00,Unalakleet,F,33
1770,BW00,Unalakleet,M,35
1775,BW00,Unalakleet,M,33
1790,BA00,NA,F,35
1795,BW00,Unalakleet,M,33
1810,B000,NA,F,35
1815,BW00,Unalakleet,F,33
1830,BAB0,NA,F,35
1835,BX00,Transitory,M,33
1850,B000,NA,M,35
1855,BW00,Unalakleet,M,33
1870,BW00,Unalakleet,M,35
1875,BW00,Unalakleet,M,33
1890,B000,NA,F,35
1895,B000,NA,F,33
1910,B000,NA,M,35
1915,BW00,Unalakleet,M,33
1930,BA00,NA,M,35
1935,B000,NA,M,33
1950,B000,NA,F,35
1955,BW00,Unalakleet,F,33
1970,BW00,Unalakleet,F,35
1975,BW00,Unalakleet,M,33
1990,BAB0,NA,F,35
1995,BW00,Unalakleet,M,33
2010,BW00,Unalakleet,M,35
