tag.ID,ch,stock,sex,stat.week,year
15,000B,NA,M,31,2020
35,000B,NA,M,31,2020
55,000B,NA,M,31,2020
95,0BAB,NA,M,32,2020
115,00BA,NA,F,32,2020
130,0BXB,NA,M,32,2021
135,000B,NA,M,32,2020
150,BWBA,NA,M,32,2021
155,000B,NA,F,32,2020
170,000B,NA,F,33,2021
175,00BA,NA,M,32,2020
190,000B,NA,F,33,2021
230,000B,NA,F,33,2021
235,00BA,NA,M,32,2020
250,000B,NA,F,33,2021
255,00BA,NA,F,32,2020
290,000B,NA,M,33,2021
295,000B,NA,M,32,2020
315,000B,NA,M,32,2020
330,000B,NA,M,33,2021
335,000B,NA,M,32,2020
350,000B,NA,M,33,2021
355,000B,NA,M,32,2020
370,00BA,NA,M,33,2021
410,00BA,NA,F,33,2021
455,0BAB,NA,F,32,2020
495,0BAB,NA,M,32,2020
530,000B,NA,F,33,2021
550,000B,NA,M,33,2021
595,000B,NA,M,32,2020
635,0BAB,NA,M,32,2020
655,0BAB,NA,F,32,2020
695,0BAB,NA,F,32,2020
730,000B,NA,F,33,2021
750,0BWB,NA,M,33,2021
775,000B,NA,M,32,2020
790,000B,NA,M,33,2021
810,000B,NA,F,34,2021
830,000B,NA,M,34,2021
850,000B,NA,M,34,2021
855,000B,NA,F,32,2020
875,0BAB,NA,M,32,2020
910,000B,NA,M,34,2021
915,00BA,NA,F,32,2020
950,000B,NA,M,34,2021
975,000B,NA,M,32,2020
990,000B,NA,F,34,2021
1050,000B,NA,M,34,2021
1115,0BAB,NA,M,32,2020
1150,000B,NA,M,35,2021
1170,000B,NA,M,35,2021
1190,000B,NA,M,35,2021
1230,000B,NA,M,35,2021
1250,00BA,NA,F,35,2021
1270,000B,NA,M,35,2021
1290,0BAB,NA,M,35,2021
1295,00BA,NA,M,32,2020
1330,000B,NA,M,35,2021
1355,00BA,NA,F,32,2020
1395,0BAB,NA,M,32,2020
1410,0BAB,NA,F,35,2021
1415,00BA,NA,M,32,2020
1475,000B,NA,M,33,2020
1490,000B,NA,F,35,2021
1530,000B,NA,F,35,2021
1550,000B,NA,M,35,2021
1555,00BA,NA,M,33,2020
1570,000B,NA,F,35,2021
1590,000B,NA,F,35,2021
1595,000B,NA,M,33,2020
1610,000B,NA,F,35,2021
1670,000B,NA,F,35,2021
1690,000B,NA,M,35,2021
1710,000B,NA,F,35,2021
1715,000B,NA,F,33,2020
1750,000B,NA,F,35,2021
1790,00BA,NA,F,35,2021
1810,000B,NA,F,35,2021
1830,0BAB,NA,F,35,2021
1850,000B,NA,M,35,2021
1890,000B,NA,F,35,2021
1895,000B,NA,F,33,2020
1910,000B,NA,M,35,2021
1930,00BA,NA,M,35,2021
1935,000B,NA,M,33,2020
1950,000B,NA,F,35,2021
1990,0BAB,NA,F,35,2021
2050,000B,NA,M,35,2021
2070,000B,NA,F,35,2021
2075,000B,NA,F,33,2020
2095,000B,NA,M,33,2020
2110,000B,NA,F,35,2021
2190,000B,NA,F,35,2021
2210,000B,NA,F,35,2021
2230,000B,NA,F,35,2021
2250,000B,NA,M,35,2021
2270,000B,NA,F,35,2021
2275,000B,NA,F,33,2020
2295,BAWA,NA,M,33,2020
2310,000B,NA,F,35,2021
2370,000B,NA,M,35,2021
2390,0BXB,NA,M,35,2021
2410,000B,NA,F,35,2021
2430,000B,NA,M,35,2021
2435,000B,NA,M,34,2020
2450,000B,NA,F,35,2021
2470,000B,NA,F,35,2021
2490,000B,NA,M,35,2021
2595,000B,NA,M,34,2020
2635,000B,NA,F,34,2020
2655,000B,NA,F,34,2020
2675,00BA,NA,F,34,2020
2695,BWBA,NA,M,34,2020
2755,000B,NA,F,34,2020
2875,000B,NA,F,34,2020
3015,000B,NA,F,34,2020
3035,000B,NA,F,34,2020
3055,000B,NA,M,34,2020
3095,000B,NA,M,34,2020
3135,000B,NA,M,34,2020
3155,000B,NA,M,34,2020
3195,000B,NA,F,34,2020
3235,000B,NA,M,35,2020
3255,000B,NA,F,35,2020
3275,000B,NA,M,35,2020
3295,000B,NA,M,35,2020
3315,000B,NA,F,35,2020
3355,000B,NA,M,35,2020
3415,000B,NA,F,35,2020
3435,000B,NA,M,35,2020
3455,000B,NA,M,35,2020
3555,000B,NA,M,35,2020
3575,00BA,NA,M,35,2020
3675,000B,NA,F,35,2020
3755,000B,NA,M,35,2020
3775,0BAB,NA,F,35,2020
3815,000B,NA,M,35,2020
3835,000B,NA,M,35,2020
3875,000B,NA,M,35,2020
3955,000B,NA,F,35,2020
4110,00AB,NA,M,32,2021
4130,00AB,NA,M,32,2021
4150,00AB,NA,M,32,2021
4170,000A,NA,M,32,2021
4195,00AB,NA,F,32,2020
4210,000A,NA,F,32,2021
4215,AWAB,NA,M,32,2020
4230,000A,NA,F,32,2021
4290,00AB,NA,F,32,2021
4310,000A,NA,M,32,2021
4370,00AB,NA,M,32,2021
4390,000A,NA,M,32,2021
4395,00AB,NA,M,32,2020
4410,000A,NA,M,32,2021
4430,000A,NA,M,32,2021
4450,00AB,NA,M,32,2021
4455,00AB,NA,F,32,2020
4490,00AB,NA,M,33,2021
4570,AXAB,NA,M,33,2021
4670,AXAB,NA,F,33,2021
4715,00AB,NA,F,33,2020
4730,000A,NA,F,33,2021
4770,00AB,NA,M,34,2021
4790,00AB,NA,M,34,2021
4830,00AB,NA,M,34,2021
4870,000A,NA,M,34,2021
4890,000A,NA,M,34,2021
4910,00AB,NA,F,35,2021
4950,000A,NA,M,35,2021
4970,00AB,NA,M,35,2021
4990,00AB,NA,M,35,2021
5010,00AB,NA,F,35,2021
5015,00AB,NA,F,33,2020
5050,000A,NA,M,35,2021
5090,000A,NA,F,35,2021
5110,ABXB,NA,F,35,2021
5115,00AB,NA,M,33,2020
5130,00AB,NA,F,35,2021
5135,00AB,NA,F,33,2020
5155,000A,NA,F,33,2020
5170,00AB,NA,F,35,2021
5210,ABXB,NA,F,35,2021
5230,00AB,NA,M,35,2021
5250,000A,NA,M,35,2021
5290,00AB,NA,M,35,2021
5330,00AB,NA,F,35,2021
5350,0ABA,NA,F,35,2021
5370,00AB,NA,M,35,2021
5390,00AB,NA,F,35,2021
5395,00AB,NA,F,33,2020
5430,00AB,NA,M,35,2021
5435,0ABA,NA,M,33,2020
5455,000A,NA,F,33,2020
5490,00AB,NA,F,35,2021
5530,00AB,NA,F,35,2021
5550,000A,NA,F,35,2021
5635,000A,NA,F,33,2020
5695,0ABA,NA,M,33,2020
5775,00AB,NA,M,33,2020
5855,ABXB,NA,F,33,2020
5895,00AB,NA,M,33,2020
5935,00AB,NA,M,33,2020
5975,00AB,NA,F,33,2020
6035,000A,NA,M,33,2020
6155,00AB,NA,M,33,2020
6195,000A,NA,M,33,2020
6235,00AB,NA,F,33,2020
6255,00AB,NA,M,33,2020
6295,00AB,NA,F,33,2020
6355,00AB,NA,F,33,2020
6435,000A,NA,M,34,2020
6455,000A,NA,F,34,2020
6495,000A,NA,F,34,2020
6515,00AB,NA,M,34,2020
6615,AXAB,NA,M,34,2020
6735,000A,NA,M,34,2020
6775,0AXA,NA,M,34,2020
6835,ABAB,NA,F,34,2020
6855,000A,NA,F,34,2020
6915,000A,NA,F,34,2020
7255,00AB,NA,F,35,2020
7275,00AB,NA,F,35,2020
7315,00AB,NA,F,35,2020
7335,00AB,NA,F,35,2020
7375,00AB,NA,M,35,2020
7435,00AB,NA,F,35,2020
7495,0ABA,NA,F,35,2020
7515,00AB,NA,F,35,2020
7535,00AB,NA,F,35,2020
7555,00AB,NA,M,35,2020
7575,00AB,NA,F,35,2020
7595,000A,NA,M,35,2020
7635,00AB,NA,F,35,2020
7655,0ABA,NA,F,35,2020
7715,00AB,NA,M,35,2020
7735,000A,NA,F,35,2020
7755,000A,NA,F,35,2020
7775,000A,NA,F,35,2020
7875,00AB,NA,F,35,2020
7915,000A,NA,F,35,2020
7995,00AB,NA,F,35,2020
435,0BAV,Shaktoolik,M,32,2020
895,0BAV,Shaktoolik,F,32,2020
1175,0BAV,Shaktoolik,M,32,2020
1335,0BAV,Shaktoolik,M,32,2020
