tag.ID,ch,stock,sex,stat.week,year
15,B,NA,M,31,22
35,B,NA,M,31,22
55,B,NA,M,31,22
75,BB,Unalakleet,F,32,22
95,BAB,NA,M,32,22
11,BB,Unalakleet,M,32,221
115,BA,NA,F,32,22
13,BXB,NA,M,32,221
135,B,NA,M,32,22
15,BBBA,NA,M,32,221
155,B,NA,F,32,22
17,B,NA,F,33,221
175,BA,NA,M,32,22
19,B,NA,F,33,221
195,BB,Unalakleet,M,32,22
21,BB,Unalakleet,M,33,221
215,BB,Unalakleet,M,32,22
23,B,NA,F,33,221
235,BA,NA,M,32,22
25,B,NA,F,33,221
255,BA,NA,F,32,22
27,BABB,Unalakleet,M,33,221
275,BB,Unalakleet,M,32,22
29,B,NA,M,33,221
295,B,NA,M,32,22
31,BABB,Unalakleet,M,33,221
315,B,NA,M,32,22
33,B,NA,M,33,221
335,B,NA,M,32,22
35,B,NA,M,33,221
355,B,NA,M,32,22
37,BA,NA,M,33,221
375,BB,Unalakleet,M,32,22
39,BB,Unalakleet,F,33,221
395,BB,Unalakleet,M,32,22
41,BA,NA,F,33,221
415,BB,Unalakleet,M,32,22
43,BB,Unalakleet,F,33,221
435,BAA,Shaktoolik,M,32,22
45,BB,Unalakleet,F,33,221
455,BAB,NA,F,32,22
47,BB,Unalakleet,F,33,221
475,BABB,Unalakleet,F,32,22
49,BB,Unalakleet,M,33,221
495,BAB,NA,M,32,22
51,BB,Unalakleet,F,33,221
515,BABB,Unalakleet,F,32,22
53,B,NA,F,33,221
535,BB,Unalakleet,M,32,22
55,B,NA,M,33,221
555,BB,Unalakleet,F,32,22
57,BB,Unalakleet,M,33,221
575,BB,Unalakleet,M,32,22
59,BB,Unalakleet,M,33,221
595,B,NA,M,32,22
61,BB,Unalakleet,F,33,221
615,BABB,Unalakleet,M,32,22
63,BB,Unalakleet,M,33,221
635,BAB,NA,M,32,22
65,BB,Unalakleet,F,33,221
655,BAB,NA,F,32,22
67,BB,Unalakleet,F,33,221
675,BB,Unalakleet,M,32,22
69,BB,Unalakleet,M,33,221
695,BAB,NA,F,32,22
71,BB,Unalakleet,M,33,221
715,BB,Unalakleet,M,32,22
73,B,NA,F,33,221
735,BB,Unalakleet,M,32,22
75,BBB,NA,M,33,221
77,BB,Unalakleet,M,33,221
775,B,NA,M,32,22
79,B,NA,M,33,221
81,B,NA,F,34,221
815,BB,Unalakleet,F,32,22
83,B,NA,M,34,221
835,BB,Unalakleet,M,32,22
85,B,NA,M,34,221
855,B,NA,F,32,22
87,BB,Unalakleet,F,34,221
875,BAB,NA,M,32,22
89,BB,Unalakleet,M,34,221
895,BAA,Shaktoolik,F,32,22
91,B,NA,M,34,221
915,BA,NA,F,32,22
93,BAX,Transitory,M,34,221
935,BB,Unalakleet,M,32,22
95,B,NA,M,34,221
955,BB,Unalakleet,F,32,22
97,BB,Unalakleet,M,34,221
975,B,NA,M,32,22
99,B,NA,F,34,221
995,BB,Unalakleet,M,32,22
11,BXBX,Transitory,M,34,221
115,BB,Unalakleet,M,32,22
13,BB,Unalakleet,M,34,221
135,BBBB,Unalakleet,M,32,22
15,B,NA,M,34,221
155,BABB,Unalakleet,F,32,22
17,BB,Unalakleet,M,34,221
175,BB,Unalakleet,F,32,22
19,BB,Unalakleet,F,35,221
195,BB,Unalakleet,M,32,22
111,BB,Unalakleet,F,35,221
1115,BAB,NA,M,32,22
113,BXBB,Unalakleet,M,35,221
1135,BB,Unalakleet,M,32,22
115,B,NA,M,35,221
1155,BABB,Unalakleet,M,32,22
117,B,NA,M,35,221
1175,BAA,Shaktoolik,M,32,22
119,B,NA,M,35,221
1195,BABB,Unalakleet,M,32,22
121,BB,Unalakleet,F,35,221
1215,BB,Unalakleet,F,32,22
123,B,NA,M,35,221
1235,BB,Unalakleet,M,32,22
125,BA,NA,F,35,221
1255,BABB,Unalakleet,F,32,22
127,B,NA,M,35,221
1275,BXBB,Unalakleet,M,32,22
129,BAB,NA,M,35,221
1295,BA,NA,M,32,22
131,BB,Unalakleet,M,35,221
1315,BABB,Unalakleet,M,32,22
133,B,NA,M,35,221
1335,BAA,Shaktoolik,M,32,22
135,BB,Unalakleet,M,35,221
1355,BA,NA,F,32,22
137,BB,Unalakleet,M,35,221
1375,BAX,Transitory,M,32,22
139,BB,Unalakleet,F,35,221
1395,BAB,NA,M,32,22
141,BAB,NA,F,35,221
1415,BA,NA,M,32,22
143,BAX,Transitory,M,35,221
1435,BX,Transitory,M,32,22
145,BB,Unalakleet,F,35,221
1455,BB,Unalakleet,F,33,22
147,BB,Unalakleet,F,35,221
1475,B,NA,M,33,22
149,B,NA,F,35,221
1495,BB,Unalakleet,F,33,22
151,BB,Unalakleet,F,35,221
1515,BB,Unalakleet,F,33,22
153,B,NA,F,35,221
1535,BB,Unalakleet,F,33,22
155,B,NA,M,35,221
1555,BA,NA,M,33,22
157,B,NA,F,35,221
1575,BB,Unalakleet,M,33,22
159,B,NA,F,35,221
1595,B,NA,M,33,22
161,B,NA,F,35,221
1615,BB,Unalakleet,M,33,22
163,BB,Unalakleet,M,35,221
165,BB,Unalakleet,F,35,221
1655,BAX,Transitory,M,33,22
167,B,NA,F,35,221
1675,BAA,Shaktoolik,M,33,22
169,B,NA,M,35,221
1695,BABB,Unalakleet,M,33,22
171,B,NA,F,35,221
1715,B,NA,F,33,22
173,BB,Unalakleet,M,35,221
1735,BB,Unalakleet,F,33,22
175,B,NA,F,35,221
1755,BB,Unalakleet,F,33,22
177,BB,Unalakleet,M,35,221
1775,BB,Unalakleet,M,33,22
179,BA,NA,F,35,221
1795,BB,Unalakleet,M,33,22
181,B,NA,F,35,221
1815,BB,Unalakleet,F,33,22
183,BAB,NA,F,35,221
1835,BX,Transitory,M,33,22
185,B,NA,M,35,221
1855,BB,Unalakleet,M,33,22
187,BB,Unalakleet,M,35,221
1875,BB,Unalakleet,M,33,22
189,B,NA,F,35,221
1895,B,NA,F,33,22
191,B,NA,M,35,221
1915,BB,Unalakleet,M,33,22
193,BA,NA,M,35,221
1935,B,NA,M,33,22
195,B,NA,F,35,221
1955,BB,Unalakleet,F,33,22
197,BB,Unalakleet,F,35,221
1975,BB,Unalakleet,M,33,22
199,BAB,NA,F,35,221
1995,BB,Unalakleet,M,33,22
21,BB,Unalakleet,M,35,221
215,BB,Unalakleet,M,33,22
23,BB,Unalakleet,F,35,221
25,B,NA,M,35,221
255,BX,Transitory,M,33,22
27,B,NA,F,35,221
275,B,NA,F,33,22
29,BB,Unalakleet,F,35,221
295,B,NA,M,33,22
211,B,NA,F,35,221
2115,BB,Unalakleet,M,33,22
213,BB,Unalakleet,M,35,221
2135,BB,Unalakleet,F,33,22
215,BB,Unalakleet,M,35,221
2155,BB,Unalakleet,M,33,22
217,BB,Unalakleet,M,35,221
2175,BXBB,Unalakleet,M,33,22
219,B,NA,F,35,221
2195,BAX,Transitory,F,33,22
221,B,NA,F,35,221
2215,BB,Unalakleet,M,33,22
223,B,NA,F,35,221
2235,BB,Unalakleet,F,33,22
225,B,NA,M,35,221
227,B,NA,F,35,221
2275,B,NA,F,33,22
229,BB,Unalakleet,M,35,221
2295,BABA,NA,M,33,22
231,B,NA,F,35,221
2315,BB,Unalakleet,F,33,22
233,BB,Unalakleet,M,35,221
2335,BB,Unalakleet,F,33,22
235,BB,Unalakleet,M,35,221
2355,BABB,Unalakleet,F,33,22
237,B,NA,M,35,221
2375,BB,Unalakleet,F,33,22
239,BXB,NA,M,35,221
2395,BB,Unalakleet,M,33,22
241,B,NA,F,35,221
2415,BAA,Shaktoolik,M,34,22
243,B,NA,M,35,221
2435,B,NA,M,34,22
245,B,NA,F,35,221
2455,BX,Transitory,M,34,22
247,B,NA,F,35,221
2475,BB,Unalakleet,M,34,22
249,B,NA,M,35,221
2495,BB,Unalakleet,F,34,22
2515,BB,Unalakleet,F,34,22
2535,BX,Transitory,M,34,22
2555,BB,Unalakleet,F,34,22
2575,BB,Unalakleet,F,34,22
2595,B,NA,M,34,22
2615,BB,Unalakleet,F,34,22
2635,B,NA,F,34,22
2655,B,NA,F,34,22
2675,BA,NA,F,34,22
2695,BBBA,NA,M,34,22
2715,BB,Unalakleet,M,34,22
2735,BB,Unalakleet,M,34,22
2755,B,NA,F,34,22
2775,BB,Unalakleet,M,34,22
2795,BB,Unalakleet,F,34,22
2815,BB,Unalakleet,F,34,22
2835,BX,Transitory,M,34,22
2855,BB,Unalakleet,F,34,22
2875,B,NA,F,34,22
2895,BX,Transitory,M,34,22
2915,BABB,Unalakleet,M,34,22
2935,BB,Unalakleet,M,34,22
2955,BB,Unalakleet,F,34,22
2975,BB,Unalakleet,M,34,22
2995,BB,Unalakleet,F,34,22
315,B,NA,F,34,22
335,B,NA,F,34,22
355,B,NA,M,34,22
375,BB,Unalakleet,F,34,22
395,B,NA,M,34,22
3115,BB,Unalakleet,M,34,22
3135,B,NA,M,34,22
