"","tag.ID","ch","stock","sex","stat.week","year"
"1",15,"000B",NA,"M",31,22
"2",35,"000B",NA,"M",31,22
"3",55,"000B",NA,"M",31,22
"4",75,"00BB","Unalakleet","F",32,22
"5",95,"0BAB",NA,"M",32,22
"6",11,"00BB","Unalakleet","M",32,221
"7",115,"00BA",NA,"F",32,22
"8",13,"0BXB",NA,"M",32,221
"9",135,"000B",NA,"M",32,22
"10",15,"BBBA",NA,"M",32,221
"11",155,"000B",NA,"F",32,22
"12",17,"000B",NA,"F",33,221
"13",175,"00BA",NA,"M",32,22
"14",19,"000B",NA,"F",33,221
"15",195,"00BB","Unalakleet","M",32,22
"16",21,"00BB","Unalakleet","M",33,221
"17",215,"00BB","Unalakleet","M",32,22
"18",23,"000B",NA,"F",33,221
"19",235,"00BA",NA,"M",32,22
"20",25,"000B",NA,"F",33,221
"21",255,"00BA",NA,"F",32,22
"22",27,"BABB","Unalakleet","M",33,221
"23",275,"00BB","Unalakleet","M",32,22
"24",29,"000B",NA,"M",33,221
"25",295,"000B",NA,"M",32,22
"26",31,"BABB","Unalakleet","M",33,221
"27",315,"000B",NA,"M",32,22
"28",33,"000B",NA,"M",33,221
"29",335,"000B",NA,"M",32,22
"30",35,"000B",NA,"M",33,221
"31",355,"000B",NA,"M",32,22
"32",37,"00BA",NA,"M",33,221
"33",375,"00BB","Unalakleet","M",32,22
"34",39,"00BB","Unalakleet","F",33,221
"35",395,"00BB","Unalakleet","M",32,22
"36",41,"00BA",NA,"F",33,221
"37",415,"00BB","Unalakleet","M",32,22
"38",43,"00BB","Unalakleet","F",33,221
"39",435,"0BAA","Shaktoolik","M",32,22
"40",45,"00BB","Unalakleet","F",33,221
"41",455,"0BAB",NA,"F",32,22
"42",47,"00BB","Unalakleet","F",33,221
"43",475,"BABB","Unalakleet","F",32,22
"44",49,"00BB","Unalakleet","M",33,221
"45",495,"0BAB",NA,"M",32,22
"46",51,"00BB","Unalakleet","F",33,221
"47",515,"BABB","Unalakleet","F",32,22
"48",53,"000B",NA,"F",33,221
"49",535,"00BB","Unalakleet","M",32,22
"50",55,"000B",NA,"M",33,221
"51",555,"00BB","Unalakleet","F",32,22
"52",57,"00BB","Unalakleet","M",33,221
"53",575,"00BB","Unalakleet","M",32,22
"54",59,"00BB","Unalakleet","M",33,221
"55",595,"000B",NA,"M",32,22
"56",61,"00BB","Unalakleet","F",33,221
"57",615,"BABB","Unalakleet","M",32,22
"58",63,"00BB","Unalakleet","M",33,221
"59",635,"0BAB",NA,"M",32,22
"60",65,"00BB","Unalakleet","F",33,221
"61",655,"0BAB",NA,"F",32,22
"62",67,"00BB","Unalakleet","F",33,221
"63",675,"00BB","Unalakleet","M",32,22
"64",69,"00BB","Unalakleet","M",33,221
"65",695,"0BAB",NA,"F",32,22
"66",71,"00BB","Unalakleet","M",33,221
"67",715,"00BB","Unalakleet","M",32,22
"68",73,"000B",NA,"F",33,221
"69",735,"00BB","Unalakleet","M",32,22
"70",75,"0BBB",NA,"M",33,221
"71",77,"00BB","Unalakleet","M",33,221
"72",775,"000B",NA,"M",32,22
"73",79,"000B",NA,"M",33,221
"74",81,"000B",NA,"F",34,221
"75",815,"00BB","Unalakleet","F",32,22
"76",83,"000B",NA,"M",34,221
"77",835,"00BB","Unalakleet","M",32,22
"78",85,"000B",NA,"M",34,221
"79",855,"000B",NA,"F",32,22
"80",87,"00BB","Unalakleet","F",34,221
"81",875,"0BAB",NA,"M",32,22
"82",89,"00BB","Unalakleet","M",34,221
"83",895,"0BAA","Shaktoolik","F",32,22
"84",91,"000B",NA,"M",34,221
"85",915,"00BA",NA,"F",32,22
"86",93,"0BAX","Transitory","M",34,221
"87",935,"00BB","Unalakleet","M",32,22
"88",95,"000B",NA,"M",34,221
"89",955,"00BB","Unalakleet","F",32,22
"90",97,"00BB","Unalakleet","M",34,221
"91",975,"000B",NA,"M",32,22
"92",99,"000B",NA,"F",34,221
"93",995,"00BB","Unalakleet","M",32,22
"94",11,"BXBX","Transitory","M",34,221
"95",115,"00BB","Unalakleet","M",32,22
"96",13,"00BB","Unalakleet","M",34,221
"97",135,"BBBB","Unalakleet","M",32,22
"98",15,"000B",NA,"M",34,221
"99",155,"BABB","Unalakleet","F",32,22
"100",17,"00BB","Unalakleet","M",34,221
"101",175,"00BB","Unalakleet","F",32,22
"102",19,"00BB","Unalakleet","F",35,221
"103",195,"00BB","Unalakleet","M",32,22
"104",111,"00BB","Unalakleet","F",35,221
"105",1115,"0BAB",NA,"M",32,22
"106",113,"BXBB","Unalakleet","M",35,221
"107",1135,"00BB","Unalakleet","M",32,22
"108",115,"000B",NA,"M",35,221
"109",1155,"BABB","Unalakleet","M",32,22
"110",117,"000B",NA,"M",35,221
"111",1175,"0BAA","Shaktoolik","M",32,22
"112",119,"000B",NA,"M",35,221
"113",1195,"BABB","Unalakleet","M",32,22
"114",121,"00BB","Unalakleet","F",35,221
"115",1215,"00BB","Unalakleet","F",32,22
"116",123,"000B",NA,"M",35,221
"117",1235,"00BB","Unalakleet","M",32,22
"118",125,"00BA",NA,"F",35,221
"119",1255,"BABB","Unalakleet","F",32,22
"120",127,"000B",NA,"M",35,221
"121",1275,"BXBB","Unalakleet","M",32,22
"122",129,"0BAB",NA,"M",35,221
"123",1295,"00BA",NA,"M",32,22
"124",131,"00BB","Unalakleet","M",35,221
"125",1315,"BABB","Unalakleet","M",32,22
"126",133,"000B",NA,"M",35,221
