,par.index,estimate,se
S sA gShaktoolikF c1 a0 o1 t1,1,1,6.02E-12
S sA gShaktoolikF c1 a1 o2 t2,2,0.298494489,0.061962801
S sA gShaktoolikF c1 a2 o3 t3,3,0.119662884,0.039243006
S sA gShaktoolikF c2 a0 o2 t2,4,0.298494489,0.061962801
S sA gShaktoolikF c2 a1 o3 t3,5,0.119662884,0.039243006
S sA gShaktoolikF c3 a0 o3 t3,6,0.119662884,0.039243006
S sB gShaktoolikF c1 a0 o1 t1,7,1,2.02E-11
S sB gShaktoolikF c1 a1 o2 t2,8,0.112402894,0.059835747
S sB gShaktoolikF c1 a2 o3 t3,9,0.038881566,0.023540657
S sB gShaktoolikF c2 a0 o2 t2,10,0.112402894,0.059835747
S sB gShaktoolikF c2 a1 o3 t3,11,0.038881566,0.023540657
S sB gShaktoolikF c3 a0 o3 t3,12,0.038881566,0.023540657
S sX gShaktoolikF c1 a0 o1 t1,13,0.999999999,2.71E-10
S sX gShaktoolikF c1 a1 o2 t2,14,0.009346723,0.00765266
S sX gShaktoolikF c1 a2 o3 t3,15,0.003004941,0.002527326
S sX gShaktoolikF c2 a0 o2 t2,16,0.009346723,0.00765266
S sX gShaktoolikF c2 a1 o3 t3,17,0.003004941,0.002527326
S sX gShaktoolikF c3 a0 o3 t3,18,0.003004941,0.002527326
S sA gTransitoryF c1 a0 o1 t1,19,1,1.45E-13
S sA gTransitoryF c1 a1 o2 t2,20,0.946334191,0.033648276
S sA gTransitoryF c1 a2 o3 t3,21,0.849242289,0.088390255
S sA gTransitoryF c2 a0 o2 t2,22,0.946334191,0.033648276
S sA gTransitoryF c2 a1 o3 t3,23,0.849242289,0.088390255
S sA gTransitoryF c3 a0 o3 t3,24,0.849242289,0.088390255
S sB gTransitoryF c1 a0 o1 t1,25,1,4.88E-13
S sB gTransitoryF c1 a1 o2 t2,26,0.839951698,0.06925223
S sB gTransitoryF c1 a2 o3 t3,27,0.626380376,0.125799483
S sB gTransitoryF c2 a0 o2 t2,28,0.839951698,0.06925223
S sB gTransitoryF c2 a1 o3 t3,29,0.626380376,0.125799483
