"tag.ID","ymd.hms","array","lat","long","sex","species","stock","unix"
75,2020-08-04 09:33:00,"C",63.91225,-160.81984,"F","coho","Unalakleet",1596533580
75,2020-08-04 12:05:00,"5",63.95299,-160.888171,"F","coho","Unalakleet",1596542700
75,2020-08-05 22:14:00,"5",63.953337,-160.876021,"F","coho","Unalakleet",1596665640
75,2020-08-06 16:46:00,"U",63.555623,-161.051248,"F","coho","Unalakleet",1596732360
110,2021-08-04 15:15:00,"C",63.95464,-160.85338,"M","coho","Unalakleet",1628090100
110,2021-08-04 15:39:00,"5",63.953841,-160.857668,"M","coho","Unalakleet",1628091540
110,2021-08-07 08:57:00,"U",63.557764,-161.056892,"M","coho","Unalakleet",1628326620
195,2020-08-05 14:38:00,"C",64.01717,-160.91177,"M","coho","Unalakleet",1596638280
195,2020-08-06 17:10:00,"5",63.953142,-160.882113,"M","coho","Unalakleet",1596733800
195,2020-08-07 07:44:00,"U",63.555623,-161.051248,"M","coho","Unalakleet",1596786240
210,2021-08-08 14:06:00,"C",64.04228,-160.93012,"M","coho","Unalakleet",1628431560
210,2021-08-09 12:15:00,"5",63.953475,-160.869926,"M","coho","Unalakleet",1628511300
210,2021-08-15 14:47:00,"U",63.557764,-161.056892,"M","coho","Unalakleet",1629038820
215,2020-08-05 14:47:00,"C",64.01717,-160.91177,"M","coho","Unalakleet",1596638820
215,2020-08-07 16:53:00,"5",63.95299,-160.888171,"M","coho","Unalakleet",1596819180
215,2020-08-08 10:17:00,"U",63.555623,-161.051248,"M","coho","Unalakleet",1596881820
270,2021-08-08 15:05:00,"C",64.04228,-160.93012,"M","coho","Unalakleet",1628435100
270,2021-08-12 21:55:00,"4",64.131144,-160.970255,"M","coho","Unalakleet",1628805300
270,2021-08-13 22:38:00,"U",63.557764,-161.056892,"M","coho","Unalakleet",1628894280
275,2020-08-05 15:28:00,"C",64.01717,-160.91177,"M","coho","Unalakleet",1596641280
275,2020-08-05 23:22:00,"5",63.95299,-160.888171,"M","coho","Unalakleet",1596669720
275,2020-08-06 15:01:00,"U",63.557764,-161.056892,"M","coho","Unalakleet",1596726060
310,2021-08-08 15:22:00,"C",64.04228,-160.93012,"M","coho","Unalakleet",1628436120
310,2021-08-09 10:37:00,"4",64.131144,-160.970255,"M","coho","Unalakleet",1628505420
310,2021-08-12 06:48:00,"U",63.557764,-161.056892,"M","coho","Unalakleet",1628750880
375,2020-08-05 16:09:00,"C",64.01717,-160.91177,"M","coho","Unalakleet",1596643740
375,2020-08-07 15:21:00,"5",63.953142,-160.882113,"M","coho","Unalakleet",1596813660
375,2020-08-08 08:16:00,"U",63.555623,-161.051248,"M","coho","Unalakleet",1596874560
390,2021-08-09 12:43:00,"C",64.00259,-160.90355,"F","coho","Unalakleet",1628512980
390,2021-08-09 18:13:00,"5",63.953841,-160.857668,"F","coho","Unalakleet",1628532780
390,2021-08-10 11:56:00,"U",63.557764,-161.056892,"F","coho","Unalakleet",1628596560
395,2020-08-05 16:12:00,"C",64.01717,-160.91177,"M","coho","Unalakleet",1596643920
395,2020-08-05 21:02:00,"5",63.95299,-160.888171,"M","coho","Unalakleet",1596661320
395,2020-08-06 15:35:00,"U",63.557764,-161.056892,"M","coho","Unalakleet",1596728100
415,2020-08-05 16:31:00,"C",64.01717,-160.91177,"M","coho","Unalakleet",1596645060
415,2020-08-06 17:22:00,"5",63.953142,-160.882113,"M","coho","Unalakleet",1596734520
415,2020-08-07 22:21:00,"U",63.557764,-161.056892,"M","coho","Unalakleet",1596838860
430,2021-08-09 14:03:00,"C",64.00259,-160.90355,"F","coho","Unalakleet",1628517780
430,2021-08-10 02:44:00,"5",63.953841,-160.857668,"F","coho","Unalakleet",1628563440
430,2021-08-10 14:02:00,"U",63.557764,-161.056892,"F","coho","Unalakleet",1628604120
435,2020-08-05 16:27:00,"C",64.01717,-160.91177,"M","coho","Shaktoolik",1596644820
435,2020-08-11 21:03:00,"4",64.131287,-160.957982,"M","coho","Shaktoolik",1597179780
435,2020-08-12 19:08:00,"S",64.368624,-161.112718,"M","coho","Shaktoolik",1597259280
450,2021-08-09 14:23:00,"C",64.00259,-160.90355,"F","coho","Unalakleet",1628518980
450,2021-08-09 18:42:00,"5",63.953841,-160.857668,"F","coho","Unalakleet",1628534520
450,2021-08-10 11:13:00,"U",63.557764,-161.056892,"F","coho","Unalakleet",1628593980
470,2021-08-09 15:20:00,"C",63.954632,-160.854024,"F","coho","Unalakleet",1628522400
470,2021-08-09 15:28:00,"5",63.953841,-160.857668,"F","coho","Unalakleet",1628522880
470,2021-08-10 13:50:00,"5",63.953475,-160.869926,"F","coho","Unalakleet",1628603400
470,2021-08-15 01:35:00,"U",63.557764,-161.056892,"F","coho","Unalakleet",1628991300
475,2020-08-06 12:03:00,"C",64.03183,-160.92131,"F","coho","Unalakleet",1596715380
475,2020-08-09 10:44:00,"4",64.130941,-160.982481,"F","coho","Unalakleet",1596969840
475,2020-08-09 21:18:00,"5",63.95299,-160.888171,"F","coho","Unalakleet",1597007880
475,2020-08-10 17:25:00,"U",63.557764,-161.056892,"F","coho","Unalakleet",1597080300
490,2021-08-09 15:46:00,"C",63.954632,-160.854024,"M","coho","Unalakleet",1628523960
490,2021-08-09 15:53:00,"5",63.953841,-160.857668,"M","coho","Unalakleet",1628524380
490,2021-08-11 13:54:00,"U",63.557764,-161.056892,"M","coho","Unalakleet",1628690040
510,2021-08-09 15:56:00,"C",63.954632,-160.854024,"F","coho","Unalakleet",1628524560
510,2021-08-09 16:07:00,"5",63.953841,-160.857668,"F","coho","Unalakleet",1628525220
510,2021-08-10 09:13:00,"5",63.953841,-160.857668,"F","coho","Unalakleet",1628586780
510,2021-08-12 20:30:00,"U",63.557764,-161.056892,"F","coho","Unalakleet",1628800200
515,2020-08-06 12:57:00,"C",64.01718,-160.91241,"F","coho","Unalakleet",1596718620
515,2020-08-07 08:54:00,"4",64.131287,-160.957982,"F","coho","Unalakleet",1596790440
515,2020-08-12 21:28:00,"4",64.131287,-160.957982,"F","coho","Unalakleet",1597267680
515,2020-08-13 09:28:00,"5",63.953142,-160.882113,"F","coho","Unalakleet",1597310880
515,2020-08-13 17:11:00,"U",63.555623,-161.051248,"F","coho","Unalakleet",1597338660
535,2020-08-06 13:14:00,"C",64.01718,-160.91241,"M","coho","Unalakleet",1596719640
535,2020-08-09 23:52:00,"E",64.039991,-160.900489,"M","coho","Unalakleet",1597017120
555,2020-08-06 13:29:00,"C",64.01718,-160.91241,"F","coho","Unalakleet",1596720540
555,2020-08-07 19:57:00,"5",63.95299,-160.888171,"F","coho","Unalakleet",1596830220
555,2020-08-08 09:42:00,"U",63.555623,-161.051248,"F","coho","Unalakleet",1596879720
570,2021-08-09 16:29:00,"C",63.954632,-160.854024,"M","coho","Unalakleet",1628526540
570,2021-08-09 16:36:00,"5",63.953841,-160.857668,"M","coho","Unalakleet",1628526960
570,2021-08-10 19:25:00,"U",63.557764,-161.056892,"M","coho","Unalakleet",1628623500
575,2020-08-06 13:38:00,"C",64.01718,-160.91241,"M","coho","Unalakleet",1596721080
575,2020-08-08 14:12:00,"5",63.95299,-160.888171,"M","coho","Unalakleet",1596895920
575,2020-08-09 06:40:00,"U",63.555623,-161.051248,"M","coho","Unalakleet",1596955200
590,2021-08-10 10:45:00,"C",63.95564,-160.85443,"M","coho","Unalakleet",1628592300
590,2021-08-10 11:19:00,"5",63.953475,-160.869926,"M","coho","Unalakleet",1628594340
590,2021-08-13 23:09:00,"U",63.557764,-161.056892,"M","coho","Unalakleet",1628896140
610,2021-08-10 11:12:00,"C",63.95564,-160.85443,"F","coho","Unalakleet",1628593920
610,2021-08-10 11:22:00,"5",63.953841,-160.857668,"F","coho","Unalakleet",1628594520
610,2021-08-11 07:21:00,"U",63.557764,-161.056892,"F","coho","Unalakleet",1628666460
615,2020-08-06 13:44:00,"C",64.01718,-160.91241,"M","coho","Unalakleet",1596721440
615,2020-08-06 18:40:00,"4",64.131052,-160.976405,"M","coho","Unalakleet",1596739200
615,2020-08-08 01:26:00,"4",64.131239,-160.964123,"M","coho","Unalakleet",1596849960
615,2020-08-08 11:12:00,"5",63.95299,-160.888171,"M","coho","Unalakleet",1596885120
615,2020-08-08 18:39:00,"U",63.557764,-161.056892,"M","coho","Unalakleet",1596911940
630,2021-08-10 12:08:00,"C",63.95564,-160.85443,"M","coho","Unalakleet",1628597280
630,2021-08-10 12:17:00,"5",63.953475,-160.869926,"M","coho","Unalakleet",1628597820
630,2021-08-11 04:01:00,"5",63.953841,-160.857668,"M","coho","Unalakleet",1628654460
630,2021-08-11 23:12:00,"U",63.557764,-161.056892,"M","coho","Unalakleet",1628723520
650,2021-08-10 13:08:00,"C",63.95564,-160.85443,"F","coho","Unalakleet",1628600880
650,2021-08-10 13:20:00,"5",63.953841,-160.857668,"F","coho","Unalakleet",1628601600
650,2021-08-11 05:53:00,"U",63.557764,-161.056892,"F","coho","Unalakleet",1628661180
670,2021-08-10 13:18:00,"C",63.95564,-160.85443,"F","coho","Unalakleet",1628601480
670,2021-08-10 14:38:00,"5",63.95299,-160.888171,"F","coho","Unalakleet",1628606280
670,2021-08-11 13:20:00,"U",63.557764,-161.056892,"F","coho","Unalakleet",1628688000
675,2020-08-06 13:58:00,"C",64.01718,-160.91241,"M","coho","Unalakleet",1596722280
675,2020-08-06 22:53:00,"5",63.95299,-160.888171,"M","coho","Unalakleet",1596754380
675,2020-08-07 09:24:00,"U",63.555623,-161.051248,"M","coho","Unalakleet",1596792240
690,2021-08-10 14:07:00,"C",63.91186,-160.81835,"M","coho","Unalakleet",1628604420
690,2021-08-11 15:41:00,"U",63.557764,-161.056892,"M","coho","Unalakleet",1628696460
710,2021-08-10 14:32:00,"C",63.91186,-160.81835,"M","coho","Unalakleet",1628605920
710,2021-08-14 21:40:00,"U",63.557764,-161.056892,"M","coho","Unalakleet",1628977200
715,2020-08-06 14:30:00,"C",64.01718,-160.91241,"M","coho","Unalakleet",1596724200
715,2020-08-07 14:29:00,"5",63.953142,-160.882113,"M","coho","Unalakleet",1596810540
715,2020-08-07 22:24:00,"U",63.555623,-161.051248,"M","coho","Unalakleet",1596839040
735,2020-08-06 14:45:00,"C",64.01718,-160.91241,"M","coho","Unalakleet",1596725100
735,2020-08-06 19:19:00,"5",63.953142,-160.882113,"M","coho","Unalakleet",1596741540
735,2020-08-07 06:10:00,"U",63.555623,-161.051248,"M","coho","Unalakleet",1596780600
770,2021-08-12 10:16:00,"C",63.91186,-160.81835,"M","coho","Unalakleet",1628763360
770,2021-08-12 10:30:00,"5",63.953644,-160.863799,"M","coho","Unalakleet",1628764200
770,2021-08-12 22:12:00,"5",63.95299,-160.888171,"M","coho","Unalakleet",1628806320
770,2021-08-13 09:44:00,"5",63.953841,-160.857668,"M","coho","Unalakleet",1628847840
770,2021-08-14 19:41:00,"U",63.557764,-161.056892,"M","coho","Unalakleet",1628970060
815,2020-08-03 14:30:00,"C",63.95282,-160.85172,"F","coho","Unalakleet",1596465000
815,2020-08-03 15:35:00,"5",63.953142,-160.882113,"F","coho","Unalakleet",1596468900
815,2020-08-04 11:43:00,"5",63.953337,-160.876021,"F","coho","Unalakleet",1596541380
815,2020-08-07 02:00:00,"U",63.555623,-161.051248,"F","coho","Unalakleet",1596765600
835,2020-08-03 14:51:00,"C",63.95282,-160.85172,"M","coho","Unalakleet",1596466260
835,2020-08-03 15:02:00,"5",63.953142,-160.882113,"M","coho","Unalakleet",1596466920
835,2020-08-06 15:54:00,"U",63.557764,-161.056892,"M","coho","Unalakleet",1596729240
870,2021-08-17 10:24:00,"C",63.94366,-160.84396,"F","coho","Unalakleet",1629195840
870,2021-08-21 10:05:00,"U",63.557764,-161.056892,"F","coho","Unalakleet",1629540300
890,2021-08-17 10:05:00,"C",63.94366,-160.84396,"M","coho","Unalakleet",1629194700
890,2021-08-18 16:19:00,"6",63.692109,-160.888144,"M","coho","Unalakleet",1629303540
890,2021-08-19 23:14:00,"U",63.557764,-161.056892,"M","coho","Unalakleet",1629414840
895,2020-08-07 10:26:00,"C",64.0169,-160.91451,"F","coho","Shaktoolik",1596795960
895,2020-08-07 19:33:00,"5",63.95299,-160.888171,"F","coho","Shaktoolik",1596828780
895,2020-08-08 17:37:00,"5",63.953142,-160.882113,"F","coho","Shaktoolik",1596908220
895,2020-08-09 08:00:00,"5",63.953841,-160.857668,"F","coho","Shaktoolik",1596960000
895,2020-08-12 16:23:00,"4",64.130854,-160.98861,"F","coho","Shaktoolik",1597249380
895,2020-08-15 05:43:00,"S",64.368624,-161.112718,"F","coho","Shaktoolik",1597470180
930,2021-08-17 11:43:00,"C",63.94366,-160.84396,"M","coho","Transitory",1629200580
930,2021-08-22 09:18:00,"U",63.557764,-161.056892,"M","coho","Transitory",1629623880
930,2021-08-28 15:43:00,"4",64.131052,-160.976405,"M","coho","Transitory",1630165380
930,2021-08-30 03:24:00,"2",64.545967,-161.384115,"M","coho","Transitory",1630293840
935,2020-08-07 10:28:00,"C",64.0169,-160.91451,"M","coho","Unalakleet",1596796080
935,2020-08-07 20:43:00,"5",63.953841,-160.857668,"M","coho","Unalakleet",1596832980
935,2020-08-08 13:31:00,"U",63.555623,-161.051248,"M","coho","Unalakleet",1596893460
