tag.ID,power,array,rec,ymd.hms,unix
75,830,5,6,8/4/2020 12:05,1596571540
75,1557,5,4,8/5/2020 22:14,1596694475
75,1554,U,2,8/6/2020 16:46,1596761217
95,120,5,2,8/4/2020 18:12,1596593533
95,79,4,4,8/8/2020 17:49,1596937746
95,1177,4,1,8/11/2020 12:45,1597178757
95,650,5,5,8/12/2020 14:02,1597269729
110,1554,5,1,8/4/2021 15:39,1628120353
110,1518,U,1,8/7/2021 8:57,1628355439
115,848,5,2,8/4/2020 15:30,1596583818
115,1569,4,3,8/5/2020 17:53,1596678837
130,1164,5,1,8/4/2021 15:31,1628119891
130,1409,5,2,8/5/2021 15:22,1628205723
130,332,7,6,8/6/2021 17:13,1628298814
130,220,6,1,8/7/2021 2:07,1628330863
150,1385,5,1,8/4/2021 15:57,1628121446
150,1530,U,1,8/5/2021 20:25,1628223924
150,761,U,1,8/6/2021 15:20,1628292042
150,798,5,3,8/7/2021 23:58,1628409480
150,8,4,2,8/8/2021 9:12,1628442736
170,65,5,1,8/9/2021 14:50,1628549400
170,2,5,2,8/10/2021 13:48,1628632086
175,1528,4,1,8/8/2020 21:49,1596952185
195,1564,5,5,8/6/2020 17:10,1596762613
195,1514,U,2,8/7/2020 7:44,1596815075
210,43,5,3,8/9/2021 12:15,1628540119
210,1198,U,1,8/15/2021 14:47,1629067664
215,454,5,6,8/7/2020 16:53,1596848028
215,1471,U,2,8/8/2020 10:17,1596910634
235,54,4,6,8/6/2020 15:57,1596758262
250,1502,5,2,8/9/2021 7:04,1628521444
270,87,4,3,8/12/2021 21:55,1628834117
270,1076,U,1,8/13/2021 22:38,1628923118
275,1526,5,6,8/5/2020 23:22,1596698532
275,1554,U,1,8/6/2020 15:01,1596754873
310,78,4,3,8/9/2021 10:37,1628534243
310,1532,U,1,8/12/2021 6:48,1628779735
355,222,5,6,8/6/2020 9:32,1596735161
370,845,4,3,8/11/2021 0:52,1628671925
375,1497,5,5,8/7/2020 15:21,1596842466
375,1540,U,2,8/8/2020 8:16,1596903369
390,1430,5,1,8/9/2021 18:13,1628561607
390,1530,U,1,8/10/2021 11:56,1628625392
395,1237,5,6,8/5/2020 21:02,1596690175
395,1557,U,1,8/6/2020 15:35,1596756940
410,658,5,2,8/11/2021 9:13,1628702032
410,1536,4,3,8/14/2021 8:37,1628959061
415,100,5,5,8/6/2020 17:22,1596763332
415,1527,U,1,8/7/2020 22:21,1596867686
430,514,5,1,8/10/2021 2:44,1628592294
430,260,U,1,8/10/2021 14:02,1628632930
435,806,4,1,8/11/2020 21:03,1597208620
435,1549,S,1,8/12/2020 19:08,1597288114
450,72,5,1,8/9/2021 18:42,1628563331
450,428,U,1,8/10/2021 11:13,1628622810
455,1489,4,1,8/6/2020 11:26,1596742008
470,1514,5,1,8/9/2021 15:28,1628551727
470,71,5,3,8/10/2021 13:50,1628632231
470,474,U,1,8/15/2021 1:35,1629020100
475,808,4,5,8/9/2020 10:44,1596998695
475,1486,5,6,8/9/2020 21:18,1597036707
475,1551,U,1,8/10/2020 17:25,1597109157
490,870,5,1,8/9/2021 15:53,1628553186
490,1083,U,1,8/11/2021 13:54,1628718891
495,1533,4,2,8/6/2020 19:00,1596769250
495,1535,4,3,8/8/2020 14:39,1596926375
495,706,5,4,8/8/2020 23:02,1596956573
510,1550,5,1,8/9/2021 16:07,1628554046
510,805,5,1,8/10/2021 9:13,1628615598
510,1516,U,1,8/12/2021 20:30,1628829009
515,403,4,1,8/7/2020 8:54,1596819259
