mdy,hour,Array,yday,dist,freq,prop,u,v,sea_level,temp
7/17/2020,19,Point Dexter,199,1200,35,0.579166667,-1.335853396,0.118511245,0.017,21.581
7/17/2020,19,Point Dexter,199,1500,8,0.125,-1.335853396,0.118511245,0.017,21.581
7/17/2020,19,Point Dexter,199,600,51,0.844444444,-1.335853396,0.118511245,0.017,21.581
7/17/2020,19,Point Dexter,199,300,49,0.816666667,-1.335853396,0.118511245,0.017,21.581
7/17/2020,19,Bald Head,199,300,37,0.618518519,-1.335853396,0.118511245,0.017,21.581
7/17/2020,19,Bald Head,199,1500,4,0.066666667,-1.335853396,0.118511245,0.017,21.581
7/17/2020,19,Bald Head,199,900,37,0.616666667,-1.335853396,0.118511245,0.017,21.581
7/17/2020,19,Bald Head,199,600,44,0.733333333,-1.335853396,0.118511245,0.017,21.581
7/17/2020,19,Bald Head,199,1200,9,0.15,-1.335853396,0.118511245,0.017,21.581
7/17/2020,19,Point Dexter,199,900,50,0.836666667,-1.335853396,0.118511245,0.017,21.581
7/17/2020,9,Point Dexter,199,900,38,0.633333333,2.200290536,-0.3934979,1.169,19.912
7/17/2020,9,Point Dexter,199,1500,4,0.066666667,2.200290536,-0.3934979,1.169,19.912
7/17/2020,9,Bald Head,199,1200,2,0.027777778,2.200290536,-0.3934979,1.169,19.912
7/17/2020,9,Bald Head,199,900,15,0.243333333,2.200290536,-0.3934979,1.169,19.912
7/17/2020,9,Point Dexter,199,300,42,0.691666667,2.200290536,-0.3934979,1.169,19.912
7/17/2020,9,Bald Head,199,1500,0,0,2.200290536,-0.3934979,1.169,19.912
7/17/2020,9,Bald Head,199,600,13,0.221428571,2.200290536,-0.3934979,1.169,19.912
7/17/2020,9,Point Dexter,199,1200,34,0.570833333,2.200290536,-0.3934979,1.169,19.912
7/17/2020,9,Bald Head,199,300,13,0.222222222,2.200290536,-0.3934979,1.169,19.912
7/17/2020,9,Point Dexter,199,600,42,0.691666667,2.200290536,-0.3934979,1.169,19.912
7/18/2020,20,Point Dexter,200,1200,5,0.0875,-1.602445673,3.197200268,-0.095,19.793
7/18/2020,20,Bald Head,200,1200,8,0.138888889,-1.602445673,3.197200268,-0.095,19.793
7/18/2020,20,Point Dexter,200,300,55,0.914583333,-1.602445673,3.197200268,-0.095,19.793
7/18/2020,20,Bald Head,200,900,35,0.59,-1.602445673,3.197200268,-0.095,19.793
7/18/2020,20,Bald Head,200,1500,0,0,-1.602445673,3.197200268,-0.095,19.793
7/18/2020,20,Bald Head,200,300,47,0.783333333,-1.602445673,3.197200268,-0.095,19.793
7/18/2020,20,Point Dexter,200,900,23,0.386666667,-1.602445673,3.197200268,-0.095,19.793
7/18/2020,20,Point Dexter,200,600,46,0.761111111,-1.602445673,3.197200268,-0.095,19.793
7/18/2020,20,Point Dexter,200,1500,0,0,-1.602445673,3.197200268,-0.095,19.793
7/18/2020,20,Bald Head,200,600,39,0.65,-1.602445673,3.197200268,-0.095,19.793
7/18/2020,9,Point Dexter,200,900,17,0.276666667,2.200290536,-0.3934979,1.257,19.865
7/18/2020,9,Point Dexter,200,600,38,0.625,2.200290536,-0.3934979,1.257,19.865
7/18/2020,9,Bald Head,200,300,16,0.272222222,2.200290536,-0.3934979,1.257,19.865
7/18/2020,9,Bald Head,200,900,38,0.636666667,2.200290536,-0.3934979,1.257,19.865
7/18/2020,9,Point Dexter,200,1200,16,0.266666667,2.200290536,-0.3934979,1.257,19.865
7/18/2020,9,Bald Head,200,600,26,0.433333333,2.200290536,-0.3934979,1.257,19.865
7/18/2020,9,Point Dexter,200,300,46,0.758333333,2.200290536,-0.3934979,1.257,19.865
7/18/2020,9,Bald Head,200,1200,27,0.444444444,2.200290536,-0.3934979,1.257,19.865
7/18/2020,9,Point Dexter,200,1500,2,0.025,2.200290536,-0.3934979,1.257,19.865
7/18/2020,9,Bald Head,200,1500,6,0.1,2.200290536,-0.3934979,1.257,19.865
7/19/2020,10,Point Dexter,201,600,35,0.580555556,2.200290536,-0.3934979,1.332,19.579
7/19/2020,10,Bald Head,201,900,39,0.65,2.200290536,-0.3934979,1.332,19.579
7/19/2020,10,Bald Head,201,1500,1,0.016666667,2.200290536,-0.3934979,1.332,19.579
7/19/2020,10,Bald Head,201,1200,25,0.416666667,2.200290536,-0.3934979,1.332,19.579
7/19/2020,10,Point Dexter,201,1500,4,0.075,2.200290536,-0.3934979,1.332,19.579
7/19/2020,10,Bald Head,201,300,21,0.357407407,2.200290536,-0.3934979,1.332,19.579
7/19/2020,10,Point Dexter,201,900,36,0.603333333,2.200290536,-0.3934979,1.332,19.579
7/19/2020,10,Point Dexter,201,1200,32,0.533333333,2.200290536,-0.3934979,1.332,19.579
7/19/2020,10,Point Dexter,201,300,33,0.55625,2.200290536,-0.3934979,1.332,19.579
7/19/2020,10,Bald Head,201,600,25,0.421428571,2.200290536,-0.3934979,1.332,19.579
7/19/2020,20,Bald Head,201,600,29,0.488095238,-1.602445673,3.197200268,-0.185,20.913
7/19/2020,20,Point Dexter,201,900,54,0.9,-1.602445673,3.197200268,-0.185,20.913
7/19/2020,20,Bald Head,201,1200,32,0.527777778,-1.602445673,3.197200268,-0.185,20.913
7/19/2020,20,Point Dexter,201,1500,7,0.116666667,-1.602445673,3.197200268,-0.185,20.913
7/19/2020,20,Point Dexter,201,300,46,0.7625,-1.602445673,3.197200268,-0.185,20.913
7/19/2020,20,Point Dexter,201,600,47,0.777777778,-1.602445673,3.197200268,-0.185,20.913
7/19/2020,20,Bald Head,201,300,38,0.627777778,-1.602445673,3.197200268,-0.185,20.913
7/19/2020,20,Bald Head,201,1500,2,0.033333333,-1.602445673,3.197200268,-0.185,20.913
7/19/2020,20,Bald Head,201,900,46,0.763333333,-1.602445673,3.197200268,-0.185,20.913
7/19/2020,20,Point Dexter,201,1200,41,0.679166667,-1.602445673,3.197200268,-0.185,20.913
7/20/2020,11,Point Dexter,202,600,34,0.558333333,1.409018638,2.282293434,1.391,19.674
7/20/2020,11,Bald Head,202,1500,0,0,1.409018638,2.282293434,1.391,19.674
7/20/2020,11,Bald Head,202,600,21,0.357142857,1.409018638,2.282293434,1.391,19.674
7/20/2020,11,Point Dexter,202,900,35,0.576666667,1.409018638,2.282293434,1.391,19.674
7/20/2020,11,Bald Head,202,900,27,0.446666667,1.409018638,2.282293434,1.391,19.674
7/20/2020,11,Point Dexter,202,1200,40,0.670833333,1.409018638,2.282293434,1.391,19.674
7/20/2020,11,Point Dexter,202,1500,2,0.025,1.409018638,2.282293434,1.391,19.674
7/20/2020,11,Bald Head,202,1200,5,0.077777778,1.409018638,2.282293434,1.391,19.674
7/20/2020,11,Bald Head,202,300,27,0.442592593,1.409018638,2.282293434,1.391,19.674
7/20/2020,11,Point Dexter,202,300,32,0.535416667,1.409018638,2.282293434,1.391,19.674
