mdy,hour,Array,yday,dist,freq,prop,temp
7/23/2020,1,Junction Creek,205,300,34,0.56,14.76777778
7/23/2020,1,Junction Creek,205,600,39,0.64375,14.76777778
7/23/2020,1,Junction Creek,205,900,27,0.455555556,14.76777778
7/23/2020,1,Junction Creek,205,1200,14,0.233333333,14.76777778
7/23/2020,1,Junction Creek,205,1500,0,0,14.76777778
7/23/2020,10,Junction Creek,205,300,36,0.598333333,14.60111111
7/23/2020,10,Junction Creek,205,600,36,0.608333333,14.60111111
7/23/2020,10,Junction Creek,205,900,14,0.236111111,14.60111111
7/23/2020,10,Junction Creek,205,1200,3,0.045833333,14.60111111
7/23/2020,10,Junction Creek,205,1500,0,0,14.60111111
7/23/2020,11,Junction Creek,205,300,24,0.405,14.48111111
7/23/2020,11,Junction Creek,205,600,30,0.495833333,14.48111111
7/23/2020,11,Junction Creek,205,900,12,0.197222222,14.48111111
7/23/2020,11,Junction Creek,205,1200,1,0.0125,14.48111111
7/23/2020,11,Junction Creek,205,1500,0,0,14.48111111
7/23/2020,12,Junction Creek,205,300,15,0.246666667,14.29
7/23/2020,12,Junction Creek,205,600,19,0.320833333,14.29
7/23/2020,12,Junction Creek,205,900,7,0.122222222,14.29
7/23/2020,12,Junction Creek,205,1200,0,0,14.29
7/23/2020,12,Junction Creek,205,1500,0,0,14.29
7/23/2020,13,Junction Creek,205,300,16,0.26,13.88222222
7/23/2020,13,Junction Creek,205,600,9,0.14375,13.88222222
7/23/2020,13,Junction Creek,205,900,3,0.047222222,13.88222222
7/23/2020,13,Junction Creek,205,1200,0,0,13.88222222
7/23/2020,13,Junction Creek,205,1500,0,0,13.88222222
7/23/2020,14,Junction Creek,205,300,8,0.138333333,14.14611111
7/23/2020,14,Junction Creek,205,600,2,0.027083333,14.14611111
7/23/2020,14,Junction Creek,205,900,0,0,14.14611111
7/23/2020,14,Junction Creek,205,1200,0,0,14.14611111
7/23/2020,14,Junction Creek,205,1500,0,0,14.14611111
7/23/2020,15,Junction Creek,205,300,6,0.1,14.29
7/23/2020,15,Junction Creek,205,600,2,0.039583333,14.29
7/23/2020,15,Junction Creek,205,900,0,0,14.29
7/23/2020,15,Junction Creek,205,1200,0,0,14.29
7/23/2020,15,Junction Creek,205,1500,0,0,14.29
7/23/2020,16,Junction Creek,205,300,4,0.071666667,14.57722222
7/23/2020,16,Junction Creek,205,600,3,0.05,14.57722222
7/23/2020,16,Junction Creek,205,900,0,0.005555556,14.57722222
7/23/2020,16,Junction Creek,205,1200,0,0,14.57722222
7/23/2020,16,Junction Creek,205,1500,0,0,14.57722222
7/23/2020,17,Junction Creek,205,300,7,0.121666667,14.745
7/23/2020,17,Junction Creek,205,600,6,0.102083333,14.745
7/23/2020,17,Junction Creek,205,900,1,0.011111111,14.745
7/23/2020,17,Junction Creek,205,1200,0,0,14.745
7/23/2020,17,Junction Creek,205,1500,0,0,14.745
7/23/2020,18,Junction Creek,205,300,17,0.29,14.79222222
7/23/2020,18,Junction Creek,205,600,10,0.16875,14.79222222
7/23/2020,18,Junction Creek,205,900,3,0.055555556,14.79222222
7/23/2020,18,Junction Creek,205,1200,0,0,14.79222222
7/23/2020,18,Junction Creek,205,1500,0,0,14.79222222
7/23/2020,19,Junction Creek,205,300,14,0.23,14.67277778
7/23/2020,19,Junction Creek,205,600,8,0.127083333,14.67277778
7/23/2020,19,Junction Creek,205,900,2,0.041666667,14.67277778
7/23/2020,19,Junction Creek,205,1200,0,0.008333333,14.67277778
7/23/2020,19,Junction Creek,205,1500,0,0,14.67277778
7/23/2020,2,Junction Creek,205,300,33,0.55,14.72111111
7/23/2020,2,Junction Creek,205,600,30,0.504166667,14.72111111
7/23/2020,2,Junction Creek,205,900,18,0.3,14.72111111
7/23/2020,2,Junction Creek,205,1200,7,0.120833333,14.72111111
7/23/2020,2,Junction Creek,205,1500,0,0,14.72111111
7/23/2020,20,Junction Creek,205,300,12,0.193333333,14.14611111
7/23/2020,20,Junction Creek,205,600,7,0.110416667,14.14611111
7/23/2020,20,Junction Creek,205,900,3,0.05,14.14611111
7/23/2020,20,Junction Creek,205,1200,2,0.025,14.14611111
7/23/2020,20,Junction Creek,205,1500,0,0,14.14611111
7/23/2020,21,Junction Creek,205,300,24,0.393333333,13.85777778
7/23/2020,21,Junction Creek,205,600,12,0.208333333,13.85777778
7/23/2020,21,Junction Creek,205,900,2,0.027777778,13.85777778
7/23/2020,21,Junction Creek,205,1200,1,0.0125,13.85777778
7/23/2020,21,Junction Creek,205,1500,0,0,13.85777778
7/23/2020,22,Junction Creek,205,300,21,0.346666667,14.00222222
7/23/2020,22,Junction Creek,205,600,18,0.29375,14.00222222
7/23/2020,22,Junction Creek,205,900,3,0.055555556,14.00222222
7/23/2020,22,Junction Creek,205,1200,0,0,14.00222222
7/23/2020,22,Junction Creek,205,1500,0,0,14.00222222
7/23/2020,23,Junction Creek,205,300,21,0.35,13.95388889
7/23/2020,23,Junction Creek,205,600,27,0.445833333,13.95388889
7/23/2020,23,Junction Creek,205,900,11,0.183333333,13.95388889
7/23/2020,23,Junction Creek,205,1200,2,0.0375,13.95388889
7/23/2020,23,Junction Creek,205,1500,0,0,13.95388889
7/23/2020,3,Junction Creek,205,300,32,0.526666667,14.76777778
7/23/2020,3,Junction Creek,205,600,32,0.541666667,14.76777778
7/23/2020,3,Junction Creek,205,900,14,0.238888889,14.76777778
7/23/2020,3,Junction Creek,205,1200,2,0.025,14.76777778
7/23/2020,3,Junction Creek,205,1500,0,0,14.76777778
7/23/2020,4,Junction Creek,205,300,34,0.56,14.72111111
7/23/2020,4,Junction Creek,205,600,32,0.53125,14.72111111
7/23/2020,4,Junction Creek,205,900,18,0.308333333,14.72111111
7/23/2020,4,Junction Creek,205,1200,0,0,14.72111111
7/23/2020,4,Junction Creek,205,1500,0,0,14.72111111
7/23/2020,5,Junction Creek,205,300,39,0.648333333,14.69722222
7/23/2020,5,Junction Creek,205,600,39,0.652083333,14.69722222
7/23/2020,5,Junction Creek,205,900,18,0.3,14.69722222
7/23/2020,5,Junction Creek,205,1200,0,0.004166667,14.69722222
7/23/2020,5,Junction Creek,205,1500,0,0,14.69722222
7/23/2020,6,Junction Creek,205,300,44,0.735,14.67277778
7/23/2020,6,Junction Creek,205,600,35,0.583333333,14.67277778
7/23/2020,6,Junction Creek,205,900,16,0.266666667,14.67277778
7/23/2020,6,Junction Creek,205,1200,0,0.008333333,14.67277778
7/23/2020,6,Junction Creek,205,1500,0,0,14.67277778
7/23/2020,7,Junction Creek,205,300,43,0.715,14.60111111
7/23/2020,7,Junction Creek,205,600,31,0.514583333,14.60111111
7/23/2020,7,Junction Creek,205,900,11,0.180555556,14.60111111
7/23/2020,7,Junction Creek,205,1200,1,0.0125,14.60111111
7/23/2020,7,Junction Creek,205,1500,0,0,14.60111111
7/23/2020,8,Junction Creek,205,300,43,0.718333333,14.98388889
7/23/2020,8,Junction Creek,205,600,34,0.570833333,14.98388889
7/23/2020,8,Junction Creek,205,900,14,0.236111111,14.98388889
7/23/2020,8,Junction Creek,205,1200,3,0.045833333,14.98388889
7/23/2020,8,Junction Creek,205,1500,0,0,14.98388889
7/23/2020,9,Junction Creek,205,300,41,0.688333333,14.745
7/23/2020,9,Junction Creek,205,600,36,0.59375,14.745
7/23/2020,9,Junction Creek,205,900,15,0.255555556,14.745
7/23/2020,9,Junction Creek,205,1200,2,0.0375,14.745
7/23/2020,9,Junction Creek,205,1500,0,0,14.745
7/24/2020,0,Junction Creek,206,300,20,0.328333333,13.95388889
7/24/2020,0,Junction Creek,206,600,46,0.7625,13.95388889
7/24/2020,0,Junction Creek,206,900,24,0.402777778,13.95388889
7/24/2020,0,Junction Creek,206,1200,9,0.145833333,13.95388889
7/24/2020,0,Junction Creek,206,1500,0,0,13.95388889
7/24/2020,1,Junction Creek,206,300,24,0.395,13.76222222
7/24/2020,1,Junction Creek,206,600,42,0.704166667,13.76222222
7/24/2020,1,Junction Creek,206,900,23,0.383333333,13.76222222
7/24/2020,1,Junction Creek,206,1200,2,0.029166667,13.76222222
7/24/2020,1,Junction Creek,206,1500,0,0,13.76222222
7/24/2020,10,Junction Creek,206,300,24,0.396666667,14.385
7/24/2020,10,Junction Creek,206,600,22,0.3625,14.385
7/24/2020,10,Junction Creek,206,900,3,0.05,14.385
