mdy,hour,Array,yday,dist,freq,prop,u,v,sea_level,temp
7/23/2020,13,Cape Denbeigh,205,900,0,0,5.607919374,-1.52479671,1.394,14.481
7/23/2020,13,Cape Denbeigh,205,1200,0,0,5.607919374,-1.52479671,1.394,14.481
7/23/2020,13,Cape Denbeigh,205,1500,0,0,5.607919374,-1.52479671,1.394,14.481
7/23/2020,13,Junction Creek,205,600,9,0.14375,5.607919374,-1.52479671,1.394,13.88222222
7/23/2020,13,Junction Creek,205,900,3,0.047222222,5.607919374,-1.52479671,1.394,13.88222222
7/23/2020,13,Junction Creek,205,300,16,0.26,5.607919374,-1.52479671,1.394,13.88222222
7/23/2020,13,Junction Creek,205,1200,0,0,5.607919374,-1.52479671,1.394,13.88222222
7/23/2020,13,Junction Creek,205,1500,0,0,5.607919374,-1.52479671,1.394,13.88222222
7/23/2020,13,Cape Denbeigh,205,600,12,0.2,5.607919374,-1.52479671,1.394,14.481
7/23/2020,13,Cape Denbeigh,205,300,60,1,5.607919374,-1.52479671,1.394,14.481
7/23/2020,22,Junction Creek,205,900,3,0.055555556,-3.279627902,3.66404926,-0.281,14.00222222
7/23/2020,22,Junction Creek,205,600,18,0.29375,-3.279627902,3.66404926,-0.281,14.00222222
7/23/2020,22,Junction Creek,205,300,21,0.346666667,-3.279627902,3.66404926,-0.281,14.00222222
7/23/2020,22,Cape Denbeigh,205,1500,0,0,-3.279627902,3.66404926,-0.281,14.266
7/23/2020,22,Junction Creek,205,1200,0,0,-3.279627902,3.66404926,-0.281,14.00222222
7/23/2020,22,Junction Creek,205,1500,0,0,-3.279627902,3.66404926,-0.281,14.00222222
7/23/2020,22,Cape Denbeigh,205,300,60,1,-3.279627902,3.66404926,-0.281,14.266
7/23/2020,22,Cape Denbeigh,205,600,44,0.725,-3.279627902,3.66404926,-0.281,14.266
7/23/2020,22,Cape Denbeigh,205,900,5,0.077777778,-3.279627902,3.66404926,-0.281,14.266
7/23/2020,22,Cape Denbeigh,205,1200,0,0,-3.279627902,3.66404926,-0.281,14.266
7/24/2020,13,Junction Creek,206,300,38,0.638333333,1.602010023,4.649169823,1.301,14.45722222
7/24/2020,13,Junction Creek,206,1200,0,0.004166667,1.602010023,4.649169823,1.301,14.45722222
7/24/2020,13,Cape Denbeigh,206,1500,0,0,1.602010023,4.649169823,1.301,14.05
7/24/2020,13,Cape Denbeigh,206,1200,0,0,1.602010023,4.649169823,1.301,14.05
7/24/2020,13,Junction Creek,206,1500,0,0,1.602010023,4.649169823,1.301,14.45722222
7/24/2020,13,Cape Denbeigh,206,900,3,0.05,1.602010023,4.649169823,1.301,14.05
7/24/2020,13,Cape Denbeigh,206,600,14,0.233333333,1.602010023,4.649169823,1.301,14.05
7/24/2020,13,Junction Creek,206,600,30,0.491666667,1.602010023,4.649169823,1.301,14.45722222
7/24/2020,13,Junction Creek,206,900,16,0.275,1.602010023,4.649169823,1.301,14.45722222
7/24/2020,13,Cape Denbeigh,206,300,58,0.966666667,1.602010023,4.649169823,1.301,14.05
7/24/2020,22,Cape Denbeigh,206,300,58,0.958333333,-0.979277988,0.916306432,-0.231,14.074
7/24/2020,22,Cape Denbeigh,206,1200,7,0.116666667,-0.979277988,0.916306432,-0.231,14.074
7/24/2020,22,Cape Denbeigh,206,1500,1,0.016666667,-0.979277988,0.916306432,-0.231,14.074
7/24/2020,22,Junction Creek,206,300,24,0.403333333,-0.979277988,0.916306432,-0.231,14.67277778
7/24/2020,22,Cape Denbeigh,206,900,23,0.377777778,-0.979277988,0.916306432,-0.231,14.074
7/24/2020,22,Junction Creek,206,1200,34,0.566666667,-0.979277988,0.916306432,-0.231,14.67277778
7/24/2020,22,Junction Creek,206,1500,21,0.35,-0.979277988,0.916306432,-0.231,14.67277778
7/24/2020,22,Junction Creek,206,600,38,0.629166667,-0.979277988,0.916306432,-0.231,14.67277778
7/24/2020,22,Cape Denbeigh,206,600,38,0.633333333,-0.979277988,0.916306432,-0.231,14.074
7/24/2020,22,Junction Creek,206,900,39,0.65,-0.979277988,0.916306432,-0.231,14.67277778
7/25/2020,14,Junction Creek,207,1200,47,0.779166667,0.861851296,-3.470918767,1.154,15.00777778
7/25/2020,14,Junction Creek,207,300,28,0.46,0.861851296,-3.470918767,1.154,15.00777778
7/25/2020,14,Cape Denbeigh,207,1200,0,0,0.861851296,-3.470918767,1.154,14.098
7/25/2020,14,Junction Creek,207,1500,30,0.508333333,0.861851296,-3.470918767,1.154,15.00777778
7/25/2020,14,Cape Denbeigh,207,1500,0,0,0.861851296,-3.470918767,1.154,14.098
7/25/2020,14,Junction Creek,207,600,56,0.927083333,0.861851296,-3.470918767,1.154,15.00777778
7/25/2020,14,Cape Denbeigh,207,900,6,0.105555556,0.861851296,-3.470918767,1.154,14.098
7/25/2020,14,Cape Denbeigh,207,600,15,0.254166667,0.861851296,-3.470918767,1.154,14.098
7/25/2020,14,Junction Creek,207,900,48,0.794444444,0.861851296,-3.470918767,1.154,15.00777778
7/25/2020,14,Cape Denbeigh,207,300,38,0.625,0.861851296,-3.470918767,1.154,14.098
7/25/2020,22,Cape Denbeigh,207,300,54,0.908333333,-2.128833494,-0.6813127,-0.158,14.697
7/25/2020,22,Junction Creek,207,1500,38,0.633333333,-2.128833494,-0.6813127,-0.158,14.96
7/25/2020,22,Junction Creek,207,1200,48,0.8,-2.128833494,-0.6813127,-0.158,14.96
7/25/2020,22,Junction Creek,207,600,56,0.941666667,-2.128833494,-0.6813127,-0.158,14.96
7/25/2020,22,Cape Denbeigh,207,1500,8,0.133333333,-2.128833494,-0.6813127,-0.158,14.697
7/25/2020,22,Cape Denbeigh,207,600,58,0.9625,-2.128833494,-0.6813127,-0.158,14.697
7/25/2020,22,Junction Creek,207,900,54,0.905555556,-2.128833494,-0.6813127,-0.158,14.96
7/25/2020,22,Cape Denbeigh,207,1200,22,0.366666667,-2.128833494,-0.6813127,-0.158,14.697
7/25/2020,22,Cape Denbeigh,207,900,55,0.916666667,-2.128833494,-0.6813127,-0.158,14.697
7/25/2020,22,Junction Creek,207,300,50,0.825,-2.128833494,-0.6813127,-0.158,14.96
7/26/2020,15,Cape Denbeigh,208,1200,0,0,6.039297787,-1.642088764,0.959,12.461
7/26/2020,15,Junction Creek,208,1200,53,0.879166667,6.039297787,-1.642088764,0.959,15.03111111
7/26/2020,15,Cape Denbeigh,208,600,6,0.091666667,6.039297787,-1.642088764,0.959,12.461
7/26/2020,15,Cape Denbeigh,208,300,22,0.375,6.039297787,-1.642088764,0.959,12.461
7/26/2020,15,Cape Denbeigh,208,1500,0,0,6.039297787,-1.642088764,0.959,12.461
7/26/2020,15,Cape Denbeigh,208,900,0,0,6.039297787,-1.642088764,0.959,12.461
