"Plot Title: Black Point"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 20847490, SEN S/N: 20847490)","Coupler Detached (LGR S/N: 20847490)","Coupler Attached (LGR S/N: 20847490)","Host Connected (LGR S/N: 20847490)","Stopped (LGR S/N: 20847490)","End Of File (LGR S/N: 20847490)"
1,07/13/20 12:00:00 AM,65.530,Logged,,,,
2,07/13/20 01:00:00 AM,64.632,,,,,
3,07/13/20 02:00:00 AM,63.518,,,,,
4,07/13/20 03:00:00 AM,62.276,,,,,
5,07/13/20 04:00:00 AM,60.904,,,,,
6,07/13/20 05:00:00 AM,59.659,,,,,
7,07/13/20 06:00:00 AM,58.582,,,,,
8,07/13/20 07:00:00 AM,58.325,,,,,
9,07/13/20 08:00:00 AM,57.893,,,,,
10,07/13/20 09:00:00 AM,61.419,,,,,
11,07/13/20 10:00:00 AM,64.845,,,,,
12,07/13/20 11:00:00 AM,66.130,,,,,
13,07/13/20 12:00:00 PM,66.729,,,,,
14,07/13/20 01:00:00 PM,67.242,,,,,
15,07/13/20 02:00:00 PM,67.671,,,,,
16,07/13/20 03:00:00 PM,67.885,,,,,
17,07/13/20 04:00:00 PM,67.928,,,,,
18,07/13/20 05:00:00 PM,67.285,,,,,
19,07/13/20 06:00:00 PM,66.985,,,,,
20,07/13/20 07:00:00 PM,66.472,,,,,
21,07/13/20 08:00:00 PM,66.772,,,,,
22,07/13/20 09:00:00 PM,67.500,,,,,
23,07/13/20 10:00:00 PM,67.842,,,,,
24,07/13/20 11:00:00 PM,67.928,,,,,
25,07/14/20 12:00:00 AM,68.185,,,,,
26,07/14/20 01:00:00 AM,68.185,,,,,
27,07/14/20 02:00:00 AM,68.142,,,,,
28,07/14/20 03:00:00 AM,67.971,,,,,
29,07/14/20 04:00:00 AM,67.714,,,,,
30,07/14/20 05:00:00 AM,67.971,,,,,
31,07/14/20 06:00:00 AM,68.013,,,,,
32,07/14/20 07:00:00 AM,67.757,,,,,
33,07/14/20 08:00:00 AM,67.842,,,,,
34,07/14/20 09:00:00 AM,68.484,,,,,
35,07/14/20 10:00:00 AM,68.999,,,,,
36,07/14/20 11:00:00 AM,69.471,,,,,
37,07/14/20 12:00:00 PM,69.685,,,,,
38,07/14/20 01:00:00 PM,69.942,,,,,
39,07/14/20 02:00:00 PM,69.514,,,,,
40,07/14/20 03:00:00 PM,69.427,,,,,
41,07/14/20 04:00:00 PM,69.557,,,,,
42,07/14/20 05:00:00 PM,69.557,,,,,
43,07/14/20 06:00:00 PM,69.771,,,,,
44,07/14/20 07:00:00 PM,69.942,,,,,
45,07/14/20 08:00:00 PM,69.728,,,,,
46,07/14/20 09:00:00 PM,69.256,,,,,
47,07/14/20 10:00:00 PM,69.213,,,,,
48,07/14/20 11:00:00 PM,69.386,,,,,
49,07/15/20 12:00:00 AM,69.300,,,,,
50,07/15/20 01:00:00 AM,69.129,,,,,
51,07/15/20 02:00:00 AM,68.956,,,,,
52,07/15/20 03:00:00 AM,68.742,,,,,
53,07/15/20 04:00:00 AM,68.571,,,,,
54,07/15/20 05:00:00 AM,68.443,,,,,
55,07/15/20 06:00:00 AM,68.270,,,,,
56,07/15/20 07:00:00 AM,68.185,,,,,
57,07/15/20 08:00:00 AM,68.443,,,,,
58,07/15/20 09:00:00 AM,68.571,,,,,
59,07/15/20 10:00:00 AM,68.571,,,,,
60,07/15/20 11:00:00 AM,68.443,,,,,
61,07/15/20 12:00:00 PM,68.227,,,,,
62,07/15/20 01:00:00 PM,68.185,,,,,
63,07/15/20 02:00:00 PM,68.185,,,,,
64,07/15/20 03:00:00 PM,68.356,,,,,
65,07/15/20 04:00:00 PM,68.657,,,,,
66,07/15/20 05:00:00 PM,68.742,,,,,
67,07/15/20 06:00:00 PM,68.614,,,,,
68,07/15/20 07:00:00 PM,68.527,,,,,
69,07/15/20 08:00:00 PM,68.484,,,,,
70,07/15/20 09:00:00 PM,68.571,,,,,
71,07/15/20 10:00:00 PM,68.443,,,,,
72,07/15/20 11:00:00 PM,68.356,,,,,
73,07/16/20 12:00:00 AM,68.356,,,,,
74,07/16/20 01:00:00 AM,68.227,,,,,
75,07/16/20 02:00:00 AM,68.013,,,,,
76,07/16/20 03:00:00 AM,67.798,,,,,
77,07/16/20 04:00:00 AM,67.586,,,,,
78,07/16/20 05:00:00 AM,67.586,,,,,
79,07/16/20 06:00:00 AM,67.372,,,,,
80,07/16/20 07:00:00 AM,67.329,,,,,
81,07/16/20 08:00:00 AM,67.500,,,,,
82,07/16/20 09:00:00 AM,67.329,,,,,
83,07/16/20 10:00:00 AM,67.242,,,,,
84,07/16/20 11:00:00 AM,67.242,,,,,
85,07/16/20 12:00:00 PM,67.285,,,,,
86,07/16/20 01:00:00 PM,67.500,,,,,
87,07/16/20 02:00:00 PM,67.714,,,,,
88,07/16/20 03:00:00 PM,67.928,,,,,
89,07/16/20 04:00:00 PM,68.099,,,,,
90,07/16/20 05:00:00 PM,68.313,,,,,
91,07/16/20 06:00:00 PM,68.527,,,,,
92,07/16/20 07:00:00 PM,69.170,,,,,
