"Plot Title: Black_Point_2021"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 20847490, SEN S/N: 20847490)","Coupler Detached (LGR S/N: 20847490)","Coupler Attached (LGR S/N: 20847490)","Host Connected (LGR S/N: 20847490)","Stopped (LGR S/N: 20847490)","End Of File (LGR S/N: 20847490)"
1,06/22/21 09:23:05 AM,23.497,,,,,
2,06/22/21 09:23:11 AM,,Logged,,,,
3,06/22/21 10:23:05 AM,21.772,,,,,
4,06/22/21 11:23:05 AM,22.800,,,,,
5,06/22/21 12:23:05 PM,24.074,,,,,
6,06/22/21 01:23:05 PM,23.641,,,,,
7,06/22/21 02:23:05 PM,23.016,,,,,
8,06/22/21 03:23:05 PM,21.724,,,,,
9,06/22/21 04:23:05 PM,20.770,,,,,
10,06/22/21 05:23:05 PM,20.913,,,,,
11,06/22/21 06:23:05 PM,21.413,,,,,
12,06/22/21 07:23:05 PM,21.867,,,,,
13,06/22/21 08:23:05 PM,22.202,,,,,
14,06/22/21 09:23:05 PM,22.441,,,,,
15,06/22/21 10:23:05 PM,22.609,,,,,
16,06/22/21 11:23:05 PM,22.729,,,,,
17,06/23/21 12:23:05 AM,22.800,,,,,
18,06/23/21 01:23:05 AM,22.800,,,,,
19,06/23/21 02:23:05 AM,22.776,,,,,
20,06/23/21 03:23:05 AM,22.705,,,,,
21,06/23/21 04:23:05 AM,22.585,,,,,
22,06/23/21 05:23:05 AM,22.465,,,,,
23,06/23/21 06:23:05 AM,22.321,,,,,
24,06/23/21 07:23:05 AM,21.795,,,,,
25,06/23/21 08:23:05 AM,22.202,,,,,
26,06/23/21 09:23:05 AM,22.705,,,,,
27,06/23/21 10:23:05 AM,23.040,,,,,
28,06/23/21 11:23:05 AM,23.088,,,,,
29,06/23/21 12:23:05 PM,22.968,,,,,
30,06/23/21 01:23:05 PM,23.040,,,,,
31,06/23/21 02:23:05 PM,23.184,,,,,
32,06/23/21 03:23:05 PM,23.400,,,,,
33,06/23/21 04:23:05 PM,23.593,,,,,
