Plot Title: Blueberry Creek,,,,,,,
#,"Date Time, GMT-08:00","Temp, °F (LGR S/N: 20847487, SEN S/N: 20847487)",Coupler Detached (LGR S/N: 20847487),Coupler Attached (LGR S/N: 20847487),Host Connected (LGR S/N: 20847487),Stopped (LGR S/N: 20847487),End Of File (LGR S/N: 20847487)
1,7/13/2020 0:00,65.959,Logged,,,,
2,7/13/2020 1:00,65.359,,,,,
3,7/13/2020 2:00,64.546,,,,,
4,7/13/2020 3:00,63.475,,,,,
5,7/13/2020 4:00,62.362,,,,,
6,7/13/2020 5:00,61.162,,,,,
7,7/13/2020 6:00,60.003,,,,,
8,7/13/2020 7:00,59.315,,,,,
9,7/13/2020 8:00,58.712,,,,,
10,7/13/2020 9:00,60.174,,,,,
11,7/13/2020 10:00,63.262,,,,,
12,7/13/2020 11:00,64.931,,,,,
13,7/13/2020 12:00,65.872,,,,,
14,7/13/2020 13:00,66.515,,,,,
15,7/13/2020 14:00,67.028,,,,,
16,7/13/2020 15:00,67.413,,,,,
17,7/13/2020 16:00,67.586,,,,,
18,7/13/2020 17:00,67.413,,,,,
19,7/13/2020 18:00,67.242,,,,,
20,7/13/2020 19:00,66.943,,,,,
21,7/13/2020 20:00,66.729,,,,,
22,7/13/2020 21:00,67.114,,,,,
23,7/13/2020 22:00,67.5,,,,,
24,7/13/2020 23:00,67.714,,,,,
25,7/14/2020 0:00,67.928,,,,,
26,7/14/2020 1:00,68.013,,,,,
27,7/14/2020 2:00,68.013,,,,,
28,7/14/2020 3:00,67.928,,,,,
29,7/14/2020 4:00,67.757,,,,,
30,7/14/2020 5:00,67.798,,,,,
31,7/14/2020 6:00,67.928,,,,,
32,7/14/2020 7:00,67.757,,,,,
33,7/14/2020 8:00,70.158,,,,,
34,7/14/2020 9:00,70.974,,,,,
35,7/14/2020 10:00,68.742,,,,,
36,7/14/2020 11:00,68.913,,,,,
37,7/14/2020 12:00,67.242,,,,,
38,7/14/2020 13:00,59.014,,,,,
39,7/14/2020 14:00,60.26,,,,,
40,7/14/2020 15:00,60.132,,,,,
41,7/14/2020 16:00,59.358,,,,,
42,7/14/2020 17:00,59.401,,,,,
43,7/14/2020 18:00,60.474,,,,,
44,7/14/2020 19:00,60.991,,,,,
45,7/14/2020 20:00,60.132,,,,,
46,7/14/2020 21:00,60.775,,,,,
47,7/14/2020 22:00,60.39,,,,,
48,7/14/2020 23:00,60.69,,,,,
49,7/15/2020 0:00,60.217,,,,,
50,7/15/2020 1:00,61.205,,,,,
51,7/15/2020 2:00,60.39,,,,,
52,7/15/2020 3:00,59.659,,,,,
53,7/15/2020 4:00,60.346,,,,,
54,7/15/2020 5:00,61.162,,,,,
55,7/15/2020 6:00,60.217,,,,,
56,7/15/2020 7:00,61.506,,,,,
57,7/15/2020 8:00,61.506,,,,,
58,7/15/2020 9:00,61.248,,,,,
59,7/15/2020 10:00,60.346,,,,,
60,7/15/2020 11:00,59.616,,,,,
61,7/15/2020 12:00,60.046,,,,,
62,7/15/2020 13:00,60.217,,,,,
63,7/15/2020 14:00,60.346,,,,,
64,7/15/2020 15:00,60.433,,,,,
65,7/15/2020 16:00,60.303,,,,,
66,7/15/2020 17:00,60.39,,,,,
67,7/15/2020 18:00,61.162,,,,,
68,7/15/2020 19:00,60.517,,,,,
69,7/15/2020 20:00,60.174,,,,,
70,7/15/2020 21:00,60.26,,,,,
71,7/15/2020 22:00,60.217,,,,,
72,7/15/2020 23:00,60.217,,,,,
73,7/16/2020 0:00,60.26,,,,,
74,7/16/2020 1:00,60.346,,,,,
75,7/16/2020 2:00,60.346,,,,,
76,7/16/2020 3:00,60.39,,,,,
77,7/16/2020 4:00,60.474,,,,,
78,7/16/2020 5:00,60.303,,,,,
79,7/16/2020 6:00,60.217,,,,,
80,7/16/2020 7:00,60.132,,,,,
81,7/16/2020 8:00,60.046,,,,,
82,7/16/2020 9:00,60.132,,,,,
83,7/16/2020 10:00,60.26,,,,,
84,7/16/2020 11:00,60.174,,,,,
85,7/16/2020 12:00,60.39,,,,,
86,7/16/2020 13:00,60.217,,,,,
87,7/16/2020 14:00,60.517,,,,,
88,7/16/2020 15:00,60.733,,,,,
89,7/16/2020 16:00,60.733,,,,,
90,7/16/2020 17:00,60.775,,,,,
91,7/16/2020 18:00,60.861,,,,,
92,7/16/2020 19:00,60.818,,,,,
93,7/16/2020 20:00,60.775,,,,,
94,7/16/2020 21:00,61.205,,,,,
95,7/16/2020 22:00,60.69,,,,,
96,7/16/2020 23:00,60.647,,,,,
97,7/17/2020 0:00,60.474,,,,,
98,7/17/2020 1:00,60.346,,,,,
99,7/17/2020 2:00,60.174,,,,,
100,7/17/2020 3:00,60.69,,,,,
101,7/17/2020 4:00,60.474,,,,,
102,7/17/2020 5:00,60.647,,,,,
103,7/17/2020 6:00,60.303,,,,,
104,7/17/2020 7:00,60.39,,,,,
105,7/17/2020 8:00,61.075,,,,,
106,7/17/2020 9:00,61.506,,,,,
107,7/17/2020 10:00,61.547,,,,,
108,7/17/2020 11:00,62.577,,,,,
109,7/17/2020 12:00,61.29,,,,,
110,7/17/2020 13:00,61.72,,,,,
111,7/17/2020 14:00,62.447,,,,,
112,7/17/2020 15:00,62.875,,,,,
113,7/17/2020 16:00,63.347,,,,,
114,7/17/2020 17:00,63.219,,,,,
115,7/17/2020 18:00,63.262,,,,,
116,7/17/2020 19:00,62.748,,,,,
117,7/17/2020 20:00,62.791,,,,,
118,7/17/2020 21:00,63.219,,,,,
119,7/17/2020 22:00,62.191,,,,,
120,7/17/2020 23:00,61.59,,,,,
121,7/18/2020 0:00,61.376,,,,,
122,7/18/2020 1:00,61.248,,,,,
123,7/18/2020 2:00,61.162,,,,,
124,7/18/2020 3:00,61.032,,,,,
125,7/18/2020 4:00,61.29,,,,,
126,7/18/2020 5:00,62.019,,,,,
127,7/18/2020 6:00,60.991,,,,,
128,7/18/2020 7:00,61.506,,,,,
129,7/18/2020 8:00,62.148,,,,,
130,7/18/2020 9:00,61.848,,,,,
131,7/18/2020 10:00,61.934,,,,,
132,7/18/2020 11:00,62.49,,,,,
133,7/18/2020 12:00,62.962,,,,,
134,7/18/2020 13:00,63.048,,,,,
135,7/18/2020 14:00,63.262,,,,,
136,7/18/2020 15:00,63.262,,,,,
137,7/18/2020 16:00,63.903,,,,,
138,7/18/2020 17:00,63.946,,,,,
139,7/18/2020 18:00,63.689,,,,,
140,7/18/2020 19:00,64.117,,,,,
141,7/18/2020 20:00,64.717,,,,,
142,7/18/2020 21:00,64.503,,,,,
143,7/18/2020 22:00,64.632,,,,,
144,7/18/2020 23:00,64.803,,,,,
145,7/19/2020 0:00,64.332,,,,,
146,7/19/2020 1:00,64.332,,,,,
147,7/19/2020 2:00,63.99,,,,,
148,7/19/2020 3:00,63.946,,,,,
149,7/19/2020 4:00,63.946,,,,,
150,7/19/2020 5:00,63.304,,,,,
151,7/19/2020 6:00,63.176,,,,,
152,7/19/2020 7:00,63.475,,,,,
153,7/19/2020 8:00,63.347,,,,,
154,7/19/2020 9:00,63.048,,,,,
155,7/19/2020 10:00,62.748,,,,,
156,7/19/2020 11:00,62.962,,,,,
157,7/19/2020 12:00,62.191,,,,,
158,7/19/2020 13:00,61.462,,,,,
159,7/19/2020 14:00,61.506,,,,,
160,7/19/2020 15:00,61.761,,,,,
161,7/19/2020 16:00,62.191,,,,,
162,7/19/2020 17:00,62.49,,,,,
163,7/19/2020 18:00,62.533,,,,,
164,7/19/2020 19:00,62.748,,,,,
165,7/19/2020 20:00,62.919,,,,,
