"Plot Title: Cape_Denbeigh_2021"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 20847486, SEN S/N: 20847486)","Coupler Detached (LGR S/N: 20847486)","Coupler Attached (LGR S/N: 20847486)","Host Connected (LGR S/N: 20847486)","Stopped (LGR S/N: 20847486)","End Of File (LGR S/N: 20847486)"
1,06/22/21 09:31:32 AM,23.064,,,,,
2,06/22/21 09:31:36 AM,,Logged,,,,
3,06/22/21 10:31:32 AM,21.390,,,,,
4,06/22/21 11:31:32 AM,24.122,,,,,
5,06/22/21 12:31:32 PM,23.881,,,,,
6,06/22/21 01:31:32 PM,24.098,,,,,
7,06/22/21 02:31:32 PM,23.136,,,,,
8,06/22/21 03:31:32 PM,21.891,,,,,
9,06/22/21 04:31:32 PM,20.936,,,,,
10,06/22/21 05:31:32 PM,20.984,,,,,
11,06/22/21 06:31:32 PM,21.413,,,,,
12,06/22/21 07:31:32 PM,21.867,,,,,
13,06/22/21 08:31:32 PM,22.178,,,,,
14,06/22/21 09:31:32 PM,22.417,,,,,
15,06/22/21 10:31:32 PM,22.585,,,,,
16,06/22/21 11:31:32 PM,22.729,,,,,
17,06/23/21 12:31:32 AM,22.800,,,,,
18,06/23/21 01:31:32 AM,22.824,,,,,
19,06/23/21 02:31:32 AM,22.800,,,,,
20,06/23/21 03:31:32 AM,22.729,,,,,
21,06/23/21 04:31:32 AM,22.609,,,,,
22,06/23/21 05:31:32 AM,22.489,,,,,
23,06/23/21 06:31:32 AM,22.345,,,,,
24,06/23/21 07:31:32 AM,21.939,,,,,
25,06/23/21 08:31:32 AM,22.465,,,,,
26,06/23/21 09:31:32 AM,22.824,,,,,
27,06/23/21 10:31:32 AM,23.064,,,,,
28,06/23/21 11:31:32 AM,23.016,,,,,
29,06/23/21 12:31:32 PM,22.920,,,,,
30,06/23/21 01:31:32 PM,23.016,,,,,
31,06/23/21 02:31:32 PM,23.136,,,,,
32,06/23/21 03:31:32 PM,23.328,,,,,
33,06/23/21 04:31:32 PM,23.593,,,,,
34,06/23/21 05:31:32 PM,23.833,,,,,
35,06/23/21 06:31:32 PM,23.954,,,,,
36,06/23/21 07:31:32 PM,23.978,,,,,
37,06/23/21 08:31:32 PM,23.978,,,,,
38,06/23/21 09:31:32 PM,23.978,,,,,
39,06/23/21 10:31:32 PM,23.978,,,,,
40,06/23/21 11:31:32 PM,23.978,,,,,
41,06/24/21 12:31:32 AM,23.930,,,,,
42,06/24/21 01:31:32 AM,23.881,,,,,
43,06/24/21 02:31:32 AM,23.785,,,,,
44,06/24/21 03:31:32 AM,23.665,,,,,
45,06/24/21 04:31:32 AM,23.545,,,,,
46,06/24/21 05:31:32 AM,23.448,,,,,
47,06/24/21 06:31:32 AM,23.352,,,,,
48,06/24/21 07:31:32 AM,23.280,,,,,
49,06/24/21 08:31:32 AM,23.304,,,,,
50,06/24/21 09:31:32 AM,23.328,,,,,
51,06/24/21 10:31:32 AM,21.533,,,,,
52,06/24/21 11:31:32 AM,18.604,,,,,
53,06/24/21 12:31:32 PM,17.344,,,,,
54,06/24/21 01:31:32 PM,17.677,,,,,
55,06/24/21 02:31:32 PM,20.055,,,,,
56,06/24/21 03:31:32 PM,21.175,,,,,
57,06/24/21 04:31:32 PM,22.729,,,,,
58,06/24/21 05:31:32 PM,22.753,,,,,
59,06/24/21 06:31:32 PM,22.011,,,,,
60,06/24/21 07:31:32 PM,21.700,,,,,
61,06/24/21 08:31:32 PM,24.388,,,,,
62,06/24/21 09:31:32 PM,22.705,,,,,
