time,sea_level
2020-07-17T06:41:00Z,0.14
2020-07-17T17:25:00Z,1.169
2020-07-18T03:53:00Z,0.017
2020-07-18T17:54:00Z,1.257
2020-07-19T04:18:00Z,-0.095
2020-07-19T18:28:00Z,1.332
2020-07-20T04:47:00Z,-0.185
2020-07-20T19:06:00Z,1.391
2020-07-21T05:15:00Z,-0.252
2020-07-21T19:46:00Z,1.428
2020-07-22T05:40:00Z,-0.292
2020-07-22T20:28:00Z,1.433
2020-07-23T06:02:00Z,-0.303
2020-07-23T21:11:00Z,1.394
2020-07-24T06:21:00Z,-0.281
2020-07-24T21:55:00Z,1.301
2020-07-25T06:39:00Z,-0.231
2020-07-25T22:42:00Z,1.154
2020-07-26T06:58:00Z,-0.158
2020-07-26T14:51:00Z,0.622
2020-07-26T16:55:00Z,0.608
2020-07-26T23:30:00Z,0.959
2020-07-27T07:15:00Z,-0.074
2020-07-27T14:43:00Z,0.778
2020-07-27T19:36:00Z,0.568
2020-07-28T00:18:00Z,0.73
2020-07-28T07:27:00Z,0.004
2020-07-28T15:04:00Z,0.959
2020-07-28T21:51:00Z,0.444
2020-07-29T01:09:00Z,0.488
2020-07-29T15:35:00Z,1.136
2020-07-30T07:28:00Z,0.089
2020-07-30T16:12:00Z,1.286
2020-07-31T02:00:00Z,0.053
2020-07-31T16:53:00Z,1.393
2020-08-01T02:48:00Z,-0.101
2020-08-01T17:38:00Z,1.452
2020-08-02T03:31:00Z,-0.203
2020-08-02T18:25:00Z,1.465
2020-08-03T04:14:00Z,-0.258
2020-08-03T19:14:00Z,1.441
2020-08-04T04:54:00Z,-0.273
2020-08-04T20:01:00Z,1.388
2020-08-05T05:30:00Z,-0.257
2020-08-05T20:46:00Z,1.311
2020-08-06T06:00:00Z,-0.217
2020-08-06T21:27:00Z,1.212
2020-08-07T06:23:00Z,-0.157
2020-08-07T22:08:00Z,1.095
2020-08-08T06:39:00Z,-0.084
2020-08-08T22:48:00Z,0.964
2020-08-09T06:51:00Z,-0.005
2020-08-09T14:33:00Z,0.635
2020-08-09T17:41:00Z,0.604
2020-08-09T23:28:00Z,0.821
2020-08-10T07:01:00Z,0.073
2020-08-10T14:29:00Z,0.718
2020-08-10T19:21:00Z,0.561
2020-08-11T00:05:00Z,0.671
2020-08-11T07:08:00Z,0.143
2020-08-11T14:39:00Z,0.812
2020-08-11T21:07:00Z,0.485
2020-08-12T00:42:00Z,0.519
2020-08-12T07:05:00Z,0.196
2020-08-12T14:56:00Z,0.909
2020-08-13T06:49:00Z,0.217
2020-08-13T15:20:00Z,1.006
2020-08-14T06:26:00Z,0.205
2020-08-14T15:49:00Z,1.097
2020-08-15T02:26:00Z,0.112
2020-08-15T16:23:00Z,1.178
2020-08-16T02:59:00Z,0.008
2020-08-16T17:01:00Z,1.247
2020-08-17T03:32:00Z,-0.076
2020-08-17T17:44:00Z,1.299
2020-08-18T04:03:00Z,-0.134
2020-08-18T18:32:00Z,1.328
2020-08-19T04:30:00Z,-0.164
2020-08-19T19:23:00Z,1.325
2020-08-20T04:50:00Z,-0.162
2020-08-20T20:15:00Z,1.28
2020-08-21T05:07:00Z,-0.13
2020-08-21T21:08:00Z,1.187
2020-08-22T05:23:00Z,-0.074
2020-08-22T12:33:00Z,0.492
2020-08-22T14:35:00Z,0.471
2020-08-22T22:03:00Z,1.046
2020-08-23T05:41:00Z,-0.003
2020-08-23T12:27:00Z,0.642
2020-08-23T16:57:00Z,0.451
2020-08-23T23:01:00Z,0.868
2020-08-24T05:58:00Z,0.07
2020-08-24T12:46:00Z,0.821
2020-08-24T18:41:00Z,0.368
2020-08-25T00:02:00Z,0.67
2020-08-25T06:12:00Z,0.132
2020-08-25T13:16:00Z,1.001
2020-08-25T20:13:00Z,0.262
2020-08-26T01:05:00Z,0.473
2020-08-26T06:20:00Z,0.172
2020-08-26T13:54:00Z,1.155
2020-08-26T21:53:00Z,0.146
2020-08-27T02:25:00Z,0.299
2020-08-27T06:20:00Z,0.186
2020-08-27T14:37:00Z,1.268
2020-08-27T23:29:00Z,0.037
2020-08-28T15:26:00Z,1.334
2020-08-29T00:54:00Z,-0.052
2020-08-29T16:16:00Z,1.352
2020-08-30T01:59:00Z,-0.112
2020-08-30T17:08:00Z,1.331
2020-08-31T02:50:00Z,-0.137
2020-08-31T18:01:00Z,1.279
2020-09-01T03:34:00Z,-0.131
2020-09-01T18:56:00Z,1.209
2020-09-02T04:13:00Z,-0.099
2020-09-02T19:50:00Z,1.127
2020-09-03T04:45:00Z,-0.049
2020-09-03T20:39:00Z,1.036
2020-09-04T05:09:00Z,0.016
2020-09-04T21:27:00Z,0.935
2020-09-05T05:23:00Z,0.089
2020-09-05T12:18:00Z,0.579
2020-09-05T15:53:00Z,0.508
2020-09-05T22:15:00Z,0.829
2020-09-06T05:32:00Z,0.163
2020-09-06T12:18:00Z,0.653
2020-09-06T17:18:00Z,0.458
2020-09-06T23:05:00Z,0.719
2020-09-07T05:42:00Z,0.232
2020-09-07T12:26:00Z,0.737
2020-09-07T18:27:00Z,0.39
2020-09-07T23:56:00Z,0.61
2020-09-08T05:48:00Z,0.29
2020-09-08T12:39:00Z,0.825
2020-09-08T19:29:00Z,0.318
2020-09-09T00:47:00Z,0.504
2020-09-09T05:42:00Z,0.33
2020-09-09T12:58:00Z,0.911
2020-09-09T20:33:00Z,0.248
2020-09-10T01:47:00Z,0.404
2020-09-10T05:24:00Z,0.34
2020-09-10T13:22:00Z,0.99
2020-09-10T21:42:00Z,0.183
2020-09-11T13:53:00Z,1.06
2020-09-11T22:53:00Z,0.122
2020-09-12T14:30:00Z,1.118
2020-09-13T00:15:00Z,0.066
2020-09-13T15:14:00Z,1.162
2020-09-14T01:29:00Z,0.014
2020-09-14T16:04:00Z,1.188
2020-09-15T02:13:00Z,-0.021
2020-09-15T16:57:00Z,1.189
2020-09-16T02:42:00Z,-0.03
2020-09-16T17:56:00Z,1.156
2020-09-17T03:02:00Z,-0.009
2020-09-17T19:02:00Z,1.089
2020-09-18T03:21:00Z,0.039
2020-09-18T20:10:00Z,0.988
2020-09-19T03:41:00Z,0.104
2020-09-19T10:09:00Z,0.588
2020-09-19T14:53:00Z,0.383
2020-09-19T21:17:00Z,0.859
2020-09-20T04:00:00Z,0.176
2020-09-20T10:28:00Z,0.763
2020-09-20T16:28:00Z,0.274
2020-09-20T22:28:00Z,0.712
2020-09-21T04:18:00Z,0.241
2020-09-21T10:59:00Z,0.949
2020-09-21T17:52:00Z,0.145
2020-09-21T23:42:00Z,0.567
2020-09-22T04:32:00Z,0.288
2020-09-22T11:35:00Z,1.117
2020-09-22T19:05:00Z,0.028
2020-09-23T00:56:00Z,0.437
2020-09-23T04:40:00Z,0.31
2020-09-23T12:15:00Z,1.246
2020-09-23T20:16:00Z,-0.057
2020-09-24T02:25:00Z,0.336
2020-09-24T04:40:00Z,0.31
2020-09-24T12:58:00Z,1.319
2020-09-24T21:28:00Z,-0.105
2020-09-25T13:46:00Z,1.332
2020-09-25T22:38:00Z,-0.12
2020-09-26T14:38:00Z,1.296
2020-09-26T23:46:00Z,-0.106
2020-09-27T15:34:00Z,1.224
2020-09-28T00:52:00Z,-0.074
2020-09-28T16:31:00Z,1.129
2020-09-29T01:47:00Z,-0.029
2020-09-29T17:30:00Z,1.023
2020-09-30T02:29:00Z,0.028
2020-09-30T18:34:00Z,0.915
2020-10-01T03:00:00Z,0.098
2020-10-01T10:32:00Z,0.565
2020-10-01T13:14:00Z,0.542
2020-10-01T19:42:00Z,0.814
2020-10-02T03:20:00Z,0.174
2020-10-02T10:09:00Z,0.623
2020-10-02T14:52:00Z,0.479
2020-10-02T20:47:00Z,0.722
2020-10-03T03:32:00Z,0.251
2020-10-03T10:14:00Z,0.694
2020-10-03T16:06:00Z,0.393
2020-10-03T21:51:00Z,0.639
2020-10-04T03:42:00Z,0.323
2020-10-04T10:25:00Z,0.772
2020-10-04T17:09:00Z,0.299
2020-10-04T22:58:00Z,0.568
2020-10-05T03:49:00Z,0.385
2020-10-05T10:38:00Z,0.852
2020-10-05T17:59:00Z,0.206
2020-10-06T00:05:00Z,0.51
2020-10-06T03:42:00Z,0.43
2020-10-06T10:55:00Z,0.932
2020-10-06T18:41:00Z,0.124
2020-10-07T11:16:00Z,1.005
2020-10-07T19:22:00Z,0.058
2020-10-08T11:40:00Z,1.068
2020-10-08T20:06:00Z,0.009
2020-10-09T12:08:00Z,1.119
2020-10-09T20:53:00Z,-0.022
2020-10-10T12:38:00Z,1.154
2020-10-10T21:44:00Z,-0.04
2020-10-11T13:14:00Z,1.167
2020-10-11T22:34:00Z,-0.042
2020-10-12T13:59:00Z,1.151
2020-10-12T23:22:00Z,-0.028
2020-10-13T14:56:00Z,1.1
2020-10-14T00:06:00Z,0.005
2020-10-14T16:03:00Z,1.013
2020-10-15T00:44:00Z,0.058
2020-10-15T17:18:00Z,0.893
2020-10-16T01:15:00Z,0.129
2020-10-16T08:15:00Z,0.608
2020-10-16T12:49:00Z,0.477
2020-10-16T18:46:00Z,0.753
2020-10-17T01:39:00Z,0.207
2020-10-17T08:24:00Z,0.769
2020-10-17T14:38:00Z,0.321
2020-10-17T20:21:00Z,0.619
2020-10-18T01:58:00Z,0.281
2020-10-18T08:49:00Z,0.955
2020-10-18T15:59:00Z,0.138
2020-10-18T21:53:00Z,0.505
2020-10-19T02:11:00Z,0.337
2020-10-19T09:22:00Z,1.138
2020-10-19T17:10:00Z,-0.036
2020-10-19T23:32:00Z,0.422
2020-10-20T02:17:00Z,0.368
2020-10-20T10:01:00Z,1.291
2020-10-20T18:13:00Z,-0.176
2020-10-21T10:44:00Z,1.393
2020-10-21T19:09:00Z,-0.262
2020-10-22T11:28:00Z,1.434
2020-10-22T20:04:00Z,-0.291
2020-10-23T12:14:00Z,1.413
2020-10-23T20:59:00Z,-0.271
2020-10-24T13:00:00Z,1.335
2020-10-24T21:52:00Z,-0.216
2020-10-25T13:47:00Z,1.215
2020-10-25T22:42:00Z,-0.139
2020-10-26T14:40:00Z,1.069
2020-10-26T23:27:00Z,-0.048
2020-10-27T15:38:00Z,0.913
2020-10-28T00:07:00Z,0.047
2020-10-28T16:42:00Z,0.759
2020-10-29T00:39:00Z,0.142
2020-10-29T08:24:00Z,0.706
2020-10-29T14:24:00Z,0.548
2020-10-29T18:00:00Z,0.616
2020-10-30T01:02:00Z,0.233
2020-10-30T08:28:00Z,0.78
2020-10-30T15:38:00Z,0.408
2020-10-30T19:47:00Z,0.507
2020-10-31T01:17:00Z,0.315
2020-10-31T08:39:00Z,0.859
2020-10-31T16:29:00Z,0.274
2020-10-31T21:30:00Z,0.442
2020-11-01T01:20:00Z,0.384
2020-11-01T08:52:00Z,0.939
2020-11-01T17:10:00Z,0.152
2020-11-02T09:07:00Z,1.017
2020-11-02T17:44:00Z,0.046
2020-11-03T09:26:00Z,1.089
2020-11-03T18:13:00Z,-0.042
2020-11-04T09:48:00Z,1.151
2020-11-04T18:41:00Z,-0.11
2020-11-05T10:13:00Z,1.2
2020-11-05T19:12:00Z,-0.158
2020-11-06T10:41:00Z,1.236
2020-11-06T19:46:00Z,-0.186
2020-11-07T11:11:00Z,1.255
2020-11-07T20:23:00Z,-0.194
2020-11-08T11:43:00Z,1.248
2020-11-08T21:01:00Z,-0.18
2020-11-09T12:19:00Z,1.206
2020-11-09T21:38:00Z,-0.144
2020-11-10T12:57:00Z,1.118
2020-11-10T22:12:00Z,-0.085
2020-11-11T13:41:00Z,0.978
2020-11-11T22:40:00Z,-0.006
2020-11-12T14:44:00Z,0.789
2020-11-12T23:03:00Z,0.085
2020-11-13T06:46:00Z,0.767
2020-11-13T12:36:00Z,0.526
2020-11-13T16:38:00Z,0.578
2020-11-13T23:18:00Z,0.173
2020-11-14T07:00:00Z,0.942
2020-11-14T14:39:00Z,0.3
2020-11-14T18:49:00Z,0.392
2020-11-14T23:22:00Z,0.241
