Date,Time,Wind Spd (mph),Wind Direction (deg),Sea Lev Press (hPa),Precip (in)
6/27/2021,0:56,13,150,1015.4,0
6/27/2021,1:56,9,130,1015.7,0
6/27/2021,2:56,8,130,1015.9,0
6/27/2021,3:56,18,180,1016.3,0
6/27/2021,4:56,18,190,1016.9,0
6/27/2021,5:56,22,180,1017.3,0
6/27/2021,6:56,17,170,1017.7,0
6/27/2021,7:56,18,170,1018.1,0
6/27/2021,8:56,22,180,1018.6,0
6/27/2021,9:56,20,180,1018.8,0
6/27/2021,10:56,18,180,1019.2,0
6/27/2021,11:56,17,180,1019.2,0
6/27/2021,12:56,13,190,1019.2,0
6/27/2021,13:56,16,190,1019.1,0
6/27/2021,14:56,14,190,1019.4,0
6/27/2021,15:56,13,190,1019.3,0
6/27/2021,16:56,11,190,1019,0
6/27/2021,17:56,11,200,1018.8,0
6/27/2021,18:56,14,190,1018.8,0
6/27/2021,19:56,13,200,1018.6,0
6/27/2021,20:56,11,200,1018.7,0
6/27/2021,21:56,13,190,1018.6,0
6/27/2021,22:56,14,210,1018.8,0
6/27/2021,23:56,15,200,1018.9,0
6/28/2021,0:56,16,200,1019,0
6/28/2021,1:56,13,190,1019,0
6/28/2021,2:56,13,220,1019,0
6/28/2021,3:56,10,230,1019.1,0
6/28/2021,4:56,13,230,1019,0
6/28/2021,5:56,10,230,1018.7,0
6/28/2021,6:56,11,240,1018.9,0
6/28/2021,7:56,9,220,1019,0
6/28/2021,8:56,13,230,1019.1,0
6/28/2021,9:56,17,220,1018.9,0
6/28/2021,10:56,18,230,1018.9,0
6/28/2021,11:56,13,220,1019,0
6/28/2021,12:56,16,220,1019,0
6/28/2021,13:56,14,230,1018.9,0
6/28/2021,14:56,13,230,1018.9,0
6/28/2021,15:56,13,240,1018.5,0
6/28/2021,16:56,14,250,1018.1,0
6/28/2021,17:56,9,240,1017.7,0
6/28/2021,18:56,9,220,1017.6,0
6/28/2021,19:56,8,210,1017.2,0
6/28/2021,20:56,9,240,1017.1,0
6/28/2021,21:56,8,220,1017.1,0
6/28/2021,22:56,11,210,1017.1,0
6/28/2021,23:56,11,210,1017.1,0
6/29/2021,0:56,13,220,1017.1,0
6/29/2021,1:56,17,220,1017,0
6/29/2021,2:56,15,210,1017,0
6/29/2021,3:56,11,220,1016.6,0
6/29/2021,4:56,6,200,1016.4,0
6/29/2021,5:56,8,270,1016.2,0
6/29/2021,6:56,8,260,1016.3,0
6/29/2021,7:56,28,210,1016.4,0
6/29/2021,8:56,25,210,1016.8,0
6/29/2021,9:56,24,210,1017.2,0
6/29/2021,10:56,22,210,1017.4,0
6/29/2021,11:52,24,250,M,0
6/29/2021,12:56,21,250,1018.4,0
6/29/2021,13:56,20,230,1018.5,0
6/29/2021,14:56,18,260,1018.6,m
6/29/2021,15:54,17,250,M,0
6/29/2021,16:56,11,220,1018.6,0
6/29/2021,17:56,8,200,1018.3,0
6/29/2021,18:56,8,210,1018,0
6/29/2021,19:56,9,200,1018,0
6/29/2021,20:56,10,180,1018,0
6/29/2021,21:56,11,180,1018,0
6/29/2021,22:56,13,180,1017.9,0
6/29/2021,23:56,13,180,1017.7,0
6/30/2021,0:56,13,180,1017.7,0
6/30/2021,1:53,13,180,M,0
6/30/2021,2:56,10,180,1017.1,0
6/30/2021,3:56,10,170,1016.7,0
6/30/2021,4:56,7,130,1016.4,0
6/30/2021,5:56,10,170,1016.3,0
6/30/2021,6:56,10,170,1016.1,0
6/30/2021,7:56,7,170,1015.9,0
6/30/2021,8:56,7,100,1015.9,0.01
6/30/2021,9:56,6,120,1015.8,0.02
6/30/2021,10:56,5,70,1015.4,0.01
6/30/2021,11:56,8,60,1015.3,0
6/30/2021,12:56,7,50,1014.7,0.01
6/30/2021,13:56,7,60,1014.6,0.01
6/30/2021,14:56,5,70,1014.5,0
6/30/2021,15:56,3,50,1014.1,0.01
6/30/2021,16:56,0,0,1013.9,0
6/30/2021,17:56,6,350,1013.7,0
6/30/2021,18:56,8,20,1013.1,0.01
6/30/2021,19:56,11,10,1012.9,0
6/30/2021,20:56,15,20,1012.7,0
6/30/2021,21:56,13,20,1012.6,0
6/30/2021,22:56,13,20,1012.2,0
6/30/2021,23:56,15,20,1011.8,0
7/1/2021,0:56,16,20,1011.4,0
7/1/2021,1:56,16,20,1011.3,0
7/1/2021,2:56,11,30,1011.2,0
7/1/2021,3:56,11,20,1010.7,0
7/1/2021,4:56,10,30,1010.6,0
7/1/2021,5:56,13,20,1010.5,0
7/1/2021,6:56,10,20,1010.3,0
7/1/2021,7:56,8,30,1010.2,0
7/1/2021,8:56,9,90,1009.9,0
7/1/2021,9:56,7,110,1009.7,0
7/1/2021,10:56,18,120,1009.6,0
7/1/2021,11:56,14,110,1009.4,0
7/1/2021,12:56,15,130,1009.8,0
7/1/2021,13:56,16,150,1009.9,0
7/1/2021,14:56,15,130,1010,0
7/1/2021,15:56,13,160,1009.9,0
7/1/2021,16:56,11,130,1009.8,0
7/1/2021,17:56,3,60,1009.2,0
7/1/2021,18:56,7,100,1008.9,0
7/1/2021,19:56,5,210,1008.9,0
7/1/2021,20:56,10,30,1008.9,0
7/1/2021,21:56,10,20,1008.4,0
7/1/2021,22:56,3,50,1008.2,0
7/1/2021,23:56,8,40,1008,0
7/2/2021,0:56,7,60,1007.9,0
7/2/2021,1:56,6,50,1007.7,0
7/2/2021,2:56,8,70,1007.3,0
7/2/2021,3:56,6,90,1007.1,0
7/2/2021,4:56,9,190,1007,0
7/2/2021,5:56,10,200,1006.8,0
7/2/2021,6:56,13,190,1006.9,0
7/2/2021,7:56,18,200,1007,0
7/2/2021,8:56,6,220,1007.2,0
7/2/2021,9:56,5,290,1007.5,0
7/2/2021,10:56,3,20,1007.6,0
7/2/2021,11:56,5,M,1007.7,0
7/2/2021,12:56,10,180,1007.9,0
7/2/2021,13:56,8,180,1008.1,0
7/2/2021,14:56,0,0,1008,0
7/2/2021,15:56,8,50,1007.9,0
7/2/2021,16:56,8,10,1007.6,0
7/2/2021,17:56,13,10,1007.8,0
7/2/2021,18:56,11,150,1008.7,0
7/2/2021,19:56,14,140,1009.3,0
7/2/2021,20:56,18,120,1009.3,0
