Date,Time,Wind Spd (mph),Wind Direction (deg),Sea Lev Press (hPa),Precip (in)
7/15/2020,0:56,0,0,1013.8,m
7/15/2020,1:56,3,100,1013.9,m
7/15/2020,2:56,3,90,1014,m
7/15/2020,3:56,6,100,1014,m
7/15/2020,4:56,6,80,1014,m
7/15/2020,5:56,5,70,1013.9,m
7/15/2020,6:56,6,90,1013.9,m
7/15/2020,7:56,M,M,M,m
7/15/2020,8:56,5,110,1013.8,m
7/15/2020,9:56,5,280,1014,m
7/15/2020,10:56,7,260,1014.1,m
7/15/2020,11:56,7,270,1014.2,m
7/15/2020,12:56,8,280,1014.2,m
7/15/2020,13:56,7,290,1014.1,m
7/15/2020,14:56,7,270,1013.9,m
7/15/2020,15:56,8,290,1013.7,m
7/15/2020,16:56,8,310,1013.3,m
7/15/2020,17:56,7,290,1012.9,m
7/15/2020,18:56,6,300,1012.7,m
7/15/2020,19:56,6,280,1012.4,m
7/15/2020,20:56,3,280,1012,m
7/15/2020,21:56,6,270,1011.8,m
7/15/2020,22:56,6,270,1011.6,m
7/15/2020,23:56,5,270,1011.4,m
7/16/2020,0:56,7,270,1011.3,m
7/16/2020,1:56,7,270,1011.2,m
7/16/2020,2:56,6,270,1010.7,m
7/16/2020,3:56,5,270,1010.7,m
7/16/2020,4:56,0,0,1010.5,m
7/16/2020,5:56,3,80,1010.3,m
7/16/2020,6:56,0,0,1010.1,m
7/16/2020,7:56,0,0,1009.8,m
7/16/2020,8:56,0,0,1009.6,m
7/16/2020,9:56,6,230,1009.4,m
7/16/2020,10:56,7,230,1009.2,m
7/16/2020,11:56,8,240,1009.4,m
7/16/2020,12:56,8,250,1009.2,m
7/16/2020,13:56,8,270,1009.1,m
7/16/2020,14:56,6,290,1008.9,m
7/16/2020,15:56,6,290,1008.7,m
7/16/2020,16:56,6,280,1008.2,m
7/16/2020,17:56,7,310,1008,m
7/16/2020,18:56,7,300,1007.7,m
7/16/2020,19:56,8,310,1007.4,m
