tag.ID,capture,det,recap,ch
15,B,NA,B,B
35,B,NA,B,B
55,B,NA,NA,B
75,B,55U,NA,BB
95,B,5445,NA,BAB
110,B,5U,NA,BB
115,B,54,NA,BA
130,B,57576,NA,BXB
135,B,NA,NA,B
150,B,5UU54,NA,BBBA
155,B,NA,NA,B
170,B,55,NA,B
175,B,4,NA,BA
190,B,NA,NA,B
195,B,5U,NA,BB
210,B,5U,U,BB
215,B,5U,NA,BB
230,B,NA,NA,B
235,B,4,NA,BA
250,B,5,B,B
255,B,NA,A,BA
270,B,4U,U,BABB
275,B,5U,NA,BB
290,B,NA,NA,B
295,B,NA,NA,B
310,B,4U,U,BABB
315,B,NA,NA,B
330,B,NA,NA,B
335,B,NA,NA,B
350,B,NA,NA,B
355,B,5,NA,B
370,B,4,NA,BA
375,B,5U,NA,BB
390,B,5U,U,BB
395,B,5U,NA,BB
410,B,54,NA,BA
415,B,5U,NA,BB
430,B,5U,NA,BB
435,B,4S,NA,BAA
450,B,5U,NA,BB
455,B,4,B,BAB
470,B,55U,NA,BB
475,B,45U,NA,BABB
490,B,5U,NA,BB
495,B,445,NA,BAB
510,B,55U,NA,BB
515,B,445U,NA,BABB
530,B,5,NA,B
535,B,E,NA,BB
550,B,5,NA,B
555,B,5U,NA,BB
570,B,5U,NA,BB
575,B,5U,NA,BB
590,B,5U,NA,BB
595,B,NA,NA,B
610,B,5U,NA,BB
615,B,445U,NA,BABB
630,B,55U,NA,BB
635,B,4,B,BAB
650,B,5U,NA,BB
655,B,445,B,BAB
670,B,5U,NA,BB
675,B,5U,NA,BB
690,B,U,U,BB
695,B,44,NA,BAB
710,B,U,NA,BB
715,B,5U,U,BB
730,B,5,NA,B
735,B,5U,U,BB
750,B,5U5,NA,BBB
770,B,555U,U,BB
775,B,NA,NA,B
790,B,5,NA,B
810,B,NA,B,B
815,B,55U,NA,BB
830,B,NA,NA,B
835,B,5U,NA,BB
850,B,NA,B,B
855,B,NA,NA,B
870,B,U,NA,BB
875,B,45,B,BAB
890,B,6U,NA,BB
895,B,5554S,NA,BAA
910,B,NA,NA,B
915,B,4,NA,BA
930,B,U42,NA,BAX
935,B,5U,U,BB
950,B,NA,B,B
955,B,E,NA,BB
970,B,NA,U,BB
975,B,NA,NA,B
990,B,NA,B,B
995,B,5U,NA,BB
1010,B,7577567,NA,BXBX
1015,B,5U,NA,BB
1030,B,NA,U,BB
1035,B,EE5U,NA,BBBB
1050,B,5,B,B
1055,B,44U,NA,BABB
1070,B,U,NA,BB
1075,B,5,U,BB
1090,B,U,NA,BB
1095,B,5U,NA,BB
1110,B,U,U,BB
1115,B,44,NA,BAB
1130,B,677,U,BXBB
1135,B,5U,NA,BB
1150,B,NA,NA,B
1155,B,45U,NA,BABB
1170,B,5,B,B
1175,B,EE4S,NA,BAA
1190,B,NA,NA,B
1195,B,45U,NA,BABB
1210,B,5,U,BB
1215,B,E,NA,BB
1230,B,55,B,B
1235,B,5U,NA,BB
1250,B,4,NA,BA
1255,B,44U,NA,BABB
1270,B,5,NA,B
1275,B,567U,U,BXBB
1290,B,44,NA,BAB
1295,B,4,NA,BA
1310,B,5U,NA,BB
1315,B,5445U,NA,BABB
1330,B,NA,NA,B
1335,B,S,NA,BAA
1350,B,5U,NA,BB
1355,B,NA,A,BA
1370,B,5U,NA,BB
1375,B,432233KY,NA,BAXX
1390,B,5U,NA,BB
1395,B,4,B,BAB
1410,B,445,NA,BAB
1415,B,NA,A,BA
1430,B,5543,NA,BAX
1435,B,567,X,BX
1450,B,5U,U,BB
1455,B,5U,NA,BB
1470,B,5U,NA,BB
1475,B,5,NA,B
1490,B,NA,NA,B
1495,B,5U,NA,BB
1510,B,5U,NA,BB
1515,B,5U,NA,BB
1530,B,5,NA,B
1535,B,5U,NA,BB
1550,B,NA,NA,B
1555,B,4,NA,BA
1570,B,566,NA,B
1575,B,E,NA,BB
1590,B,NA,NA,B
1595,B,NA,NA,B
1610,B,5,NA,B
1615,B,5U,NA,BB
1630,B,5U,NA,BB
1650,B,NA,U,BB
1655,B,43,B,BAX
1670,B,NA,NA,B
1675,B,4S,NA,BAA
1690,B,NA,NA,B
1695,B,4SS45U,NA,BABB
1710,B,5,NA,B
1715,B,5,NA,B
1730,B,5U,NA,BB
1735,B,55U,NA,BB
1750,B,NA,NA,B
1755,B,5U,NA,BB
1770,B,5U,NA,BB
1775,B,5U,NA,BB
1790,B,4,NA,BA
1795,B,5U,U,BB
1810,B,NA,NA,B
1815,B,5E,NA,BB
1830,B,445,NA,BAB
1835,B,567,NA,BX
1850,B,NA,NA,B
1855,B,5U,U,BB
1870,B,U,NA,BB
1875,B,5U,NA,BB
1890,B,NA,NA,B
1895,B,55555,NA,B
1910,B,NA,NA,B
1915,B,55E,NA,BB
1930,B,4,NA,BA
1935,B,55,B,B
1950,B,NA,NA,B
1955,B,55E,NA,BB
1970,B,NA,U,BB
1975,B,55U,NA,BB
1990,B,44,NA,BAB
1995,B,5U,NA,BB
2010,B,NA,U,BB
2015,B,5U,U,BB
2030,B,5,U,BB
2050,B,NA,NA,B
2055,B,567,NA,BX
2070,B,NA,NA,B
2075,B,5,NA,B
2090,B,5U,NA,BB
2095,B,55,NA,B
2110,B,5,NA,B
2115,B,5U,NA,BB
2130,B,5,U,BB
2135,B,55U,NA,BB
2150,B,5,U,BB
2155,B,5U,U,BB
2170,B,NA,U,BB
2175,B,5677G,NA,BXBB
2190,B,5,NA,B
2195,B,5411,NA,BAX
2210,B,NA,NA,B
2215,B,5E,NA,BB
2230,B,NA,NA,B
2235,B,5U,NA,BB
2250,B,5,NA,B
2270,B,5,NA,B
2275,B,5,NA,B
2290,B,NA,U,BB
2295,B,554S,A,BAAA
2310,B,NA,NA,B
2315,B,5,U,BB
2330,B,U,NA,BB
2335,B,55555E,NA,BB
2350,B,NA,U,BB
2355,B,545U,U,BABB
2370,B,NA,NA,B
2375,B,5U,NA,BB
2390,B,677766,NA,BXB
2395,B,5U,NA,BB
2410,B,NA,NA,B
2415,B,54S,NA,BAA
2430,B,NA,NA,B
2435,B,55,B,B
2450,B,NA,NA,B
2455,B,567,NA,BX
2470,B,NA,NA,B
2475,B,55,E,BB
2490,B,NA,NA,B
2495,B,5U,NA,BB
2515,B,5U,NA,BB
2535,B,567,NA,BX
2555,B,5U,NA,BB
2575,B,5U,NA,BB
2595,B,5,NA,B
2615,B,5U,NA,BB
2635,B,556,NA,B
2655,B,5,NA,B
2675,B,54,NA,BA
2695,B,5U5,NA,BBB
2715,B,5U,NA,BB
2735,B,5U,NA,BB
2755,B,5,NA,B
2775,B,5U,NA,BB
2795,B,5U,NA,BB
2815,B,5U,U,BB
2835,B,567,NA,BX
2855,B,5U,NA,BB
2875,B,5,NA,B
2895,B,567,NA,BX
2915,B,554345U,NA,BABB
2935,B,5U,NA,BB
2955,B,55U,NA,BB
2975,B,55U,U,BB
2995,B,5E,NA,BB
3015,B,5,NA,B
3035,B,5,NA,B
3055,B,5,NA,B
3075,B,5U,NA,BB
3095,B,5,NA,B
3115,B,55E,NA,BB
3135,B,5555,NA,B
3155,B,55,NA,B
3175,B,5U,NA,BB
3195,B,55555,NA,B
3215,B,55U,NA,BB
3235,B,5,B,B
