group,estimate,lcl,ucl
S sA gShaktoolikF c1 a0 o1 t1,1,1,1
S sA gShaktoolikF c1 a1 o2 t2,0.2984963,0.1924052,0.4318075
S sA gShaktoolikF c1 a2 o3 t3,0.1196652,0.0614709,0.2200354
S sB gShaktoolikF c1 a0 o1 t1,1,1,1
S sB gShaktoolikF c1 a1 o2 t2,0.1123953,0.0376145,0.2909069
S sB gShaktoolikF c1 a2 o3 t3,0.0388792,0.0116315,0.1220729
S sX gShaktoolikF c1 a0 o1 t1,1,0.9999998,1.0000002
S sX gShaktoolikF c1 a1 o2 t2,0.0093459,0.0018637,0.0454986
S sX gShaktoolikF c1 a2 o3 t3,0.0030047,0.000576467,0.0155029
S sA gTransitoryF c1 a0 o1 t1,1,1,1
S sA gTransitoryF c1 a1 o2 t2,0.9463377,0.827964,0.9847606
S sA gTransitoryF c1 a2 o3 t3,0.8492528,0.5928048,0.9561413
S sB gTransitoryF c1 a0 o1 t1,1,0.9999999,1.0000001
S sB gTransitoryF c1 a1 o2 t2,0.8399497,0.6565982,0.9350836
S sB gTransitoryF c1 a2 o3 t3,0.6263799,0.3689175,0.8278261
S sX gTransitoryF c1 a0 o1 t1,1,1,1
S sX gTransitoryF c1 a1 o2 t2,0.2810892,0.1420112,0.480149
S sX gTransitoryF c1 a2 o3 t3,0.111036,0.0486711,0.2336833
S sA gUnalakleetF c1 a0 o1 t1,1,1,1
S sA gUnalakleetF c1 a1 o2 t2,0.7064869,0.4607336,0.8714852
S sA gUnalakleetF c1 a2 o3 t3,0.4346868,0.1999798,0.7028513
S sB gUnalakleetF c1 a0 o1 t1,1,1,1
S sB gUnalakleetF c1 a1 o2 t2,0.417352,0.3568272,0.4804739
S sB gUnalakleetF c1 a2 o3 t3,0.1862157,0.1275156,0.2637685
S sX gUnalakleetF c1 a0 o1 t1,1,1,1
S sX gUnalakleetF c1 a1 o2 t2,0.0506628,0.0143163,0.1639385
S sX gUnalakleetF c1 a2 o3 t3,0.0167625,0.0044428,0.0611454
p sA gShaktoolikF c1 a1 o1 t2,1,1,1
Psi sA toB gShaktoolikF c1 a0 o1 t1,0.2274786,0.1307937,0.3655751
Psi sA toB gShaktoolikF c1 a1 o2 t2,0.0994309,0.0394485,0.2288852
Psi sA toB gShaktoolikF c1 a2 o3 t3,0.0332645,0.0035957,0.2470403
Psi sA toX gShaktoolikF c1 a0 o1 t1,0.0330839,0.0169081,0.0637317
Psi sA toX gShaktoolikF c1 a1 o2 t2,0.014461,0.005382,0.038266
Psi sA toX gShaktoolikF c1 a2 o3 t3,0.0048379,0.000522385,0.0432615
Psi sB toA gShaktoolikF c1 a0 o1 t1,0.0029991,0.0010568,0.0084811
Psi sB toA gShaktoolikF c1 a1 o2 t2,0.0010979,0.000306085,0.0039302
Psi sB toA gShaktoolikF c1 a2 o3 t3,0.000338857,3.16E-05,0.0036283
Psi sB toX gShaktoolikF c1 a0 o1 t1,0.0027125,0.000950414,0.0077166
Psi sB toX gShaktoolikF c1 a1 o2 t2,0.000993005,0.000275551,0.0035718
Psi sB toX gShaktoolikF c1 a2 o3 t3,0.000306477,2.85E-05,0.0032906
Psi sX toA gShaktoolikF c1 a0 o1 t1,0.1385277,0.0759685,0.2392642
Psi sX toA gShaktoolikF c1 a1 o2 t2,0.1385277,0.0760651,0.2390139
Psi sX toA gShaktoolikF c1 a2 o3 t3,0.1385277,0.0759685,0.2392642
Psi sX toB gShaktoolikF c1 a0 o1 t1,0.8614723,0.7609861,0.9239349
Psi sX toB gShaktoolikF c1 a1 o2 t2,0.8614723,0.7570197,0.9254449
Psi sX toB gShaktoolikF c1 a2 o3 t3,0.8614723,0.7570197,0.9254449
Psi sA toB gTransitoryF c1 a0 o1 t1,0.8726533,0.8090678,0.9172295
Psi sA toB gTransitoryF c1 a1 o2 t2,0.8719999,0.8085039,0.9166135
Psi sA toB gTransitoryF c1 a2 o3 t3,0.8696989,0.8058661,0.9147629
Psi sA toX gTransitoryF c1 a0 o1 t1,0.1269164,0.0823742,0.1905427
Psi sA toX gTransitoryF c1 a1 o2 t2,0.1268214,0.082313,0.1904031
Psi sA toX gTransitoryF c1 a2 o3 t3,0.1264867,0.0820905,0.1899253
Psi sB toA gTransitoryF c1 a0 o1 t1,0.5115808,0.3922208,0.6296347
Psi sB toA gTransitoryF c1 a1 o2 t2,0.4896443,0.367238,0.6133052
Psi sB toA gTransitoryF c1 a2 o3 t3,0.4252145,0.2401319,0.6339384
Psi sB toX gTransitoryF c1 a0 o1 t1,0.4626952,0.3464178,0.5831769
Psi sB toX gTransitoryF c1 a1 o2 t2,0.4428549,0.3251093,0.567393
Psi sB toX gTransitoryF c1 a2 o3 t3,0.3845819,0.2168174,0.5851668
Psi sX toA gTransitoryF c1 a0 o1 t1,0.1385277,0.0759685,0.2392642
Psi sX toA gTransitoryF c1 a1 o2 t2,0.1385277,0.0760651,0.2390139
Psi sX toA gTransitoryF c1 a2 o3 t3,0.1385277,0.0760651,0.2390139
Psi sX toB gTransitoryF c1 a0 o1 t1,0.8614723,0.7570197,0.9254449
Psi sX toB gTransitoryF c1 a1 o2 t2,0.8614723,0.7609861,0.9239349
Psi sX toB gTransitoryF c1 a2 o3 t3,0.8614723,0.7609861,0.9239349
Psi sA toB gUnalakleetF c1 a0 o1 t1,0.7865509,0.7008071,0.8528805
Psi sA toB gUnalakleetF c1 a1 o2 t2,0.6708239,0.5037058,0.8036088
Psi sA toB gUnalakleetF c1 a2 o3 t3,0.4413558,0.092658,0.8593958
Psi sA toX gUnalakleetF c1 a0 o1 t1,0.1143939,0.0738303,0.173079
Psi sA toX gUnalakleetF c1 a1 o2 t2,0.0975629,0.0600072,0.1547532
Psi sA toX gUnalakleetF c1 a2 o3 t3,0.0641896,0.018353,0.2010567
Psi sB toA gUnalakleetF c1 a0 o1 t1,0.0678031,0.0384919,0.1167248
Psi sB toA gUnalakleetF c1 a1 o2 t2,0.0269411,0.0117202,0.0607148
Psi sB toA gUnalakleetF c1 a2 o3 t3,0.0086085,0.000934185,0.0746188
Psi sB toX gUnalakleetF c1 a0 o1 t1,0.0613239,0.0344658,0.1067967
Psi sB toX gUnalakleetF c1 a1 o2 t2,0.0243667,0.01053,0.0553677
Psi sB toX gUnalakleetF c1 a2 o3 t3,0.0077859,0.000843535,0.0679774
Psi sX toA gUnalakleetF c1 a0 o1 t1,0.1385277,0.0759685,0.2392643
Psi sX toA gUnalakleetF c1 a1 o2 t2,0.1385277,0.0760651,0.2390139
Psi sX toA gUnalakleetF c1 a2 o3 t3,0.1385277,0.0759685,0.2392642
Psi sX toB gUnalakleetF c1 a0 o1 t1,0.8614723,0.7455647,0.9295665
Psi sX toB gUnalakleetF c1 a1 o2 t2,0.8614723,0.7570197,0.9254449
Psi sX toB gUnalakleetF c1 a2 o3 t3,0.8614723,0.7570197,0.9254449
