"","par.index","estimate","se","fixed","note","group","cohort","age","time","occ","occ.cohort","stratum","tostratum","Cohort","Age","Time","stock","sex","A","B","X","toA","toB","toX"
"Psi sA toB gShaktoolikF c1 a0 o1 t1",217,0.237556518159271,0.0327918302318176,"     ","","ShaktoolikF","1","0","1",1,1,"A","B",0,0,0,"Shaktoolik","F",1,0,0,0,1,0
"Psi sA toB gShaktoolikF c1 a1 o2 t2",218,0.10517467150913,0.0276037715312596,"     ","","ShaktoolikF","1","1","2",2,1,"A","B",0,1,1,"Shaktoolik","F",1,0,0,0,1,0
"Psi sA toB gShaktoolikF c1 a2 o3 t3",219,0.0358940409333934,0.0341295509367606,"     ","","ShaktoolikF","1","2","3",3,1,"A","B",0,2,2,"Shaktoolik","F",1,0,0,0,1,0
"Psi sA toB gShaktoolikF c2 a0 o2 t2",220,0.10517467150913,0.0276037715312596,"     ","","ShaktoolikF","2","0","2",2,2,"A","B",1,0,1,"Shaktoolik","F",1,0,0,0,1,0
"Psi sA toB gShaktoolikF c2 a1 o3 t3",221,0.0358940409333934,0.0341295509367606,"     ","","ShaktoolikF","2","1","3",3,2,"A","B",1,1,2,"Shaktoolik","F",1,0,0,0,1,0
"Psi sA toB gShaktoolikF c3 a0 o3 t3",222,0.0358940409333934,0.0341295509367606,"     ","","ShaktoolikF","3","0","3",3,3,"A","B",2,0,2,"Shaktoolik","F",1,0,0,0,1,0
"Psi sA toX gShaktoolikF c1 a0 o1 t1",223,0.0345503478203833,0.00607052204495111,"     ","","ShaktoolikF","1","0","1",1,1,"A","X",0,0,0,"Shaktoolik","F",1,0,0,0,0,1
"Psi sA toX gShaktoolikF c1 a1 o2 t2",224,0.0152966624010633,0.00391212276245102,"     ","","ShaktoolikF","1","1","2",2,1,"A","X",0,1,1,"Shaktoolik","F",1,0,0,0,0,1
"Psi sA toX gShaktoolikF c1 a2 o3 t3",225,0.00522044999637029,0.00465824268154586,"     ","","ShaktoolikF","1","2","3",3,1,"A","X",0,2,2,"Shaktoolik","F",1,0,0,0,0,1
"Psi sA toX gShaktoolikF c2 a0 o2 t2",226,0.0152966624010633,0.00391212276245102,"     ","","ShaktoolikF","2","0","2",2,2,"A","X",1,0,1,"Shaktoolik","F",1,0,0,0,0,1
"Psi sA toX gShaktoolikF c2 a1 o3 t3",227,0.00522044999637029,0.00465824268154586,"     ","","ShaktoolikF","2","1","3",3,2,"A","X",1,1,2,"Shaktoolik","F",1,0,0,0,0,1
"Psi sA toX gShaktoolikF c3 a0 o3 t3",228,0.00522044999637029,0.00465824268154586,"     ","","ShaktoolikF","3","0","3",3,3,"A","X",2,0,2,"Shaktoolik","F",1,0,0,0,0,1
"Psi sB toA gShaktoolikF c1 a0 o1 t1",229,0.00317586647307026,0.000859268526995373,"     ","","ShaktoolikF","1","0","1",1,1,"B","A",0,0,0,"Shaktoolik","F",0,1,0,1,0,0
"Psi sB toA gShaktoolikF c1 a1 o2 t2",230,0.00116792154006556,0.000384730077945544,"     ","","ShaktoolikF","1","1","2",2,1,"B","A",0,1,1,"Shaktoolik","F",0,1,0,1,0,0
"Psi sB toA gShaktoolikF c1 a2 o3 t3",231,0.000366125290296493,0.000326542172296057,"     ","","ShaktoolikF","1","2","3",3,1,"B","A",0,2,2,"Shaktoolik","F",0,1,0,1,0,0
"Psi sB toA gShaktoolikF c2 a0 o2 t2",232,0.00116792154006556,0.000384730077945544,"     ","","ShaktoolikF","2","0","2",2,2,"B","A",1,0,1,"Shaktoolik","F",0,1,0,1,0,0
"Psi sB toA gShaktoolikF c2 a1 o3 t3",233,0.000366125290296493,0.000326542172296057,"     ","","ShaktoolikF","2","1","3",3,2,"B","A",1,1,2,"Shaktoolik","F",0,1,0,1,0,0
"Psi sB toA gShaktoolikF c3 a0 o3 t3",234,0.000366125290296493,0.000326542172296057,"     ","","ShaktoolikF","3","0","3",3,3,"B","A",2,0,2,"Shaktoolik","F",0,1,0,1,0,0
"Psi sB toX gShaktoolikF c1 a0 o1 t1",235,0.00287241521221969,0.000925467385528141,"     ","","ShaktoolikF","1","0","1",1,1,"B","X",0,0,0,"Shaktoolik","F",0,1,0,0,0,1
"Psi sB toX gShaktoolikF c1 a1 o2 t2",236,0.00105632767670427,0.000449845832631852,"     ","","ShaktoolikF","1","1","2",2,1,"B","X",0,1,1,"Shaktoolik","F",0,1,0,0,0,1
"Psi sB toX gShaktoolikF c1 a2 o3 t3",237,0.000331142363055742,0.000334316645324587,"     ","","ShaktoolikF","1","2","3",3,1,"B","X",0,2,2,"Shaktoolik","F",0,1,0,0,0,1
"Psi sB toX gShaktoolikF c2 a0 o2 t2",238,0.00105632767670427,0.000449845832631852,"     ","","ShaktoolikF","2","0","2",2,2,"B","X",1,0,1,"Shaktoolik","F",0,1,0,0,0,1
"Psi sB toX gShaktoolikF c2 a1 o3 t3",239,0.000331142363055742,0.000334316645324587,"     ","","ShaktoolikF","2","1","3",3,2,"B","X",1,1,2,"Shaktoolik","F",0,1,0,0,0,1
"Psi sB toX gShaktoolikF c3 a0 o3 t3",240,0.000331142363055742,0.000334316645324587,"     ","","ShaktoolikF","3","0","3",3,3,"B","X",2,0,2,"Shaktoolik","F",0,1,0,0,0,1
