"","par.index","estimate","se","fixed","note","group","cohort","age","time","occ","occ.cohort","stratum","Cohort","Age","Time","stock","sex","A","B","X"
"S sA gShaktoolikF c1 a0 o1 t1",1,0.999999999968228,6.0188984782935e-12,"     ","","ShaktoolikF","1","0","1",1,1,"A",0,0,0,"Shaktoolik","F",1,0,0
"S sA gShaktoolikF c1 a1 o2 t2",2,0.298494488512872,0.0619628009650271,"     ","","ShaktoolikF","1","1","2",2,1,"A",0,1,1,"Shaktoolik","F",1,0,0
"S sA gShaktoolikF c1 a2 o3 t3",3,0.119662883844345,0.039243006099275,"     ","","ShaktoolikF","1","2","3",3,1,"A",0,2,2,"Shaktoolik","F",1,0,0
"S sA gShaktoolikF c2 a0 o2 t2",4,0.298494488512872,0.0619628009650271,"     ","","ShaktoolikF","2","0","2",2,2,"A",1,0,1,"Shaktoolik","F",1,0,0
"S sA gShaktoolikF c2 a1 o3 t3",5,0.119662883844345,0.039243006099275,"     ","","ShaktoolikF","2","1","3",3,2,"A",1,1,2,"Shaktoolik","F",1,0,0
"S sA gShaktoolikF c3 a0 o3 t3",6,0.119662883844345,0.039243006099275,"     ","","ShaktoolikF","3","0","3",3,3,"A",2,0,2,"Shaktoolik","F",1,0,0
"S sB gShaktoolikF c1 a0 o1 t1",7,0.999999999893245,2.02189535185504e-11,"     ","","ShaktoolikF","1","0","1",1,1,"B",0,0,0,"Shaktoolik","F",0,1,0
"S sB gShaktoolikF c1 a1 o2 t2",8,0.112402894442727,0.0598357472973135,"     ","","ShaktoolikF","1","1","2",2,1,"B",0,1,1,"Shaktoolik","F",0,1,0
"S sB gShaktoolikF c1 a2 o3 t3",9,0.0388815659310818,0.0235406573001655,"     ","","ShaktoolikF","1","2","3",3,1,"B",0,2,2,"Shaktoolik","F",0,1,0
"S sB gShaktoolikF c2 a0 o2 t2",10,0.112402894442727,0.0598357472973135,"     ","","ShaktoolikF","2","0","2",2,2,"B",1,0,1,"Shaktoolik","F",0,1,0
"S sB gShaktoolikF c2 a1 o3 t3",11,0.0388815659310818,0.0235406573001655,"     ","","ShaktoolikF","2","1","3",3,2,"B",1,1,2,"Shaktoolik","F",0,1,0
"S sB gShaktoolikF c3 a0 o3 t3",12,0.0388815659310818,0.0235406573001655,"     ","","ShaktoolikF","3","0","3",3,3,"B",2,0,2,"Shaktoolik","F",0,1,0
"S sX gShaktoolikF c1 a0 o1 t1",13,0.999999998567111,2.71377180380579e-10,"     ","","ShaktoolikF","1","0","1",1,1,"X",0,0,0,"Shaktoolik","F",0,0,1
"S sX gShaktoolikF c1 a1 o2 t2",14,0.00934672303739129,0.00765266035522081,"     ","","ShaktoolikF","1","1","2",2,1,"X",0,1,1,"Shaktoolik","F",0,0,1
