"","par.index","estimate","se","fixed","note","group","cohort","age","time","occ","occ.cohort","stratum","Cohort","Age","Time","stock","sex","A","B","X"
"p sA gShaktoolikF c1 a1 o1 t2",109,1,0,"Fixed","","ShaktoolikF","1","1","2",1,1,"A",0,1,0,"Shaktoolik","F",1,0,0
"p sA gShaktoolikF c1 a2 o2 t3",110,1,0,"Fixed","","ShaktoolikF","1","2","3",2,1,"A",0,2,1,"Shaktoolik","F",1,0,0
"p sA gShaktoolikF c1 a3 o3 t4",111,1,0,"Fixed","","ShaktoolikF","1","3","4",3,1,"A",0,3,2,"Shaktoolik","F",1,0,0
"p sA gShaktoolikF c2 a1 o2 t3",112,1,0,"Fixed","","ShaktoolikF","2","1","3",2,2,"A",1,1,1,"Shaktoolik","F",1,0,0
"p sA gShaktoolikF c2 a2 o3 t4",113,1,0,"Fixed","","ShaktoolikF","2","2","4",3,2,"A",1,2,2,"Shaktoolik","F",1,0,0
"p sA gShaktoolikF c3 a1 o3 t4",114,1,0,"Fixed","","ShaktoolikF","3","1","4",3,3,"A",2,1,2,"Shaktoolik","F",1,0,0
"p sB gShaktoolikF c1 a1 o1 t2",115,1,0,"Fixed","","ShaktoolikF","1","1","2",1,1,"B",0,1,0,"Shaktoolik","F",0,1,0
"p sB gShaktoolikF c1 a2 o2 t3",116,1,0,"Fixed","","ShaktoolikF","1","2","3",2,1,"B",0,2,1,"Shaktoolik","F",0,1,0
"p sB gShaktoolikF c1 a3 o3 t4",117,1,0,"Fixed","","ShaktoolikF","1","3","4",3,1,"B",0,3,2,"Shaktoolik","F",0,1,0
"p sB gShaktoolikF c2 a1 o2 t3",118,1,0,"Fixed","","ShaktoolikF","2","1","3",2,2,"B",1,1,1,"Shaktoolik","F",0,1,0
"p sB gShaktoolikF c2 a2 o3 t4",119,1,0,"Fixed","","ShaktoolikF","2","2","4",3,2,"B",1,2,2,"Shaktoolik","F",0,1,0
"p sB gShaktoolikF c3 a1 o3 t4",120,1,0,"Fixed","","ShaktoolikF","3","1","4",3,3,"B",2,1,2,"Shaktoolik","F",0,1,0
"p sX gShaktoolikF c1 a1 o1 t2",121,1,0,"Fixed","","ShaktoolikF","1","1","2",1,1,"X",0,1,0,"Shaktoolik","F",0,0,1
"p sX gShaktoolikF c1 a2 o2 t3",122,1,0,"Fixed","","ShaktoolikF","1","2","3",2,1,"X",0,2,1,"Shaktoolik","F",0,0,1
"p sX gShaktoolikF c1 a3 o3 t4",123,1,0,"Fixed","","ShaktoolikF","1","3","4",3,1,"X",0,3,2,"Shaktoolik","F",0,0,1
"p sX gShaktoolikF c2 a1 o2 t3",124,1,0,"Fixed","","ShaktoolikF","2","1","3",2,2,"X",1,1,1,"Shaktoolik","F",0,0,1
"p sX gShaktoolikF c2 a2 o3 t4",125,1,0,"Fixed","","ShaktoolikF","2","2","4",3,2,"X",1,2,2,"Shaktoolik","F",0,0,1
"p sX gShaktoolikF c3 a1 o3 t4",126,1,0,"Fixed","","ShaktoolikF","3","1","4",3,3,"X",2,1,2,"Shaktoolik","F",0,0,1
"p sA gTransitoryF c1 a1 o1 t2",127,1,0,"Fixed","","TransitoryF","1","1","2",1,1,"A",0,1,0,"Transitory","F",1,0,0
"p sA gTransitoryF c1 a2 o2 t3",128,1,0,"Fixed","","TransitoryF","1","2","3",2,1,"A",0,2,1,"Transitory","F",1,0,0
"p sA gTransitoryF c1 a3 o3 t4",129,1,0,"Fixed","","TransitoryF","1","3","4",3,1,"A",0,3,2,"Transitory","F",1,0,0
"p sA gTransitoryF c2 a1 o2 t3",130,1,0,"Fixed","","TransitoryF","2","1","3",2,2,"A",1,1,1,"Transitory","F",1,0,0
"p sA gTransitoryF c2 a2 o3 t4",131,1,0,"Fixed","","TransitoryF","2","2","4",3,2,"A",1,2,2,"Transitory","F",1,0,0
"p sA gTransitoryF c3 a1 o3 t4",132,1,0,"Fixed","","TransitoryF","3","1","4",3,3,"A",2,1,2,"Transitory","F",1,0,0
"p sB gTransitoryF c1 a1 o1 t2",133,1,0,"Fixed","","TransitoryF","1","1","2",1,1,"B",0,1,0,"Transitory","F",0,1,0
"p sB gTransitoryF c1 a2 o2 t3",134,1,0,"Fixed","","TransitoryF","1","2","3",2,1,"B",0,2,1,"Transitory","F",0,1,0
"p sB gTransitoryF c1 a3 o3 t4",135,1,0,"Fixed","","TransitoryF","1","3","4",3,1,"B",0,3,2,"Transitory","F",0,1,0
"p sB gTransitoryF c2 a1 o2 t3",136,1,0,"Fixed","","TransitoryF","2","1","3",2,2,"B",1,1,1,"Transitory","F",0,1,0
"p sB gTransitoryF c2 a2 o3 t4",137,1,0,"Fixed","","TransitoryF","2","2","4",3,2,"B",1,2,2,"Transitory","F",0,1,0
"p sB gTransitoryF c3 a1 o3 t4",138,1,0,"Fixed","","TransitoryF","3","1","4",3,3,"B",2,1,2,"Transitory","F",0,1,0
"p sX gTransitoryF c1 a1 o1 t2",139,1,0,"Fixed","","TransitoryF","1","1","2",1,1,"X",0,1,0,"Transitory","F",0,0,1
"p sX gTransitoryF c1 a2 o2 t3",140,1,0,"Fixed","","TransitoryF","1","2","3",2,1,"X",0,2,1,"Transitory","F",0,0,1
"p sX gTransitoryF c1 a3 o3 t4",141,1,0,"Fixed","","TransitoryF","1","3","4",3,1,"X",0,3,2,"Transitory","F",0,0,1
"p sX gTransitoryF c2 a1 o2 t3",142,1,0,"Fixed","","TransitoryF","2","1","3",2,2,"X",1,1,1,"Transitory","F",0,0,1
"p sX gTransitoryF c2 a2 o3 t4",143,1,0,"Fixed","","TransitoryF","2","2","4",3,2,"X",1,2,2,"Transitory","F",0,0,1
"p sX gTransitoryF c3 a1 o3 t4",144,1,0,"Fixed","","TransitoryF","3","1","4",3,3,"X",2,1,2,"Transitory","F",0,0,1
"p sA gUnalakleetF c1 a1 o1 t2",145,1,0,"Fixed","","UnalakleetF","1","1","2",1,1,"A",0,1,0,"Unalakleet","F",1,0,0
"p sA gUnalakleetF c1 a2 o2 t3",146,1,0,"Fixed","","UnalakleetF","1","2","3",2,1,"A",0,2,1,"Unalakleet","F",1,0,0
"p sA gUnalakleetF c1 a3 o3 t4",147,1,0,"Fixed","","UnalakleetF","1","3","4",3,1,"A",0,3,2,"Unalakleet","F",1,0,0
"p sA gUnalakleetF c2 a1 o2 t3",148,1,0,"Fixed","","UnalakleetF","2","1","3",2,2,"A",1,1,1,"Unalakleet","F",1,0,0
"p sA gUnalakleetF c2 a2 o3 t4",149,1,0,"Fixed","","UnalakleetF","2","2","4",3,2,"A",1,2,2,"Unalakleet","F",1,0,0
"p sA gUnalakleetF c3 a1 o3 t4",150,1,0,"Fixed","","UnalakleetF","3","1","4",3,3,"A",2,1,2,"Unalakleet","F",1,0,0
"p sB gUnalakleetF c1 a1 o1 t2",151,1,0,"Fixed","","UnalakleetF","1","1","2",1,1,"B",0,1,0,"Unalakleet","F",0,1,0
"p sB gUnalakleetF c1 a2 o2 t3",152,1,0,"Fixed","","UnalakleetF","1","2","3",2,1,"B",0,2,1,"Unalakleet","F",0,1,0
"p sB gUnalakleetF c1 a3 o3 t4",153,1,0,"Fixed","","UnalakleetF","1","3","4",3,1,"B",0,3,2,"Unalakleet","F",0,1,0
"p sB gUnalakleetF c2 a1 o2 t3",154,1,0,"Fixed","","UnalakleetF","2","1","3",2,2,"B",1,1,1,"Unalakleet","F",0,1,0
"p sB gUnalakleetF c2 a2 o3 t4",155,1,0,"Fixed","","UnalakleetF","2","2","4",3,2,"B",1,2,2,"Unalakleet","F",0,1,0
"p sB gUnalakleetF c3 a1 o3 t4",156,1,0,"Fixed","","UnalakleetF","3","1","4",3,3,"B",2,1,2,"Unalakleet","F",0,1,0
"p sX gUnalakleetF c1 a1 o1 t2",157,1,0,"Fixed","","UnalakleetF","1","1","2",1,1,"X",0,1,0,"Unalakleet","F",0,0,1
"p sX gUnalakleetF c1 a2 o2 t3",158,1,0,"Fixed","","UnalakleetF","1","2","3",2,1,"X",0,2,1,"Unalakleet","F",0,0,1
"p sX gUnalakleetF c1 a3 o3 t4",159,1,0,"Fixed","","UnalakleetF","1","3","4",3,1,"X",0,3,2,"Unalakleet","F",0,0,1
"p sX gUnalakleetF c2 a1 o2 t3",160,1,0,"Fixed","","UnalakleetF","2","1","3",2,2,"X",1,1,1,"Unalakleet","F",0,0,1
"p sX gUnalakleetF c2 a2 o3 t4",161,1,0,"Fixed","","UnalakleetF","2","2","4",3,2,"X",1,2,2,"Unalakleet","F",0,0,1
"p sX gUnalakleetF c3 a1 o3 t4",162,1,0,"Fixed","","UnalakleetF","3","1","4",3,3,"X",2,1,2,"Unalakleet","F",0,0,1
"p sA gShaktoolikM c1 a1 o1 t2",163,1,0,"Fixed","","ShaktoolikM","1","1","2",1,1,"A",0,1,0,"Shaktoolik","M",1,0,0
"p sA gShaktoolikM c1 a2 o2 t3",164,1,0,"Fixed","","ShaktoolikM","1","2","3",2,1,"A",0,2,1,"Shaktoolik","M",1,0,0
