lat,long
63.86890599,-160.7992002
63.86913523,-160.7981641
63.86924897,-160.7971211
63.86924705,-160.7960714
63.86936112,-160.7952887
63.86935953,-160.7944991
63.86947118,-160.7924034
63.86958425,-160.7910959
63.86969682,-160.7895258
63.86969539,-160.7887384
63.86980955,-160.7879594
63.86992246,-160.7861351
63.87003528,-160.7845658
63.87015003,-160.7840464
63.87014785,-160.7832508
63.87026134,-160.7822003
63.87048924,-160.7801182
63.87048631,-160.7785467
63.87071505,-160.77724
63.87071178,-160.7754053
63.87093927,-160.7733132
63.87093876,-160.7730505
63.87105091,-160.7712167
63.87104941,-160.7704285
63.87116256,-160.7691198
63.87127421,-160.7670228
63.87150379,-160.7659807
63.87184879,-160.7646803
63.87207896,-160.7639007
63.8723082,-160.762595
63.87242194,-160.7615477
63.87276778,-160.7605085
63.87299778,-160.7594641
63.87334378,-160.7584236
63.87357429,-160.7576419
63.87380445,-160.7565982
63.87415012,-160.7552929
63.87438113,-160.7545125
63.87461096,-160.7532049
63.87472454,-160.7518925
63.87483744,-160.7503167
63.87483685,-160.7500535
63.87483409,-160.748737
63.87483115,-160.7474201
63.87482654,-160.7453141
63.8745911,-160.7439912
63.8743564,-160.7429322
63.87435582,-160.7426689
63.87388819,-160.7413419
63.87365358,-160.7402842
63.87353632,-160.7397555
63.87306626,-160.7371156
63.8728314,-160.7357961
63.8725957,-160.7342132
63.87224517,-160.7331532
63.87224458,-160.7328904
63.87177628,-160.7307803
63.87142659,-160.7297243
63.87107614,-160.7284048
63.87072704,-160.7276112
63.87026235,-160.7268159
63.86979782,-160.7260211
63.86944913,-160.7252285
63.86898511,-160.7244343
63.86840567,-160.7236387
63.86794274,-160.7231075
63.86724872,-160.7223111
63.86690103,-160.7215203
63.86655402,-160.7209917
63.86574291,-160.7188856
63.86516313,-160.7172992
63.86470171,-160.7165136
63.86424037,-160.7157283
63.8638952,-160.715466
63.8633192,-160.7146772
63.86285827,-160.7138886
63.86228227,-160.7128382
63.86182127,-160.7117896
63.86159085,-160.7112654
63.86124409,-160.7099573
63.86101191,-160.708651
63.86089548,-160.7078694
63.86066213,-160.7060412
63.86065895,-160.7047361
63.86054261,-160.7039525
63.86054009,-160.7029085
63.86053691,-160.7016035
63.86053246,-160.6997765
63.86052995,-160.6987326
63.86052651,-160.6974282
63.86063791,-160.6961231
63.86075048,-160.6953397
63.86086171,-160.6940338
63.8609736,-160.692989
63.86119883,-160.6914206
63.86153989,-160.6903746
63.86188162,-160.6895896
63.86233893,-160.6890639
63.862797,-160.6887992
63.86325616,-160.6887967
63.86359991,-160.6885337
63.86417381,-160.6882678
63.86474856,-160.6882637
63.86543873,-160.6882587
63.86589915,-160.6882554
63.86659007,-160.6882504
63.8669359,-160.6882481
63.86774266,-160.6882418
63.86831942,-160.6882374
63.86878042,-160.6879718
63.86958794,-160.6871798
63.8700497,-160.6866521
63.87074104,-160.6853344
63.87108536,-160.6842808
63.87143129,-160.6834892
63.87177704,-160.682698
63.87200478,-160.6811186
63.8722336,-160.6800646
63.8722305,-160.6787506
63.87234299,-160.6774349
63.87245681,-160.6766448
63.87245304,-160.6750677
63.87256687,-160.6742774
63.87256318,-160.6729629
63.87278941,-160.670856
63.87290172,-160.6695396
63.87336248,-160.6682162
63.87370898,-160.6676843
63.87405608,-160.6671515
63.87452044,-160.6663518
63.87498328,-160.6658167
63.87532954,-160.6650204
63.87556004,-160.6639614
63.87555744,-160.6629079
63.87555283,-160.6615924
63.87555133,-160.6610659
63.87450057,-160.6592462
63.87403487,-160.6589943
63.87345275,-160.6584824
63.8731023,-160.6579662
63.87251901,-160.6571938
63.87147169,-160.655908
63.87100683,-160.6553954
63.87054138,-160.6546207
63.8704242,-160.6538346
63.87018993,-160.6525263
63.86995574,-160.6514828
63.8696021,-160.6491315
63.86959883,-160.6478181
63.86982942,-160.6475484
63.86994048,-160.6459704
63.87028447,-160.6449097
63.87063006,-160.6443736
63.87097732,-160.6443624
63.87155592,-160.6440797
63.87213612,-160.6440586
63.8725993,-160.6437804
63.87317807,-160.6432351
63.87352567,-160.6429604
63.87410402,-160.6421514
63.87444961,-160.6410879
63.87468045,-160.6405541
63.87479419,-160.6394954
