"","Array","date(datetime)","yday","hour","dist","freq","prop"
"1","Bald Head",2020-07-17,199,1,300,20,0.333333333333333
"2","Bald Head",2020-07-17,199,1,600,30.4,0.506666666666667
"3","Bald Head",2020-07-17,199,1,900,25.75,0.429166666666667
"4","Bald Head",2020-07-17,199,1,1200,15.3333333333333,0.255555555555556
"5","Bald Head",2020-07-17,199,1,1500,1,0.0166666666666667
"6","Bald Head",2020-07-17,199,2,300,21.3333333333333,0.355555555555556
"7","Bald Head",2020-07-17,199,2,600,29.7142857142857,0.495238095238095
"8","Bald Head",2020-07-17,199,2,900,30.4,0.506666666666667
"9","Bald Head",2020-07-17,199,2,1200,18,0.3
"10","Bald Head",2020-07-17,199,2,1500,1,0.0166666666666667
"11","Bald Head",2020-07-17,199,3,300,21.3333333333333,0.355555555555556
"12","Bald Head",2020-07-17,199,3,600,22.2857142857143,0.371428571428571
"13","Bald Head",2020-07-17,199,3,900,28,0.466666666666667
"14","Bald Head",2020-07-17,199,3,1200,14,0.233333333333333
"15","Bald Head",2020-07-17,199,3,1500,0,0
"16","Bald Head",2020-07-17,199,4,300,13.4444444444444,0.224074074074074
"17","Bald Head",2020-07-17,199,4,600,10.1428571428571,0.169047619047619
"18","Bald Head",2020-07-17,199,4,900,13,0.216666666666667
"19","Bald Head",2020-07-17,199,4,1200,0,0
"20","Bald Head",2020-07-17,199,4,1500,0,0
"21","Bald Head",2020-07-17,199,5,300,16.2222222222222,0.27037037037037
"22","Bald Head",2020-07-17,199,5,600,11.7142857142857,0.195238095238095
"23","Bald Head",2020-07-17,199,5,900,12.6,0.21
"24","Bald Head",2020-07-17,199,5,1200,0,0
"25","Bald Head",2020-07-17,199,5,1500,0,0
"26","Bald Head",2020-07-17,199,6,300,13,0.216666666666667
"27","Bald Head",2020-07-17,199,6,600,11.5714285714286,0.192857142857143
"28","Bald Head",2020-07-17,199,6,900,14,0.233333333333333
"29","Bald Head",2020-07-17,199,6,1200,0.333333333333333,0.00555555555555556
"30","Bald Head",2020-07-17,199,6,1500,0,0
"31","Bald Head",2020-07-17,199,7,300,14.2222222222222,0.237037037037037
"32","Bald Head",2020-07-17,199,7,600,11.1428571428571,0.185714285714286
"33","Bald Head",2020-07-17,199,7,900,13.2,0.22
"34","Bald Head",2020-07-17,199,7,1200,0,0
"35","Bald Head",2020-07-17,199,7,1500,0,0
"36","Bald Head",2020-07-17,199,8,300,12.6666666666667,0.211111111111111
"37","Bald Head",2020-07-17,199,8,600,13.4285714285714,0.223809523809524
"38","Bald Head",2020-07-17,199,8,900,13.8,0.23
"39","Bald Head",2020-07-17,199,8,1200,0.333333333333333,0.00555555555555556
"40","Bald Head",2020-07-17,199,8,1500,0,0
"41","Bald Head",2020-07-17,199,9,300,13.3333333333333,0.222222222222222
"42","Bald Head",2020-07-17,199,9,600,13.2857142857143,0.221428571428571
"43","Bald Head",2020-07-17,199,9,900,14.6,0.243333333333333
"44","Bald Head",2020-07-17,199,9,1200,1.66666666666667,0.0277777777777778
"45","Bald Head",2020-07-17,199,9,1500,0,0
"46","Bald Head",2020-07-17,199,10,300,15.7777777777778,0.262962962962963
"47","Bald Head",2020-07-17,199,10,600,14.2857142857143,0.238095238095238
"48","Bald Head",2020-07-17,199,10,900,16.6,0.276666666666667
"49","Bald Head",2020-07-17,199,10,1200,2.33333333333333,0.0388888888888889
"50","Bald Head",2020-07-17,199,10,1500,0,0
"51","Bald Head",2020-07-17,199,11,300,17,0.283333333333333
"52","Bald Head",2020-07-17,199,11,600,18.5714285714286,0.30952380952381
"53","Bald Head",2020-07-17,199,11,900,24.4,0.406666666666667
"54","Bald Head",2020-07-17,199,11,1200,9,0.15
"55","Bald Head",2020-07-17,199,11,1500,0,0
"56","Bald Head",2020-07-17,199,12,300,17.5555555555556,0.292592592592593
"57","Bald Head",2020-07-17,199,12,600,21.4285714285714,0.357142857142857
"58","Bald Head",2020-07-17,199,12,900,28,0.466666666666667
"59","Bald Head",2020-07-17,199,12,1200,19.3333333333333,0.322222222222222
"60","Bald Head",2020-07-17,199,12,1500,10,0.166666666666667
"61","Bald Head",2020-07-17,199,13,300,16.8888888888889,0.281481481481481
"62","Bald Head",2020-07-17,199,13,600,30.2857142857143,0.504761904761905
"63","Bald Head",2020-07-17,199,13,900,36.2,0.603333333333333
"64","Bald Head",2020-07-17,199,13,1200,32.6666666666667,0.544444444444444
