rec.ID,year,lat,long,dist
1.1,2020,64.735038,-161.529442,300
1.2,2020,64.732402,-161.527414,600
1.3,2020,64.729833,-161.525338,900
1.4,2020,64.727261,-161.52346,1200
1.5,2020,64.724733,-161.521433,1500
1.6,2020,64.722083,-161.519428,1800
2.1,2020,64.535826,-161.37641,300
2.2,2020,64.538388,-161.37827,600
2.3,2020,64.540824,-161.380421,900
2.4,2020,64.54339,-161.382232,1200
2.5,2020,64.545967,-161.384115,1500
2.6,2020,64.548512,-161.386132,1800
3.1,2020,64.376093,-161.533817,300
3.2,2020,64.373826,-161.537393,600
3.3,2020,64.371604,-161.541044,900
3.4,2020,64.369362,-161.544582,1200
3.5,2020,64.367045,-161.548138,1500
3.6,2020,64.364748,-161.551676,1800
4.1,2020,64.131287,-160.957982,300
4.2,2020,64.131239,-160.964123,600
4.3,2020,64.131144,-160.970255,900
4.4,2020,64.131052,-160.976405,1200
4.5,2020,64.130941,-160.982481,1500
4.6,2020,64.130854,-160.98861,1800
5.1,2020,63.953841,-160.857668,300
5.2,2020,63.953644,-160.863799,600
5.3,2020,63.953475,-160.869926,900
5.4,2020,63.953337,-160.876021,1200
5.5,2020,63.953142,-160.882113,1500
5.6,2020,63.95299,-160.888171,1800
6.1,2020,63.690645,-160.876555,300
6.2,2020,63.691418,-160.88228,600
6.3,2020,63.692109,-160.888144,900
6.4,2020,63.692845,-160.893966,1200
6.5,2020,63.693551,-160.8998,1500
6.6,2020,63.694258,-160.905669,1800
7.1,2020,63.547179,-161.123543,300
7.2,2020,63.548007,-161.129208,600
7.3,2020,63.548826,-161.134898,900
7.4,2020,63.549665,-161.140528,1200
7.5,2020,63.550473,-161.146236,1500
7.6,2020,63.551293,-161.151899,1800
W.1,2020,64.71489,-162.021235,NA
W.2,2020,64.724167,-162.015833,NA
B.1,2020,64.757215,-161.907372,NA
B.2,2020,64.767315,-161.917887,NA
Y.1,2020,64.916964,-161.012332,NA
Y.2,2020,64.927713,-160.982101,NA
I.1,2020,64.837735,-160.765534,NA
I.2,2020,64.830505,-160.740074,NA
N.1,2020,64.557998,-160.860689,NA
N.2,2020,64.548801,-160.852381,NA
S.1,2020,64.368624,-161.112718,NA
S.2,2020,64.366297,-161.093039,NA
T.1,2020,64.318634,-161.122722,NA
T.2,2020,64.320926,-161.107788,NA
E.1,2020,64.042944,-160.888673,NA
E.2,2020,64.039991,-160.900489,NA
U.1,2020,63.557764,-161.056892,NA
U.2,2020,63.555623,-161.051248,NA
G.1,2020,63.860209,-160.697523,NA
G.2,2020,63.871681,-160.676135,NA
1.1,2021,64.735038,-161.529442,300
1.2,2021,64.732402,-161.527414,600
1.3,2021,64.728134,-161.524096,1100
1.4,2021,64.723868,-161.520787,1600
1.5,2021,64.719596,-161.517487,2100
1.6,2021,64.71532,-161.514191,2600
2.1,2021,64.535826,-161.37641,300
2.2,2021,64.538388,-161.37827,600
2.3,2021,64.540824,-161.380421,1100
2.4,2021,64.54339,-161.382232,1600
2.5,2021,64.545967,-161.384115,2100
2.6,2021,64.548512,-161.386132,2600
3.1,2021,64.376093,-161.533817,300
3.2,2021,64.373826,-161.537393,600
3.3,2021,64.371604,-161.541044,1100
3.4,2021,64.369362,-161.544582,1600
3.5,2021,64.367045,-161.548138,2100
3.6,2021,64.364748,-161.551676,2600
4.1,2021,64.131287,-160.957982,300
4.2,2021,64.131239,-160.964123,600
4.3,2021,64.131144,-160.970255,1100
4.4,2021,64.131052,-160.976405,1600
4.5,2021,64.130941,-160.982481,2100
4.6,2021,64.130854,-160.98861,2600
5.1,2021,63.953841,-160.857668,300
5.2,2021,63.953644,-160.863799,600
5.3,2021,63.953475,-160.869926,1100
5.4,2021,63.953337,-160.876021,1600
5.5,2021,63.953142,-160.882113,2100
5.6,2021,63.95299,-160.888171,2600
6.1,2021,63.690645,-160.876555,300
6.2,2021,63.691418,-160.88228,600
6.3,2021,63.692109,-160.888144,1100
6.4,2021,63.692845,-160.893966,1600
6.5,2021,63.693551,-160.8998,2100
6.6,2021,63.694258,-160.905669,2600
7.1,2021,63.547179,-161.123543,300
7.2,2021,63.548007,-161.129208,600
7.3,2021,63.548826,-161.134898,1100
7.4,2021,63.549665,-161.140528,1600
7.5,2021,63.550473,-161.146236,2100
7.6,2021,63.551293,-161.151899,2600
W.1,2021,64.71489,-162.021235,NA
W.2,2021,64.724167,-162.015833,NA
B.1,2021,64.757215,-161.907372,NA
B.2,2021,64.767315,-161.917887,NA
Y.1,2021,64.916964,-161.012332,NA
Y.2,2021,64.927713,-160.982101,NA
I.1,2021,64.837735,-160.765534,NA
I.2,2021,64.830505,-160.740074,NA
N.1,2021,64.557998,-160.860689,NA
N.2,2021,64.548801,-160.852381,NA
S.1,2021,64.368624,-161.112718,NA
S.2,2021,64.366297,-161.093039,NA
T.1,2021,64.318634,-161.122722,NA
T.2,2021,64.320926,-161.107788,NA
E.1,2021,64.042944,-160.888673,NA
E.2,2021,64.039991,-160.900489,NA
U.1,2021,63.557764,-161.056892,NA
U.2,2021,63.555623,-161.051248,NA
G.1,2021,63.860209,-160.697523,NA
G.2,2021,63.871681,-160.676135,NA
