tag.ID,ymd.hms,array,rec
2475,8/18/2020 12:00,E,2
4695,8/11/2020 12:00,E,2
4930,8/25/2021 17:00,S,2
6215,8/15/2020 12:00,S,2
6535,8/25/2020 23:00,S,2
210,8/25/2021 12:00,U,2
270,8/25/2021 15:00,U,2
310,8/16/2021 12:00,U,2
390,8/13/2021 12:00,U,2
690,8/23/2021 23:59,U,2
715,8/26/2020 21:00,U,2
735,8/9/2020 20:00,U,2
770,8/21/2021 12:00,U,2
935,8/12/2020 12:00,U,2
970,8/19/2021 14:00,U,2
1030,8/17/2021 22:00,U,2
1075,8/8/2020 12:00,U,2
1110,8/31/2021 12:00,U,2
1130,9/1/2021 20:00,U,2
1210,9/8/2021 12:00,U,2
1275,8/18/2020 12:00,U,2
1450,8/30/2021 12:00,U,2
1795,8/15/2020 12:00,U,2
1855,8/26/2020 21:00,U,2
1970,8/25/2021 13:00,U,2
2010,9/5/2021 12:00,U,2
2015,8/15/2020 12:00,U,2
2030,8/24/2021 23:59,U,2
2130,8/29/2021 12:00,U,2
2150,8/30/2021 17:00,U,2
2155,8/15/2020 12:00,U,2
2170,9/1/2021 10:00,U,2
2290,8/25/2021 17:00,U,2
2315,8/14/2020 12:00,U,2
2350,9/3/2021 12:00,U,2
2355,8/26/2020 12:00,U,2
2815,8/22/2020 20:30,U,2
2975,8/26/2020 21:00,U,2
3915,8/27/2020 9:00,U,2
4255,8/15/2020 12:00,U,2
4575,8/16/2020 12:00,U,2
4710,8/23/2021 12:00,U,2
4835,8/14/2020 12:00,U,2
4935,8/15/2020 12:00,U,2
5035,8/15/2020 12:00,U,2
5070,8/25/2021 17:00,U,2
5190,8/25/2021 13:00,U,2
5215,8/22/2020 20:30,U,2
5255,8/12/2020 19:00,U,2
5315,8/13/2020 15:15,U,2
5335,8/14/2020 9:00,U,2
5410,8/24/2021 23:59,U,2
5450,9/3/2021 12:00,U,2
5470,8/25/2021 12:00,U,2
5510,8/25/2021 12:00,U,2
5595,8/15/2020 12:00,U,2
5735,8/14/2020 9:00,U,2
6175,8/22/2020 17:00,U,2
7395,8/28/2020 18:00,U,2
14915,8/31/2021 12:00,U,2
