tag.ID,capture.date,stat.week,tag.group,card.no,fish.no,swim.dir,time.in,sex,length,time.out,species,notes,age,lat,long,mesh.size,secchi.dis,secchi.re,air.temp,water.temp,wind.sp,wind.dir,cloud.cov
15,7/30/2020,31,1,1,1,S,13:01,M,540,13:12,coho,,3,63.97997,-160.88122,8-Jul,0.5,0.4,56,56,12,SE,100
35,7/30/2020,31,1,1,2,N,13:16,M,534,13:20,coho,,2.1,63.97997,-160.88122,8-Jul,0.5,0.4,56,56,12,SE,100
55,7/31/2020,31,1,2,1,S,10:01,M,499,10:07,coho,,2.1,63.82572,-160.76588,8-Jul,0.5,0.4,59,58,5,E,99
75,8/4/2020,32,1,3,1,S,9:28,F,558,9:33,coho,,1.1,63.91225,-160.81984,8-May,0.4,0.3,58,58,2,S,87
95,8/4/2020,32,1,3,2,S,10:28,M,479,10:38,coho,,2.1,63.91225,-160.81984,8-May,0.4,0.3,58,58,2,S,87
110,8/4/2021,32,1,1,1,N,0.63125,M,524,0.635416667,coho,,,63.95464,-160.85338,5-7/8 in,1.6,0.8,75,NA,10,E,89
115,8/4/2020,32,1,3,3,S,11:31,F,522,11:35,coho,,3,63.91225,-160.81984,8-May,0.4,0.3,58,58,2,S,87
130,8/4/2021,32,1,1,2,N,0.632638889,M,559,0.638194444,coho,,,63.95464,-160.85338,5-7/8 in,1.6,0.8,75,NA,10,E,89
135,8/5/2020,32,1,4,1,S,12:37,M,512,12:41,coho,,1.1,65.85706,-160.78398,8-May,0.4,0.2,NA,NA,1,W,89
150,8/4/2021,32,1,1,3,N,0.655555556,M,421,0.655555556,coho,,,63.95464,-160.85338,5-7/8 in,1.6,0.8,75,NA,10,E,89
155,8/5/2020,32,1,4,2,N,14:18,F,529,14:26,coho,,2.1,64.01717,-160.91177,8-May,0.7,0.5,NA,NA,7,NW,75
170,8/8/2021,33,1,2,1,,0.541666667,F,560,0.547916667,coho,,,64.04228,-160.93012,5-5/8 in,1,1.75,75,56.13,0,,100
175,8/5/2020,32,1,4,3,N,14:18,M,583,14:30,coho,,2.1,64.01717,-160.91177,8-May,0.7,0.5,NA,NA,7,NW,75
190,8/8/2021,33,1,2,2,N,0.553472222,F,548,0.559027778,coho,,,64.04228,-160.93012,5-5/8 in,1,1.75,75,56.13,0,,100
195,8/5/2020,32,1,4,4,N,14:33,M,524,14:38,coho,,2.1,64.01717,-160.91177,8-May,0.7,0.5,NA,NA,7,NW,75
210,8/8/2021,33,1,2,3,S,0.58125,M,568,0.5875,coho,,,64.04228,-160.93012,5-5/8 in,1,1.75,75,56.13,0,,100
215,8/5/2020,32,1,4,5,N,14:43,M,543,14:47,coho,,2.1,64.01717,-160.91177,8-May,0.7,0.5,NA,NA,7,NW,75
230,8/8/2021,33,1,2,4,S,0.594444444,F,576,0.597222222,coho,,,64.04228,-160.93012,5-5/8 in,1,1.75,75,56.13,0,,100
235,8/5/2020,32,1,4,6,S,15:12,M,505,15:16,coho,,2.1,64.01717,-160.91177,8-May,0.7,0.5,NA,NA,7,NW,75
250,8/8/2021,33,1,2,5,S,0.614583333,F,514,0.619444444,coho,,,64.04228,-160.93012,5-5/8 in,1,1.75,75,56.13,0,,100
255,8/5/2020,32,1,4,7,N,15:12,F,475,15:23,coho,,2.1,64.01717,-160.91177,8-May,0.7,0.5,NA,NA,7,NW,75
270,8/8/2021,33,1,2,6,N,0.623611111,M,583,0.628472222,coho,,,64.04228,-160.93012,5-5/8 in,1,1.75,75,56.13,0,,100
275,8/5/2020,32,1,4,8,N,15:15,M,515,15:28,coho,,2.1,64.01717,-160.91177,8-May,0.7,0.5,NA,NA,7,NW,75
290,8/8/2021,33,1,2,7,N,0.629861111,M,497,0.634027778,coho,,,64.04228,-160.93012,5-5/8 in,1,1.75,75,56.13,0,,100
295,8/5/2020,32,1,4,9,N,15:41,M,520,15:45,coho,,2.1,64.01717,-160.91177,8-May,0.7,0.5,NA,NA,7,NW,75
310,8/8/2021,33,1,2,8,S,0.636111111,M,544,0.640277778,coho,,,64.04228,-160.93012,5-5/8 in,1,1.75,75,56.13,0,,100
315,8/5/2020,32,1,4,10,N,15:45,M,524,15:53,coho,,1.1,64.01717,-160.91177,8-May,0.7,0.5,NA,NA,7,NW,75
330,8/8/2021,33,1,2,9,N,0.645833333,M,544,0.647222222,coho,,,64.04228,-160.93012,5-5/8 in,1,1.75,75,56.13,0,,100
335,8/5/2020,32,1,5,1,S,15:48,M,470,15:58,coho,,3,64.01717,-160.91177,8-May,0.7,0.5,NA,NA,7,NW,75
350,8/8/2021,33,1,2,10,N,0.656944444,M,533,0.660416667,coho,,,64.04228,-160.93012,5-5/8 in,1,1.75,75,56.13,0,,100
355,8/5/2020,32,1,5,2,N,15:48,M,464,16:06,coho,,2.1,64.01717,-160.91177,8-May,0.7,0.5,NA,NA,7,NW,75
370,8/9/2021,33,1,3,1,N,0.511111111,M,507,0.515972222,coho,,,64.00259,-160.90355,5-5/8 in,0.75,0.5,NA,52.06,0,,100
375,8/5/2020,32,1,5,3,N,16:02,M,575,16:09,coho,,2.1,64.01717,-160.91177,8-May,0.7,0.5,NA,NA,7,NW,75
