mcode,capture.date,stat.week,tag.group,card.no,fish.no,swim.dir,time.in,sex,length,time.out,species,notes,age,lat,long,mesh.size,secchi.dis,secchi.re,air.temp,water.temp,wind.sp,wind.dir,cloud.cov
7875,8/26/2020,35,2,28,1,S,9:50,F,594,9:59,coho,,3,64.20171,-160.95265,8-Jul,1.4,1.3,52,60,1,SE,50
7895,8/26/2020,35,2,28,2,S,9:50,F,536,10:00,coho,,3,64.20171,-160.95265,8-Jul,1.4,1.3,52,60,1,SE,50
7915,8/26/2020,35,2,28,3,N,10:39,F,535,10:44,coho,,2.1,64.20171,-160.95265,8-Jul,1.4,1.3,52,60,1,SE,50
7935,8/26/2020,35,2,28,4,S,11:48,F,541,11:51,coho,,3,64.2718,-161.04591,8-Jul,1.5,1.25,50,60,1,E,50
7955,8/26/2020,35,2,28,5,S,12:03,F,563,12:08,coho,,2.1,64.2718,-161.04591,8-Jul,1.5,1.25,50,60,1,E,50
7975,8/26/2020,35,2,28,6,S,12:17,M,508,12:24,coho,"Reabsorbed scales, spawning colors",3.1,64.2718,-161.04591,8-Jul,1.5,1.25,50,60,1,E,50
7995,8/26/2020,35,2,28,7,S,12:38,F,613,12:46,coho,,1.1,64.2718,-161.04591,8-Jul,1.5,1.25,50,60,1,E,50
3535,8/25/2020,35,1,25,1,S,13:52,F,550,13:58,coho,,2.1,63.95455,-160.85202,8-May,1.25,1,63,57,5,S,50
3555,8/25/2020,35,1,25,2,S,13:54,M,522,13:59,coho,,1.1,63.95455,-160.85202,8-May,1.25,1,63,57,5,S,50
3575,8/25/2020,35,1,25,3,N,13:56,M,516,14:02,coho,,2.1,63.95455,-160.85202,8-May,1.25,1,63,57,5,S,50
3595,8/25/2020,35,1,25,4,S,14:07,M,584,14:10,coho,,1.1,63.95455,-160.85202,8-May,1.25,1,63,57,5,S,50
3615,8/25/2020,35,1,25,5,S,14:12,M,497,14:15,coho,,1.1,63.95455,-160.85202,8-May,1.25,1,63,57,5,S,50
3635,8/25/2020,35,1,25,6,N,14:21,M,574,14:25,sockeye,,7,64.02583,-160.88361,8-May,1.25,1,63,57,5,S,50
3655,8/25/2020,35,1,25,7,S,14:40,M,561,14:46,coho,,1.1,63.95455,-160.85202,8-May,1.25,1,63,57,5,S,50
3675,8/25/2020,35,1,25,8,S,14:42,F,555,14:46,coho,,1.1,63.95455,-160.85202,8-May,1.25,1,63,57,5,S,50
