tag.ID,minutes,Subdistrict,Stock,days,year
1175,3600,Shaktoolik,Shaktoolik,2.5,2020
1335,6720,Shaktoolik,Shaktoolik,4.666666667,2020
1675,3990,Shaktoolik,Shaktoolik,2.770833333,2020
2295,11655,Shaktoolik,Shaktoolik,8.09375,2020
2415,7590,Shaktoolik,Shaktoolik,5.270833333,2020
4055,2085,Shaktoolik,Shaktoolik,1.447916667,2020
4075,3900,Shaktoolik,Shaktoolik,2.708333333,2020
4190,2745,Shaktoolik,Shaktoolik,1.90625,2021
4330,2370,Shaktoolik,Shaktoolik,1.645833333,2021
435,885,Shaktoolik,Shaktoolik,0.614583333,2020
4510,1635,Shaktoolik,Shaktoolik,1.135416667,2021
4530,1575,Shaktoolik,Shaktoolik,1.09375,2021
4590,7215,Shaktoolik,Shaktoolik,5.010416667,2021
4610,6150,Shaktoolik,Shaktoolik,4.270833333,2021
4635,1470,Shaktoolik,Shaktoolik,1.020833333,2020
4650,6360,Shaktoolik,Shaktoolik,4.416666667,2021
4750,7365,Shaktoolik,Shaktoolik,5.114583333,2021
4810,5040,Shaktoolik,Shaktoolik,3.5,2021
4930,3870,Shaktoolik,Shaktoolik,2.6875,2021
5275,15765,Shaktoolik,Shaktoolik,10.94791667,2020
5375,5550,Shaktoolik,Shaktoolik,3.854166667,2020
5615,4635,Shaktoolik,Shaktoolik,3.21875,2020
5755,10095,Shaktoolik,Shaktoolik,7.010416667,2020
6015,3690,Shaktoolik,Shaktoolik,2.5625,2020
6075,4995,Shaktoolik,Shaktoolik,3.46875,2020
6215,2505,Shaktoolik,Shaktoolik,1.739583333,2020
6275,3570,Shaktoolik,Shaktoolik,2.479166667,2020
6315,2610,Shaktoolik,Shaktoolik,1.8125,2020
6395,2310,Shaktoolik,Shaktoolik,1.604166667,2020
6475,6300,Shaktoolik,Shaktoolik,4.375,2020
6535,10725,Shaktoolik,Shaktoolik,7.447916667,2020
6555,6300,Shaktoolik,Shaktoolik,4.375,2020
6595,5640,Shaktoolik,Shaktoolik,3.916666667,2020
6655,2340,Shaktoolik,Shaktoolik,1.625,2020
6675,1380,Shaktoolik,Shaktoolik,0.958333333,2020
6695,1980,Shaktoolik,Shaktoolik,1.375,2020
6715,5250,Shaktoolik,Shaktoolik,3.645833333,2020
6875,4710,Shaktoolik,Shaktoolik,3.270833333,2020
6895,5205,Shaktoolik,Shaktoolik,3.614583333,2020
6935,2385,Shaktoolik,Shaktoolik,1.65625,2020
6975,5970,Shaktoolik,Shaktoolik,4.145833333,2020
7035,10485,Shaktoolik,Shaktoolik,7.28125,2020
7075,5595,Shaktoolik,Shaktoolik,3.885416667,2020
7115,1395,Shaktoolik,Shaktoolik,0.96875,2020
7155,1455,Shaktoolik,Shaktoolik,1.010416667,2020
7175,2520,Shaktoolik,Shaktoolik,1.75,2020
7195,3240,Shaktoolik,Shaktoolik,2.25,2020
7295,3555,Shaktoolik,Shaktoolik,2.46875,2020
7355,5430,Shaktoolik,Shaktoolik,3.770833333,2020
7615,6420,Shaktoolik,Shaktoolik,4.458333333,2020
7815,3195,Shaktoolik,Shaktoolik,2.21875,2020
7935,1380,Shaktoolik,Shaktoolik,0.958333333,2020
7975,1080,Shaktoolik,Shaktoolik,0.75,2020
895,3255,Shaktoolik,Shaktoolik,2.260416667,2020
1695,7590,Shaktoolik,Unalakleet,5.270833333,2020
2915,1320,Shaktoolik,Unalakleet,0.916666667,2020
4015,1770,Shaktoolik,Unalakleet,1.229166667,2020
4035,3990,Shaktoolik,Unalakleet,2.770833333,2020
4135,9180,Shaktoolik,Unalakleet,6.375,2020
4155,1650,Shaktoolik,Unalakleet,1.145833333,2020
4250,930,Shaktoolik,Unalakleet,0.645833333,2021
4255,765,Shaktoolik,Unalakleet,0.53125,2020
4270,30,Shaktoolik,Unalakleet,0.020833333,2021
4275,90,Shaktoolik,Unalakleet,0.0625,2020
4295,2550,Shaktoolik,Unalakleet,1.770833333,2020
4315,2085,Shaktoolik,Unalakleet,1.447916667,2020
4335,2100,Shaktoolik,Unalakleet,1.458333333,2020
4375,3375,Shaktoolik,Unalakleet,2.34375,2020
4415,1830,Shaktoolik,Unalakleet,1.270833333,2020
4435,2475,Shaktoolik,Unalakleet,1.71875,2020
4470,3315,Shaktoolik,Unalakleet,2.302083333,2021
4475,2655,Shaktoolik,Unalakleet,1.84375,2020
4495,465,Shaktoolik,Unalakleet,0.322916667,2020
4515,2250,Shaktoolik,Unalakleet,1.5625,2020
4535,2985,Shaktoolik,Unalakleet,2.072916667,2020
4550,3270,Shaktoolik,Unalakleet,2.270833333,2021
4555,20085,Shaktoolik,Unalakleet,13.94791667,2020
4575,3030,Shaktoolik,Unalakleet,2.104166667,2020
4595,3975,Shaktoolik,Unalakleet,2.760416667,2020
4615,15,Shaktoolik,Unalakleet,0.010416667,2020
4655,60,Shaktoolik,Unalakleet,0.041666667,2020
4675,15,Shaktoolik,Unalakleet,0.010416667,2020
4695,585,Shaktoolik,Unalakleet,0.40625,2020
4710,2865,Shaktoolik,Unalakleet,1.989583333,2021
4735,2625,Shaktoolik,Unalakleet,1.822916667,2020
4755,1590,Shaktoolik,Unalakleet,1.104166667,2020
4775,2700,Shaktoolik,Unalakleet,1.875,2020
4795,315,Shaktoolik,Unalakleet,0.21875,2020
4815,2685,Shaktoolik,Unalakleet,1.864583333,2020
4835,120,Shaktoolik,Unalakleet,0.083333333,2020
4850,3255,Shaktoolik,Unalakleet,2.260416667,2021
4855,180,Shaktoolik,Unalakleet,0.125,2020
4875,240,Shaktoolik,Unalakleet,0.166666667,2020
4895,1200,Shaktoolik,Unalakleet,0.833333333,2020
4935,4455,Shaktoolik,Unalakleet,3.09375,2020
4955,270,Shaktoolik,Unalakleet,0.1875,2020
4995,4545,Shaktoolik,Unalakleet,3.15625,2020
5030,255,Shaktoolik,Unalakleet,0.177083333,2021
5035,3465,Shaktoolik,Unalakleet,2.40625,2020
5070,1950,Shaktoolik,Unalakleet,1.354166667,2021
5075,3180,Shaktoolik,Unalakleet,2.208333333,2020
5175,2025,Shaktoolik,Unalakleet,1.40625,2020
5190,495,Shaktoolik,Unalakleet,0.34375,2021
5195,540,Shaktoolik,Unalakleet,0.375,2020
5215,555,Shaktoolik,Unalakleet,0.385416667,2020
5235,1260,Shaktoolik,Unalakleet,0.875,2020
5255,705,Shaktoolik,Unalakleet,0.489583333,2020
5270,210,Shaktoolik,Unalakleet,0.145833333,2021
5295,1425,Shaktoolik,Unalakleet,0.989583333,2020
5310,1200,Shaktoolik,Unalakleet,0.833333333,2021
5315,2355,Shaktoolik,Unalakleet,1.635416667,2020
5335,2865,Shaktoolik,Unalakleet,1.989583333,2020
5410,420,Shaktoolik,Unalakleet,0.291666667,2021
5450,1485,Shaktoolik,Unalakleet,1.03125,2021
5470,240,Shaktoolik,Unalakleet,0.166666667,2021
5510,1185,Shaktoolik,Unalakleet,0.822916667,2021
5515,1800,Shaktoolik,Unalakleet,1.25,2020
5535,3465,Shaktoolik,Unalakleet,2.40625,2020
5555,315,Shaktoolik,Unalakleet,0.21875,2020
5575,1890,Shaktoolik,Unalakleet,1.3125,2020
5595,1965,Shaktoolik,Unalakleet,1.364583333,2020
5655,585,Shaktoolik,Unalakleet,0.40625,2020
5735,510,Shaktoolik,Unalakleet,0.354166667,2020
5795,660,Shaktoolik,Unalakleet,0.458333333,2020
5815,510,Shaktoolik,Unalakleet,0.354166667,2020
5915,285,Shaktoolik,Unalakleet,0.197916667,2020
5955,195,Shaktoolik,Unalakleet,0.135416667,2020
6055,375,Shaktoolik,Unalakleet,0.260416667,2020
6095,1050,Shaktoolik,Unalakleet,0.729166667,2020
6115,315,Shaktoolik,Unalakleet,0.21875,2020
6135,330,Shaktoolik,Unalakleet,0.229166667,2020
6175,2490,Shaktoolik,Unalakleet,1.729166667,2020
6575,1680,Shaktoolik,Unalakleet,1.166666667,2020
6755,1245,Shaktoolik,Unalakleet,0.864583333,2020
6815,1800,Shaktoolik,Unalakleet,1.25,2020
6955,1830,Shaktoolik,Unalakleet,1.270833333,2020
6995,2820,Shaktoolik,Unalakleet,1.958333333,2020
7015,2190,Shaktoolik,Unalakleet,1.520833333,2020
7135,1680,Shaktoolik,Unalakleet,1.166666667,2020
7215,2535,Shaktoolik,Unalakleet,1.760416667,2020
7235,1440,Shaktoolik,Unalakleet,1,2020
7395,1350,Shaktoolik,Unalakleet,0.9375,2020
7415,2685,Shaktoolik,Unalakleet,1.864583333,2020
7475,390,Shaktoolik,Unalakleet,0.270833333,2020
7835,435,Shaktoolik,Unalakleet,0.302083333,2020
7955,1845,Shaktoolik,Unalakleet,1.28125,2020
1375,7710,Shaktoolik,Transitory,5.354166667,2020
1430,1350,Shaktoolik,Transitory,0.9375,2021
1655,1080,Shaktoolik,Transitory,0.75,2020
2195,2400,Shaktoolik,Transitory,1.666666667,2020
4175,8940,Shaktoolik,Transitory,6.208333333,2020
4235,5325,Shaktoolik,Transitory,3.697916667,2020
4350,20985,Shaktoolik,Transitory,14.57291667,2021
4355,3450,Shaktoolik,Transitory,2.395833333,2020
4630,195,Shaktoolik,Transitory,0.135416667,2021
4690,2790,Shaktoolik,Transitory,1.9375,2021
5055,3210,Shaktoolik,Transitory,2.229166667,2020
5095,510,Shaktoolik,Transitory,0.354166667,2020
5110,1245,Shaktoolik,Transitory,0.864583333,2021
5150,1335,Shaktoolik,Transitory,0.927083333,2021
5210,165,Shaktoolik,Transitory,0.114583333,2021
5355,3915,Shaktoolik,Transitory,2.71875,2020
5415,1035,Shaktoolik,Transitory,0.71875,2020
5475,1425,Shaktoolik,Transitory,0.989583333,2020
5495,465,Shaktoolik,Transitory,0.322916667,2020
5675,2490,Shaktoolik,Transitory,1.729166667,2020
5715,1245,Shaktoolik,Transitory,0.864583333,2020
5835,2595,Shaktoolik,Transitory,1.802083333,2020
5875,435,Shaktoolik,Transitory,0.302083333,2020
5995,240,Shaktoolik,Transitory,0.166666667,2020
6335,540,Shaktoolik,Transitory,0.375,2020
6375,1695,Shaktoolik,Transitory,1.177083333,2020
6415,4965,Shaktoolik,Transitory,3.447916667,2020
6635,990,Shaktoolik,Transitory,0.6875,2020
6775,6150,Shaktoolik,Transitory,4.270833333,2020
7055,1965,Shaktoolik,Transitory,1.364583333,2020
7675,3420,Shaktoolik,Transitory,2.375,2020
7695,1155,Shaktoolik,Transitory,0.802083333,2020
7895,1395,Shaktoolik,Transitory,0.96875,2020
930,1275,Shaktoolik,Transitory,0.885416667,2021
1175,5385,Unalakleet,Shaktoolik,3.739583333,2020
1335,3810,Unalakleet,Shaktoolik,2.645833333,2020
1675,345,Unalakleet,Shaktoolik,0.239583333,2020
2295,1035,Unalakleet,Shaktoolik,0.71875,2020
2415,5835,Unalakleet,Shaktoolik,4.052083333,2020
4190,15,Unalakleet,Shaktoolik,0.010416667,2021
4330,3765,Unalakleet,Shaktoolik,14.21875,2021
435,2310,Unalakleet,Shaktoolik,1.604166667,2020
4635,1200,Unalakleet,Shaktoolik,0.833333333,2020
895,4860,Unalakleet,Shaktoolik,3.375,2020
1015,1470,Unalakleet,Unalakleet,1.020833333,2020
1030,330,Unalakleet,Unalakleet,0.229166667,2021
1035,13035,Unalakleet,Unalakleet,9.052083333,2020
1055,1635,Unalakleet,Unalakleet,1.135416667,2020
1070,6570,Unalakleet,Unalakleet,4.5625,2021
1075,1005,Unalakleet,Unalakleet,0.697916667,2020
1090,2145,Unalakleet,Unalakleet,1.489583333,2021
1095,1050,Unalakleet,Unalakleet,0.729166667,2020
110,3720,Unalakleet,Unalakleet,2.583333333,2021
1110,12360,Unalakleet,Unalakleet,8.583333333,2021
1130,12300,Unalakleet,Unalakleet,8.541666667,2021
1135,1785,Unalakleet,Unalakleet,1.239583333,2020
1155,1590,Unalakleet,Unalakleet,1.104166667,2020
1195,4230,Unalakleet,Unalakleet,2.9375,2020
1210,24225,Unalakleet,Unalakleet,16.82291667,2021
1215,1455,Unalakleet,Unalakleet,1.010416667,2020
1235,1620,Unalakleet,Unalakleet,1.125,2020
1255,4815,Unalakleet,Unalakleet,3.34375,2020
1275,13650,Unalakleet,Unalakleet,9.479166667,2020
1310,1125,Unalakleet,Unalakleet,0.78125,2021
1315,2940,Unalakleet,Unalakleet,2.041666667,2020
1350,1410,Unalakleet,Unalakleet,0.979166667,2021
1370,1020,Unalakleet,Unalakleet,0.708333333,2021
1390,885,Unalakleet,Unalakleet,0.614583333,2021
1450,8955,Unalakleet,Unalakleet,6.21875,2021
1455,2145,Unalakleet,Unalakleet,1.489583333,2020
1470,2340,Unalakleet,Unalakleet,1.625,2021
1495,3285,Unalakleet,Unalakleet,2.28125,2020
1510,840,Unalakleet,Unalakleet,0.583333333,2021
1515,1050,Unalakleet,Unalakleet,0.729166667,2020
1535,795,Unalakleet,Unalakleet,0.552083333,2020
1575,8550,Unalakleet,Unalakleet,5.9375,2020
1615,1575,Unalakleet,Unalakleet,1.09375,2020
1630,1305,Unalakleet,Unalakleet,0.90625,2021
1695,1455,Unalakleet,Unalakleet,1.010416667,2020
1730,1290,Unalakleet,Unalakleet,0.895833333,2021
1735,3165,Unalakleet,Unalakleet,2.197916667,2020
1755,3840,Unalakleet,Unalakleet,2.666666667,2020
1770,885,Unalakleet,Unalakleet,0.614583333,2021
1775,8370,Unalakleet,Unalakleet,5.8125,2020
1795,3675,Unalakleet,Unalakleet,2.552083333,2020
1815,4335,Unalakleet,Unalakleet,3.010416667,2020
1855,20055,Unalakleet,Unalakleet,13.92708333,2020
1870,570,Unalakleet,Unalakleet,0.395833333,2021
1875,1845,Unalakleet,Unalakleet,1.28125,2020
1915,9015,Unalakleet,Unalakleet,6.260416667,2020
195,2250,Unalakleet,Unalakleet,1.5625,2020
1955,10035,Unalakleet,Unalakleet,6.96875,2020
1970,1350,Unalakleet,Unalakleet,0.9375,2021
1975,3855,Unalakleet,Unalakleet,2.677083333,2020
1995,1005,Unalakleet,Unalakleet,0.697916667,2020
2010,17100,Unalakleet,Unalakleet,11.875,2021
2015,3630,Unalakleet,Unalakleet,2.520833333,2020
2030,540,Unalakleet,Unalakleet,0.375,2021
2090,1335,Unalakleet,Unalakleet,0.927083333,2021
210,23550,Unalakleet,Unalakleet,16.35416667,2021
2115,525,Unalakleet,Unalakleet,0.364583333,2020
2130,7020,Unalakleet,Unalakleet,4.875,2021
2135,2565,Unalakleet,Unalakleet,1.78125,2020
215,3825,Unalakleet,Unalakleet,2.65625,2020
2150,8730,Unalakleet,Unalakleet,6.0625,2021
2155,3600,Unalakleet,Unalakleet,2.5,2020
2170,11175,Unalakleet,Unalakleet,7.760416667,2021
2175,2475,Unalakleet,Unalakleet,1.71875,2020
2215,7230,Unalakleet,Unalakleet,5.020833333,2020
2235,1560,Unalakleet,Unalakleet,1.083333333,2020
2290,1425,Unalakleet,Unalakleet,0.989583333,2021
2315,2625,Unalakleet,Unalakleet,1.822916667,2020
2330,1050,Unalakleet,Unalakleet,0.729166667,2021
2335,13065,Unalakleet,Unalakleet,9.072916667,2020
2350,14130,Unalakleet,Unalakleet,9.8125,2021
2355,18315,Unalakleet,Unalakleet,12.71875,2020
2375,1380,Unalakleet,Unalakleet,0.958333333,2020
2395,2115,Unalakleet,Unalakleet,1.46875,2020
2475,975,Unalakleet,Unalakleet,0.677083333,2020
2495,2235,Unalakleet,Unalakleet,1.552083333,2020
2515,1620,Unalakleet,Unalakleet,1.125,2020
2555,2805,Unalakleet,Unalakleet,1.947916667,2020
2575,915,Unalakleet,Unalakleet,0.635416667,2020
2615,2400,Unalakleet,Unalakleet,1.666666667,2020
270,20055,Unalakleet,Unalakleet,13.92708333,2021
2715,1110,Unalakleet,Unalakleet,0.770833333,2020
2735,900,Unalakleet,Unalakleet,0.625,2020
275,1200,Unalakleet,Unalakleet,0.833333333,2020
2775,14550,Unalakleet,Unalakleet,10.10416667,2020
2795,795,Unalakleet,Unalakleet,0.552083333,2020
2815,6795,Unalakleet,Unalakleet,4.71875,2020
2855,1440,Unalakleet,Unalakleet,1,2020
2915,3885,Unalakleet,Unalakleet,2.697916667,2020
2935,450,Unalakleet,Unalakleet,0.3125,2020
2955,1425,Unalakleet,Unalakleet,0.989583333,2020
2975,11385,Unalakleet,Unalakleet,7.90625,2020
2995,4500,Unalakleet,Unalakleet,3.125,2020
3075,1725,Unalakleet,Unalakleet,1.197916667,2020
310,7875,Unalakleet,Unalakleet,5.46875,2021
3115,5985,Unalakleet,Unalakleet,4.15625,2020
3175,1575,Unalakleet,Unalakleet,1.09375,2020
3215,1845,Unalakleet,Unalakleet,1.28125,2020
3335,405,Unalakleet,Unalakleet,0.28125,2020
3395,300,Unalakleet,Unalakleet,0.208333333,2020
3475,1515,Unalakleet,Unalakleet,1.052083333,2020
3495,1065,Unalakleet,Unalakleet,0.739583333,2020
3515,1455,Unalakleet,Unalakleet,1.010416667,2020
3535,1005,Unalakleet,Unalakleet,0.697916667,2020
3595,300,Unalakleet,Unalakleet,0.208333333,2020
3615,1680,Unalakleet,Unalakleet,1.166666667,2020
3655,1605,Unalakleet,Unalakleet,1.114583333,2020
3695,1290,Unalakleet,Unalakleet,0.895833333,2020
3715,13020,Unalakleet,Unalakleet,9.041666667,2020
375,3630,Unalakleet,Unalakleet,2.520833333,2020
3795,2235,Unalakleet,Unalakleet,1.552083333,2020
3855,1185,Unalakleet,Unalakleet,0.822916667,2020
3895,2220,Unalakleet,Unalakleet,1.541666667,2020
390,4890,Unalakleet,Unalakleet,3.395833333,2021
3915,1785,Unalakleet,Unalakleet,1.239583333,2020
3935,855,Unalakleet,Unalakleet,0.59375,2020
395,1185,Unalakleet,Unalakleet,0.822916667,2020
3975,1575,Unalakleet,Unalakleet,1.09375,2020
4015,5760,Unalakleet,Unalakleet,4,2020
4035,825,Unalakleet,Unalakleet,0.572916667,2020
4135,7425,Unalakleet,Unalakleet,5.15625,2020
415,3015,Unalakleet,Unalakleet,2.09375,2020
4155,5145,Unalakleet,Unalakleet,3.572916667,2020
4250,1095,Unalakleet,Unalakleet,0.760416667,2021
4255,11055,Unalakleet,Unalakleet,7.677083333,2020
4270,1185,Unalakleet,Unalakleet,0.822916667,2021
