time,sea_surface_height_above_sea_level_geoid_mllw,sea_surface_height_above_sea_level_geoid_mllw_qc_agg,z
UTC,m,,m
2020-07-11T05:48:00Z,0.053,1,0.0
2020-07-11T05:54:00Z,0.045,1,0.0
2020-07-11T06:00:00Z,0.037,1,0.0
2020-07-11T06:06:00Z,0.03,1,0.0
2020-07-11T06:12:00Z,0.022,1,0.0
2020-07-11T06:18:00Z,0.016,1,0.0
2020-07-11T06:24:00Z,0.008,1,0.0
2020-07-11T06:30:00Z,0.003,1,0.0
2020-07-11T06:36:00Z,-0.004,1,0.0
2020-07-11T06:42:00Z,-0.011,1,0.0
2020-07-11T06:48:00Z,-0.014,1,0.0
2020-07-11T06:54:00Z,-0.016,1,0.0
2020-07-11T07:00:00Z,-0.021,1,0.0
2020-07-11T07:06:00Z,-0.024,1,0.0
2020-07-11T07:12:00Z,-0.027,1,0.0
2020-07-11T07:18:00Z,-0.034,1,0.0
2020-07-11T07:24:00Z,-0.037,1,0.0
2020-07-11T07:30:00Z,-0.038,1,0.0
2020-07-11T07:36:00Z,-0.04,1,0.0
2020-07-11T07:42:00Z,-0.043,1,0.0
2020-07-11T07:44:00Z,NaN,NaN,0.0
2020-07-11T07:48:00Z,-0.042,1,0.0
2020-07-11T07:54:00Z,-0.047,1,0.0
2020-07-11T08:00:00Z,-0.047,1,0.0
2020-07-11T08:06:00Z,-0.043,1,0.0
2020-07-11T08:12:00Z,-0.044,1,0.0
2020-07-11T08:18:00Z,-0.044,1,0.0
2020-07-11T08:24:00Z,-0.046,1,0.0
2020-07-11T08:30:00Z,-0.045,1,0.0
2020-07-11T08:36:00Z,-0.044,1,0.0
2020-07-11T08:42:00Z,-0.039,1,0.0
2020-07-11T08:48:00Z,-0.033,1,0.0
2020-07-11T08:54:00Z,-0.032,1,0.0
2020-07-11T09:00:00Z,-0.025,1,0.0
2020-07-11T09:06:00Z,-0.014,1,0.0
2020-07-11T09:12:00Z,-0.009,1,0.0
2020-07-11T09:18:00Z,-0.006,1,0.0
2020-07-11T09:24:00Z,0.005,1,0.0
2020-07-11T09:30:00Z,0.013,1,0.0
2020-07-11T09:36:00Z,0.02,1,0.0
2020-07-11T09:42:00Z,0.035,1,0.0
2020-07-11T09:48:00Z,0.051,1,0.0
2020-07-11T09:54:00Z,0.059,1,0.0
2020-07-11T10:00:00Z,0.064,1,0.0
