tag.ID,date.time,lat,long,sex,species,stock
75,8/4/2020 9:33,63.91225,-160.81984,F,coho,6
75,8/4/2020 12:05,63.95299,-160.888171,F,coho,6
75,8/5/2020 22:14,63.953337,-160.876021,F,coho,6
75,8/6/2020 16:46,63.555623,-161.051248,F,coho,6
95,8/4/2020 10:38,63.91225,-160.81984,M,coho,NA
95,8/4/2020 18:12,63.953644,-160.863799,M,coho,NA
95,8/8/2020 17:49,64.131052,-160.976405,M,coho,NA
95,8/11/2020 12:45,64.131287,-160.957982,M,coho,NA
95,8/12/2020 14:02,63.953142,-160.882113,M,coho,NA
110,8/4/2021 15:15,63.95464,-160.85338,M,coho,6
110,8/4/2021 15:39,63.953841,-160.857668,M,coho,6
110,8/7/2021 8:57,63.557764,-161.056892,M,coho,6
115,8/4/2020 11:35,63.91225,-160.81984,F,coho,NA
115,8/4/2020 15:30,63.953644,-160.863799,F,coho,NA
115,8/5/2020 17:53,64.131144,-160.970255,F,coho,NA
130,8/4/2021 15:19,63.95464,-160.85338,M,coho,NA
130,8/4/2021 15:31,63.953841,-160.857668,M,coho,NA
130,8/5/2021 6:23,63.548007,-161.129208,M,coho,NA
130,8/5/2021 15:22,63.953644,-160.863799,M,coho,NA
130,8/6/2021 17:13,63.551293,-161.151899,M,coho,NA
130,8/7/2021 2:07,63.690645,-160.876555,M,coho,NA
150,8/4/2021 15:44,63.95464,-160.85338,M,coho,NA
150,8/4/2021 15:57,63.953841,-160.857668,M,coho,NA
150,8/5/2021 20:25,63.557764,-161.056892,M,coho,NA
150,8/6/2021 15:20,63.557764,-161.056892,M,coho,NA
150,8/7/2021 23:58,63.953475,-160.869926,M,coho,NA
150,8/8/2021 9:12,64.131239,-160.964123,M,coho,NA
170,8/8/2021 13:09,64.04228,-160.93012,F,coho,NA
170,8/9/2021 14:50,63.953841,-160.857668,F,coho,NA
170,8/10/2021 13:48,63.953644,-160.863799,F,coho,NA
175,8/5/2020 14:30,64.01717,-160.91177,M,coho,NA
175,8/8/2020 21:49,64.131287,-160.957982,M,coho,NA
195,8/5/2020 14:38,64.01717,-160.91177,M,coho,6
195,8/6/2020 17:10,63.953142,-160.882113,M,coho,6
195,8/7/2020 7:44,63.555623,-161.051248,M,coho,6
210,8/8/2021 14:06,64.04228,-160.93012,M,coho,6
210,8/9/2021 12:15,63.953475,-160.869926,M,coho,6
210,8/15/2021 14:47,63.557764,-161.056892,M,coho,6
210,8/25/2021 12:00,63.555623,-161.051248,M,coho,6
215,8/5/2020 14:47,64.01717,-160.91177,M,coho,6
215,8/7/2020 16:53,63.95299,-160.888171,M,coho,6
215,8/8/2020 10:17,63.555623,-161.051248,M,coho,6
235,8/5/2020 15:16,64.01717,-160.91177,M,coho,NA
