"","tag.ID","ymd.hms","array","lat","long","sex","species","stock","unix"
"5461",75,2020-08-04 09:33:00,"C",63.91225,-160.81984,"F","coho","Unalakleet",1596533580
"2",75,2020-08-04 12:05:00,"5",63.95299,-160.888171,"F","coho","Unalakleet",1596542700
"3",75,2020-08-05 22:14:00,"5",63.953337,-160.876021,"F","coho","Unalakleet",1596665640
"1",75,2020-08-06 16:46:00,"U",63.555623,-161.051248,"F","coho","Unalakleet",1596732360
"4071",110,2021-08-04 15:15:00,"C",63.95464,-160.85338,"M","coho","Unalakleet",1628090100
"9",110,2021-08-04 15:39:00,"5",63.953841,-160.857668,"M","coho","Unalakleet",1628091540
"8",110,2021-08-07 08:57:00,"U",63.557764,-161.056892,"M","coho","Unalakleet",1628326620
"5071",195,2020-08-05 14:38:00,"C",64.01717,-160.91177,"M","coho","Unalakleet",1596638280
"26",195,2020-08-06 17:10:00,"5",63.953142,-160.882113,"M","coho","Unalakleet",1596733800
"25",195,2020-08-07 07:44:00,"U",63.555623,-161.051248,"M","coho","Unalakleet",1596786240
"2161",210,2021-08-08 14:06:00,"C",64.04228,-160.93012,"M","coho","Unalakleet",1628431560
"28",210,2021-08-09 12:15:00,"5",63.953475,-160.869926,"M","coho","Unalakleet",1628511300
"27",210,2021-08-15 14:47:00,"U",63.557764,-161.056892,"M","coho","Unalakleet",1629038820
"3791",215,2020-08-05 14:47:00,"C",64.01717,-160.91177,"M","coho","Unalakleet",1596638820
"30",215,2020-08-07 16:53:00,"5",63.95299,-160.888171,"M","coho","Unalakleet",1596819180
"29",215,2020-08-08 10:17:00,"U",63.555623,-161.051248,"M","coho","Unalakleet",1596881820
"2891",270,2021-08-08 15:05:00,"C",64.04228,-160.93012,"M","coho","Unalakleet",1628435100
"34",270,2021-08-12 21:55:00,"4",64.131144,-160.970255,"M","coho","Unalakleet",1628805300
"33",270,2021-08-13 22:38:00,"U",63.557764,-161.056892,"M","coho","Unalakleet",1628894280
"6371",275,2020-08-05 15:28:00,"C",64.01717,-160.91177,"M","coho","Unalakleet",1596641280
"36",275,2020-08-05 23:22:00,"5",63.95299,-160.888171,"M","coho","Unalakleet",1596669720
"35",275,2020-08-06 15:01:00,"U",63.557764,-161.056892,"M","coho","Unalakleet",1596726060
"3911",310,2021-08-08 15:22:00,"C",64.04228,-160.93012,"M","coho","Unalakleet",1628436120
"38",310,2021-08-09 10:37:00,"4",64.131144,-160.970255,"M","coho","Unalakleet",1628505420
"37",310,2021-08-12 06:48:00,"U",63.557764,-161.056892,"M","coho","Unalakleet",1628750880
"4411",375,2020-08-05 16:09:00,"C",64.01717,-160.91177,"M","coho","Unalakleet",1596643740
"42",375,2020-08-07 15:21:00,"5",63.953142,-160.882113,"M","coho","Unalakleet",1596813660
"41",375,2020-08-08 08:16:00,"U",63.555623,-161.051248,"M","coho","Unalakleet",1596874560
