"","x"
"1","BC"
"2","BCY"
"3","B"
"4","BB"
"5","BCC"
"6","BB"
"7","BC"
"8","BC"
"9","BCC"
"10","BCB"
"11","BC"
"12","BC"
"13","BC"
"14","BC"
"15","B"
"16","BY23S"
"17","BC"
"18","BCB"
"19","BY"
"20","BCY"
"21","BC"
"22","B"
"23","B"
"24","B"
"25","BB"
"26","BCC"
"27","BCC"
"28","BCC"
"29","BC"
"30","BC"
"31","BB"
"32","BC"
"33","BC"
"34","BB"
"35","BC"
"36","BCC"
"37","BCC"
"38","BB"
"39","BBS"
"40","B"
"41","BB"
"42","BCC"
"43","BB"
"44","BCC"
"45","BCC"
"46","BBST"
"47","BCY"
"48","BB"
"49","BB"
"50","BCC"
"51","BB"
"52","BB"
"53","BB"
"54","BCC"
"55","BY3"
"56","BCC"
"57","BCB"
"58","B"
"59","BY2347"
"60","B"
"61","B"
"62","BB"
"63","B"
"64","BC"
"65","BB"
"66","BB"
"67","BCC"
"68","BB"
"69","BYB"
"70","B7"
"71","BB"
"72","BB"
"73","BB"
"74","BB"
"75","B"
"76","B"
"77","B"
"78","BCC"
"79","BC"
"80","BB"
"81","BCC"
"82","BB"
"83","BCY"
"84","BC"
"85","BY2N"
"86","BB"
"87","BCY"
"88","BCB7"
"89","BCC"
"90","BCC"
"91","BCC"
"92","BCC"
"93","BCC"
"94","BB"
"95","B"
"96","BCC"
"97","B7"
"98","BCB"
"99","BCC7"
"100","BCC"
"101","BB"
"102","BC"
"103","BCC"
"104","BCC"
"105","BY2N"
"106","BCY4"
"107","BCY"
"108","BC"
"109","BCBU"
"110","BC"
"111","BCC"
"112","BC"
"113","BCY"
"114","BB"
"115","B"
"116","BCC"
"117","BB"
"118","BCC"
"119","BCC"
"120","BCC"
"121","BC"
"122","BCC"
"123","BCC"
"124","BCC"
"125","BCC"
"126","BCCEU"
"127","BC"
"128","BCC"
"129","BY2I"
"130","BCC"
"131","BCY"
"132","BCC"
"133","BC"
"134","B"
"135","BCC"
"136","BCYG"
"137","BCC"
"138","BCC"
"139","BCC"
"140","BBST"
"141","BCC"
"142","BCC"
"143","BCC"
"144","BC3"
"145","BB"
"146","BC"
"147","BCY"
"148","BCB"
"149","B"
"150","BCC"
"151","BBS4U"
"152","BCC"
"153","BCC"
"154","BCC"
"155","BCBS"
"156","BCB4U"
"157","BCBE"
"158","BCC"
"159","BCB"
"160","BCC"
"161","BCC"
"162","BCC"
"163","BCC"
"164","BCC"
"165","B"
"166","BCC"
"167","BCC"
"168","BYB7"
"169","BCC"
"170","BC"
"171","BCC"
"172","BCC"
"173","BC"
"174","BCC"
"175","BCC"
"176","BCC"
"177","BCC"
"178","BCC"
"179","BYBU"
"180","BCY"
"181","BC"
"182","BB"
"183","BY2347"
"184","B7C"
"185","BU"
"186","BCC"
"187","BCBU"
"188","BCC"
"189","BB"
"190","BB"
"191","BCEU"
"192","BCC"
"193","BCC"
"194","BCC"
"195","B"
"196","BCT"
"197","B"
"198","B"
"199","BCC"
"200","BU"
"201","BCC"
"202","B"
"203","BCBS"
"204","BCSS33"
"205","BCC"
"206","B"
"207","B"
"208","B"
"209","BCC"
"210","BCC"
"211","BCC"
"212","BB"
"213","BB"
"214","BCC"
"215","BYB"
"216","BB"
"217","BB"
"218","B1"
"219","BB"
"220","BYB"
"221","BY32"
"222","BCC"
"223","B"
"224","BY3S"
"225","BC"
"226","B"
"227","BB"
"228","BCC"
"229","BCC"
"230","B"
"231","B"
"232","BC"
"233","B"
"234","B"
"235","BC"
"236","BC"
"237","BC"
"238","BCC"
"239","B"
"240","BCC"
"241","B"
"242","BCY"
"243","BC"
"244","B1"
"245","BC"
"246","BCC"
"247","BCY"
"248","BC"
"249","B"
"250","BCC"
"251","BC"
"252","BCC"
"253","BC"
"254","BCB"
"255","BCC"
"256","BC"
"257","BCC"
"258","BC"
"259","BCC"
"260","BCC"
"261","BC"
"262","BCC"
"263","BC"
"264","B"
